schema,revision,dirty,records,value_bytes,concurrency,read_parallelism,batch_get_parallelism,batch_write_parallelism,scan_parallelism,repetition,operation,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,validated,error
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,raw_batch_put,2500,2500,533394125,213357.65,4686.965759137298,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,raw_batch_get,2500,2500,245388125,98155.25,10187.942061173499,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,2,raw_batch_put,2500,2500,186500750,74600.3,13404.771830676284,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,2,raw_batch_get,2500,2500,67674833,27069.9332,36941.35455051658,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,3,raw_batch_put,2500,2500,219774083,87909.6332,11375.317625600102,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,3,raw_batch_get,2500,2500,80065833,32026.3332,31224.305129005526,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,list_roots,1000,1000,34626916,34626.916,28879.268370304766,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,cas_conflict,100,100,153124333,1531243.33,653.0640691835699,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,2,cas_conflict,100,100,120316500,1203165.0,831.141198422494,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,3,cas_conflict,100,100,134866166,1348661.66,741.4758123990861,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,build,10000000,10000000,8689130000,868.913,1150863.2049468704,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,concurrent_query,10000,10000,2153657542,215365.7542,4643.263752468962,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,query,10000,10000,1090116541,109011.6541,9173.331129189792,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,batch,10000,10000000,6478180958,647818.0958,1543.6432024410888,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,diff,10000,10000,2679142375,267914.2375,3732.53773047429,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,merge,10000,10000000,3471330000,347133.0,2880.740235010788,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,2,concurrent_query,10000,10000,2150022417,215002.2417,4651.114295800387,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,2,query,10000,10000,990448542,99044.8542,10096.435681360213,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,2,batch,10000,10000000,6376619333,637661.9333,1568.22910037117,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,2,diff,10000,10000,2691321750,269132.175,3715.646410541586,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,2,merge,10000,10000000,3489418084,348941.8084,2865.807352192309,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,3,concurrent_query,10000,10000,2155854416,215585.4416,4638.532141031178,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,3,query,10000,10000,1013358375,101335.8375,9868.177188548918,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,3,batch,10000,10000000,6562772417,656277.2417,1523.7462713313528,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,3,diff,10000,10000,2699165875,269916.5875,3704.8482616875112,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,3,merge,10000,10000000,3338896000,333889.6,2995.0019407612576,true,
dynamodb-local-scale-v5,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,10000000,27,32,16,16,16,8,1,list_roots_large_table,1000,1001,27827459,27827.459,35935.728087857395,true,
