operation,runs,logical_operations,median_total_ms,median_ns_per_op,median_ops_per_sec,baseline_ops_per_sec,speedup
batch,3,10000,6478.181,647818.096,1543.643,,
build,1,10000000,8689.130,868.913,1150863.205,,
cas_conflict,3,100,134.866,1348661.660,741.476,,
concurrent_query,3,10000,2153.658,215365.754,4643.264,,
diff,3,10000,2691.322,269132.175,3715.646,,
list_roots,1,1000,34.627,34626.916,28879.268,,
list_roots_large_table,1,1000,27.827,27827.459,35935.728,,
merge,3,10000,3471.330,347133.000,2880.740,,
query,3,10000,1013.358,101335.837,9868.177,,
raw_batch_get,3,2500,80.066,32026.333,31224.305,,
raw_batch_put,3,2500,219.774,87909.633,11375.318,,
