schema,revision,dirty,timestamp_ms,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,p50_ns,p95_ns,p99_ns,max_ns,node_cache_hits,node_cache_misses,node_cache_evictions,nodes_read,bytes_read,nodes_written,bytes_written,store_get_calls,store_batch_get_calls,store_batch_get_keys,store_put_calls,store_batch_put_calls,store_batch_put_nodes,tree_nodes,tree_leaves,tree_internal_nodes,tree_height,tree_records,tree_bytes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105018722,10000000,1,build,base,cold-manager,1,10000000,10000000,8724540709,872.4540709,1146192.1416315096,,,,,0,0,11772,0,0,76974,316614779,0,0,0,0,1,76974,76974,76376,598,3,10000000,316614779,76,2837.645170999999,640387,8,11134,11136,38731,38731,98447935,14,0,7953431,99179543,49152,91275264,24576,6086656,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105025730,10000000,1,batch,random,cold-manager,1,10000,10000,2584166583,258416.6583,3869.7195706287794,,,,,0,9413,0,9413,68982704,9413,68982704,0,155,9413,0,1,9413,76974,76376,598,3,10000000,316614779,165,756.1589120000001,139096,0,2045,2045,8270,8270,17375795,82,0,190217239,206969879,91168768,107921408,5955584,6832128,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105027934,10000000,1,query,random,cold-manager,1,10000,10000,668383000,66838.3,14961.481665452293,,,,,0,9397,0,9397,69793977,0,0,0,12,9397,0,0,0,76974,76376,598,3,10000000,316614779,12,148.323831,40148,2901,0,0,0,0,0,12,0,190250007,190250007,91168768,91168768,5955584,5955584,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105035726,10000000,1,diff,random,cold-manager,1,10000,10000,1797458750,179745.875,5563.410008713691,,,,,18766,18848,0,18848,138920134,0,0,0,4699,18848,0,0,0,76974,76376,598,3,10000000,316614779,4699,434.7676949999992,85758,0,0,0,0,0,0,2655,0,207182871,207182871,108068864,108068864,6881280,6881280,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105049559,10000000,1,merge,random,cold-manager,1,10000,10000,4375253583,437525.3583,2285.581809213274,,,,,17155,16896,0,16896,128638788,5503,41883265,0,3157,16896,0,1,5503,76974,76376,598,3,10000000,316614779,3163,689.2016719999993,151606,4,1320,1320,4770,4770,11604520,2327,0,212597783,223411223,113434624,124248064,6987776,7217152,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105056259,10000000,2,batch,random,cold-manager,1,10000,10000,2425600125,242560.0125,4122.691080418706,,,,,0,9413,0,9413,68982704,9413,68982704,0,155,9413,0,1,9413,76974,76376,598,3,10000000,316614779,165,679.915414,136715,2363,2050,2050,8271,8271,17527276,73,0,190364695,207158295,91168768,107962368,5955584,6832128,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105058114,10000000,2,query,random,cold-manager,1,10000,10000,600637000,60063.7,16648.99098790118,,,,,0,9397,0,9397,69793977,0,0,0,12,9397,0,0,0,76974,76376,598,3,10000000,316614779,12,133.044334,40493,2556,0,0,0,0,0,2,0,190397463,190397463,91168768,91168768,5955584,5955584,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105065658,10000000,2,diff,random,cold-manager,1,10000,10000,1848361416,184836.1416,5410.197331234488,,,,,18766,18848,0,18848,138920134,0,0,0,4699,18848,0,0,0,76974,76376,598,3,10000000,316614779,4699,441.5966429999989,85735,0,0,0,0,0,0,2559,0,207330327,207330327,108068864,108068864,6881280,6881280,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105079230,10000000,2,merge,random,cold-manager,1,10000,10000,4398450208,439845.0208,2273.5280671841583,,,,,17155,16896,0,16896,128638788,5503,41883265,0,3157,16896,0,1,5503,76974,76376,598,3,10000000,316614779,3163,683.9551130000006,151812,3,1324,1324,4758,4758,11632873,2140,0,212704279,223550487,113410048,124256256,6987776,7249920,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105087200,10000000,3,batch,random,cold-manager,1,10000,10000,2484214583,248421.4583,4025.417155358515,,,,,0,9413,0,9413,68982704,9413,68982704,0,155,9413,0,1,9413,76974,76376,598,3,10000000,316614779,165,705.8539130000001,136773,2345,2053,2053,8273,8273,17376211,108,0,190495767,207313943,91168768,107986944,5955584,6832128,true,
postgres-scale-v1,fb5fe0c14ad5574f429075bf5cf2c0bf252697c7,true,1785105089193,10000000,3,query,random,cold-manager,1,10000,10000,621446375,62144.6375,16091.493010961725,,,,,0,9397,0,9397,69793977,0,0,0,12,9397,0,0,0,76974,76376,598,3,10000000,316614779,12,148.76237600000002,40597,2452,0,0,0,0,0,9,0,190528535,190528535,91168768,91168768,5955584,5955584,true,
