workload,base_entries,mutations,workers,effective_workers,callers,run,elapsed_ns,ops_per_sec,p50_ns,p95_ns,p99_ns,peak_rss_bytes,nodes_read,nodes_written,bytes_read,bytes_written,batch_get_calls,batch_put_calls,parallel_tasks,structural_islands,coalesced_islands,root
value-only,1000000,100000,1,1,1,1,305489625,327343.359,299299209,303345458,305489625,668729344,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,2,300705625,332551.145,299299209,303345458,305489625,710918144,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,3,298560333,334940.677,299299209,303345458,305489625,719601664,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,4,300772291,332477.436,299299209,303345458,305489625,725516288,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,5,302619500,330447.972,299299209,303345458,305489625,756023296,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,6,301118292,332095.401,299299209,303345458,305489625,771129344,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,7,294696917,339331.680,299299209,303345458,305489625,776667136,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,8,298958875,334494.167,299299209,303345458,305489625,797016064,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,9,298555625,334945.959,299299209,303345458,305489625,802013184,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,10,301344750,331845.834,299299209,303345458,305489625,806944768,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,11,297747375,335855.186,299299209,303345458,305489625,826540032,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,12,301088500,332128.261,299299209,303345458,305489625,831471616,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,13,299256125,334161.916,299299209,303345458,305489625,836370432,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,14,296817667,336907.169,299299209,303345458,305489625,855818240,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,15,297300292,336360.248,299299209,303345458,305489625,860700672,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,16,298992750,334456.270,299299209,303345458,305489625,865533952,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,17,298226584,335315.513,299299209,303345458,305489625,885407744,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,18,301127041,332085.752,299299209,303345458,305489625,890224640,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,19,300100875,333221.288,299299209,303345458,305489625,895221760,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,20,300395250,332894.745,299299209,303345458,305489625,914604032,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,21,299575583,333805.576,299299209,303345458,305489625,933347328,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,22,298533875,334970.361,299299209,303345458,305489625,938213376,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,23,298652125,334837.731,299299209,303345458,305489625,957513728,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
value-only,1000000,100000,1,1,1,24,299263292,334153.913,299299209,303345458,305489625,962379776,14912,14912,27820240,27220240,0,1,0,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
