workload,base_entries,mutations,workers,effective_workers,callers,run,elapsed_ns,ops_per_sec,p50_ns,p95_ns,p99_ns,peak_rss_bytes,nodes_read,nodes_written,bytes_read,bytes_written,batch_get_calls,batch_put_calls,parallel_tasks,structural_islands,coalesced_islands,root
append,1000000,100000,1,1,1,1,18932792,5281841.157,18932792,19861916,19861916,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,1,1,1,2,19861916,5034760.997,18932792,19861916,19861916,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,1,1,1,3,17846583,5603313.531,18932792,19861916,19861916,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,1,1,1,4,19200042,5208321.940,18932792,19861916,19861916,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,1,1,1,5,19074458,5242612.922,18932792,19861916,19861916,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,1,1,1,6,18052166,5539501.465,18932792,19861916,19861916,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,0,1,1,1,18843625,5306834.540,18639458,19051000,19051000,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,0,1,1,2,18230500,5485313.074,18639458,19051000,19051000,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,0,1,1,3,18662625,5358303.025,18639458,19051000,19051000,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,0,1,1,4,18019084,5549671.670,18639458,19051000,19051000,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,0,1,1,5,18639458,5364962.865,18639458,19051000,19051000,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
append,1000000,100000,0,1,1,6,19051000,5249068.290,18639458,19051000,19051000,416284672,4,1528,2350,2188571,0,1,0,0,0,1e82d377390b3e4847bede8528c430c9f82f698479edb5b7aafa388d0ec07fba
random,1000000,100000,1,1,1,1,354675458,281947.898,335987583,354675458,354675458,687144960,14925,14892,27826733,27980217,0,1,0,0,0,b9cf511ed12cec2749b822439fd8013d63109b05be5b6d954b7deb01cb0b73b9
random,1000000,100000,1,1,1,2,336288666,297363.575,335987583,354675458,354675458,687144960,14925,14892,27826733,27980217,0,1,0,0,0,b9cf511ed12cec2749b822439fd8013d63109b05be5b6d954b7deb01cb0b73b9
