implementation,revision,contract_version,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,repetition,peak_rss_bytes
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,write,10000,2855292,285.529,3502268.770,51f55fcd59187cbf,10000,true,1,6782976
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,point_read,10000,1444833,144.483,6921215.116,51f55fcd59187cbf,10000,true,1,6782976
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,append,range_scan,10000,45875,4.588,217983651.226,51f55fcd59187cbf,10000,true,1,6782976
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,write,10000,6605875,660.587,1513804.000,51f55fcd59187cbf,10000,true,1,30408704
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,point_read,10000,3701667,370.167,2701485.574,51f55fcd59187cbf,10000,true,1,30408704
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,append,range_scan,10000,205334,20.533,48701140.581,51f55fcd59187cbf,10000,true,1,30408704
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,write,10000,3589250,358.925,2786097.374,004197dd790a1245,10000,true,1,6881280
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,point_read,10000,1443875,144.387,6925807.289,004197dd790a1245,10000,true,1,6881280
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,random,range_scan,10000,45542,4.554,219577532.827,004197dd790a1245,10000,true,1,6881280
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,fresh,random,write,10000,7165542,716.554,1395567.844,004197dd790a1245,10000,true,1,30539776
