implementation,kind,records,repetition,operation,pattern,cache_state,exit_status,validation,peak_rss_bytes,json,stderr,time
rust,fixture,1000000,1,build,n/a,n/a,0,ok,398999552,raw/rust-fixture-1000000-r1-build-n-a.json,raw/rust-fixture-1000000-r1-build-n-a.stderr,raw/rust-fixture-1000000-r1-build-n-a.time
dolt-go,fixture,1000000,1,build,n/a,n/a,0,ok,483966976,raw/dolt-go-fixture-1000000-r1-build-n-a.json,raw/dolt-go-fixture-1000000-r1-build-n-a.stderr,raw/dolt-go-fixture-1000000-r1-build-n-a.time
dolt-go,cell,1000000,1,put,append,n/a,0,ok,20414464,raw/dolt-go-cell-1000000-r1-put-append.json,raw/dolt-go-cell-1000000-r1-put-append.stderr,raw/dolt-go-cell-1000000-r1-put-append.time
rust,cell,1000000,1,put,append,n/a,0,ok,357400576,raw/rust-cell-1000000-r1-put-append.json,raw/rust-cell-1000000-r1-put-append.stderr,raw/rust-cell-1000000-r1-put-append.time
rust,cell,1000000,1,put,random,n/a,0,ok,355680256,raw/rust-cell-1000000-r1-put-random.json,raw/rust-cell-1000000-r1-put-random.stderr,raw/rust-cell-1000000-r1-put-random.time
dolt-go,cell,1000000,1,put,random,n/a,0,ok,23183360,raw/dolt-go-cell-1000000-r1-put-random.json,raw/dolt-go-cell-1000000-r1-put-random.stderr,raw/dolt-go-cell-1000000-r1-put-random.time
dolt-go,cell,1000000,1,put,clustered,n/a,0,ok,22888448,raw/dolt-go-cell-1000000-r1-put-clustered.json,raw/dolt-go-cell-1000000-r1-put-clustered.stderr,raw/dolt-go-cell-1000000-r1-put-clustered.time
rust,cell,1000000,1,put,clustered,n/a,0,ok,356499456,raw/rust-cell-1000000-r1-put-clustered.json,raw/rust-cell-1000000-r1-put-clustered.stderr,raw/rust-cell-1000000-r1-put-clustered.time
rust,cell,1000000,1,batch,append,n/a,0,ok,587710464,raw/rust-cell-1000000-r1-batch-append.json,raw/rust-cell-1000000-r1-batch-append.stderr,raw/rust-cell-1000000-r1-batch-append.time
dolt-go,cell,1000000,1,batch,append,n/a,0,ok,163397632,raw/dolt-go-cell-1000000-r1-batch-append.json,raw/dolt-go-cell-1000000-r1-batch-append.stderr,raw/dolt-go-cell-1000000-r1-batch-append.time
dolt-go,cell,1000000,1,batch,random,n/a,0,ok,710098944,raw/dolt-go-cell-1000000-r1-batch-random.json,raw/dolt-go-cell-1000000-r1-batch-random.stderr,raw/dolt-go-cell-1000000-r1-batch-random.time
rust,cell,1000000,1,batch,random,n/a,0,ok,952647680,raw/rust-cell-1000000-r1-batch-random.json,raw/rust-cell-1000000-r1-batch-random.stderr,raw/rust-cell-1000000-r1-batch-random.time
rust,cell,1000000,1,batch,clustered,n/a,0,ok,533020672,raw/rust-cell-1000000-r1-batch-clustered.json,raw/rust-cell-1000000-r1-batch-clustered.stderr,raw/rust-cell-1000000-r1-batch-clustered.time
dolt-go,cell,1000000,1,batch,clustered,n/a,0,ok,270057472,raw/dolt-go-cell-1000000-r1-batch-clustered.json,raw/dolt-go-cell-1000000-r1-batch-clustered.stderr,raw/dolt-go-cell-1000000-r1-batch-clustered.time
dolt-go,cell,1000000,1,get_cold,append,cold-manager,0,ok,29671424,raw/dolt-go-cell-1000000-r1-get_cold-append.json,raw/dolt-go-cell-1000000-r1-get_cold-append.stderr,raw/dolt-go-cell-1000000-r1-get_cold-append.time
rust,cell,1000000,1,get_cold,append,cold-manager,0,ok,358252544,raw/rust-cell-1000000-r1-get_cold-append.json,raw/rust-cell-1000000-r1-get_cold-append.stderr,raw/rust-cell-1000000-r1-get_cold-append.time
rust,cell,1000000,1,get_cold,random,cold-manager,0,ok,359251968,raw/rust-cell-1000000-r1-get_cold-random.json,raw/rust-cell-1000000-r1-get_cold-random.stderr,raw/rust-cell-1000000-r1-get_cold-random.time
dolt-go,cell,1000000,1,get_cold,random,cold-manager,0,ok,29851648,raw/dolt-go-cell-1000000-r1-get_cold-random.json,raw/dolt-go-cell-1000000-r1-get_cold-random.stderr,raw/dolt-go-cell-1000000-r1-get_cold-random.time
dolt-go,cell,1000000,1,get_cold,clustered,cold-manager,0,ok,30212096,raw/dolt-go-cell-1000000-r1-get_cold-clustered.json,raw/dolt-go-cell-1000000-r1-get_cold-clustered.stderr,raw/dolt-go-cell-1000000-r1-get_cold-clustered.time
rust,cell,1000000,1,get_cold,clustered,cold-manager,0,ok,358989824,raw/rust-cell-1000000-r1-get_cold-clustered.json,raw/rust-cell-1000000-r1-get_cold-clustered.stderr,raw/rust-cell-1000000-r1-get_cold-clustered.time
rust,cell,1000000,1,get_warm,append,warm-manager,0,ok,356548608,raw/rust-cell-1000000-r1-get_warm-append.json,raw/rust-cell-1000000-r1-get_warm-append.stderr,raw/rust-cell-1000000-r1-get_warm-append.time
dolt-go,cell,1000000,1,get_warm,append,warm-manager,0,ok,32014336,raw/dolt-go-cell-1000000-r1-get_warm-append.json,raw/dolt-go-cell-1000000-r1-get_warm-append.stderr,raw/dolt-go-cell-1000000-r1-get_warm-append.time
dolt-go,cell,1000000,1,get_warm,random,warm-manager,0,ok,96485376,raw/dolt-go-cell-1000000-r1-get_warm-random.json,raw/dolt-go-cell-1000000-r1-get_warm-random.stderr,raw/dolt-go-cell-1000000-r1-get_warm-random.time
rust,cell,1000000,1,get_warm,random,warm-manager,0,ok,379043840,raw/rust-cell-1000000-r1-get_warm-random.json,raw/rust-cell-1000000-r1-get_warm-random.stderr,raw/rust-cell-1000000-r1-get_warm-random.time
rust,cell,1000000,1,get_warm,clustered,warm-manager,0,ok,356958208,raw/rust-cell-1000000-r1-get_warm-clustered.json,raw/rust-cell-1000000-r1-get_warm-clustered.stderr,raw/rust-cell-1000000-r1-get_warm-clustered.time
dolt-go,cell,1000000,1,get_warm,clustered,warm-manager,0,ok,32145408,raw/dolt-go-cell-1000000-r1-get_warm-clustered.json,raw/dolt-go-cell-1000000-r1-get_warm-clustered.stderr,raw/dolt-go-cell-1000000-r1-get_warm-clustered.time
dolt-go,cell,1000000,1,query,append,n/a,0,ok,29294592,raw/dolt-go-cell-1000000-r1-query-append.json,raw/dolt-go-cell-1000000-r1-query-append.stderr,raw/dolt-go-cell-1000000-r1-query-append.time
rust,cell,1000000,1,query,append,n/a,0,ok,358383616,raw/rust-cell-1000000-r1-query-append.json,raw/rust-cell-1000000-r1-query-append.stderr,raw/rust-cell-1000000-r1-query-append.time
rust,cell,1000000,1,query,random,n/a,0,ok,427819008,raw/rust-cell-1000000-r1-query-random.json,raw/rust-cell-1000000-r1-query-random.stderr,raw/rust-cell-1000000-r1-query-random.time
dolt-go,cell,1000000,1,query,random,n/a,0,ok,92880896,raw/dolt-go-cell-1000000-r1-query-random.json,raw/dolt-go-cell-1000000-r1-query-random.stderr,raw/dolt-go-cell-1000000-r1-query-random.time
dolt-go,cell,1000000,1,query,clustered,n/a,0,ok,29507584,raw/dolt-go-cell-1000000-r1-query-clustered.json,raw/dolt-go-cell-1000000-r1-query-clustered.stderr,raw/dolt-go-cell-1000000-r1-query-clustered.time
rust,cell,1000000,1,query,clustered,n/a,0,ok,357629952,raw/rust-cell-1000000-r1-query-clustered.json,raw/rust-cell-1000000-r1-query-clustered.stderr,raw/rust-cell-1000000-r1-query-clustered.time
rust,cell,1000000,1,scan,append,n/a,0,ok,357498880,raw/rust-cell-1000000-r1-scan-append.json,raw/rust-cell-1000000-r1-scan-append.stderr,raw/rust-cell-1000000-r1-scan-append.time
dolt-go,cell,1000000,1,scan,append,n/a,0,ok,28327936,raw/dolt-go-cell-1000000-r1-scan-append.json,raw/dolt-go-cell-1000000-r1-scan-append.stderr,raw/dolt-go-cell-1000000-r1-scan-append.time
dolt-go,cell,1000000,1,scan,random,n/a,0,ok,28442624,raw/dolt-go-cell-1000000-r1-scan-random.json,raw/dolt-go-cell-1000000-r1-scan-random.stderr,raw/dolt-go-cell-1000000-r1-scan-random.time
rust,cell,1000000,1,scan,random,n/a,0,ok,357777408,raw/rust-cell-1000000-r1-scan-random.json,raw/rust-cell-1000000-r1-scan-random.stderr,raw/rust-cell-1000000-r1-scan-random.time
rust,cell,1000000,1,scan,clustered,n/a,0,ok,355827712,raw/rust-cell-1000000-r1-scan-clustered.json,raw/rust-cell-1000000-r1-scan-clustered.stderr,raw/rust-cell-1000000-r1-scan-clustered.time
dolt-go,cell,1000000,1,scan,clustered,n/a,0,ok,28770304,raw/dolt-go-cell-1000000-r1-scan-clustered.json,raw/dolt-go-cell-1000000-r1-scan-clustered.stderr,raw/dolt-go-cell-1000000-r1-scan-clustered.time
dolt-go,cell,1000000,1,full_scan,append,n/a,0,ok,269860864,raw/dolt-go-cell-1000000-r1-full_scan-append.json,raw/dolt-go-cell-1000000-r1-full_scan-append.stderr,raw/dolt-go-cell-1000000-r1-full_scan-append.time
rust,cell,1000000,1,full_scan,append,n/a,0,ok,369180672,raw/rust-cell-1000000-r1-full_scan-append.json,raw/rust-cell-1000000-r1-full_scan-append.stderr,raw/rust-cell-1000000-r1-full_scan-append.time
rust,cell,1000000,1,diff,append,n/a,0,ok,585826304,raw/rust-cell-1000000-r1-diff-append.json,raw/rust-cell-1000000-r1-diff-append.stderr,raw/rust-cell-1000000-r1-diff-append.time
dolt-go,cell,1000000,1,diff,append,n/a,0,ok,165101568,raw/dolt-go-cell-1000000-r1-diff-append.json,raw/dolt-go-cell-1000000-r1-diff-append.stderr,raw/dolt-go-cell-1000000-r1-diff-append.time
dolt-go,cell,1000000,1,diff,random,n/a,0,ok,749928448,raw/dolt-go-cell-1000000-r1-diff-random.json,raw/dolt-go-cell-1000000-r1-diff-random.stderr,raw/dolt-go-cell-1000000-r1-diff-random.time
rust,cell,1000000,1,diff,random,n/a,0,ok,1210351616,raw/rust-cell-1000000-r1-diff-random.json,raw/rust-cell-1000000-r1-diff-random.stderr,raw/rust-cell-1000000-r1-diff-random.time
rust,cell,1000000,1,diff,clustered,n/a,0,ok,563937280,raw/rust-cell-1000000-r1-diff-clustered.json,raw/rust-cell-1000000-r1-diff-clustered.stderr,raw/rust-cell-1000000-r1-diff-clustered.time
dolt-go,cell,1000000,1,diff,clustered,n/a,0,ok,248676352,raw/dolt-go-cell-1000000-r1-diff-clustered.json,raw/dolt-go-cell-1000000-r1-diff-clustered.stderr,raw/dolt-go-cell-1000000-r1-diff-clustered.time
dolt-go,cell,1000000,1,merge,append,n/a,0,ok,155254784,raw/dolt-go-cell-1000000-r1-merge-append.json,raw/dolt-go-cell-1000000-r1-merge-append.stderr,raw/dolt-go-cell-1000000-r1-merge-append.time
rust,cell,1000000,1,merge,append,n/a,0,ok,541786112,raw/rust-cell-1000000-r1-merge-append.json,raw/rust-cell-1000000-r1-merge-append.stderr,raw/rust-cell-1000000-r1-merge-append.time
rust,cell,1000000,1,merge,random,n/a,0,ok,1329659904,raw/rust-cell-1000000-r1-merge-random.json,raw/rust-cell-1000000-r1-merge-random.stderr,raw/rust-cell-1000000-r1-merge-random.time
dolt-go,cell,1000000,1,merge,random,n/a,0,ok,881311744,raw/dolt-go-cell-1000000-r1-merge-random.json,raw/dolt-go-cell-1000000-r1-merge-random.stderr,raw/dolt-go-cell-1000000-r1-merge-random.time
dolt-go,cell,1000000,1,merge,clustered,n/a,0,ok,268713984,raw/dolt-go-cell-1000000-r1-merge-clustered.json,raw/dolt-go-cell-1000000-r1-merge-clustered.stderr,raw/dolt-go-cell-1000000-r1-merge-clustered.time
rust,cell,1000000,1,merge,clustered,n/a,0,ok,469712896,raw/rust-cell-1000000-r1-merge-clustered.json,raw/rust-cell-1000000-r1-merge-clustered.stderr,raw/rust-cell-1000000-r1-merge-clustered.time
rust,fixture,1000000,2,build,n/a,n/a,0,ok,401211392,raw/rust-fixture-1000000-r2-build-n-a.json,raw/rust-fixture-1000000-r2-build-n-a.stderr,raw/rust-fixture-1000000-r2-build-n-a.time
dolt-go,fixture,1000000,2,build,n/a,n/a,0,ok,503529472,raw/dolt-go-fixture-1000000-r2-build-n-a.json,raw/dolt-go-fixture-1000000-r2-build-n-a.stderr,raw/dolt-go-fixture-1000000-r2-build-n-a.time
dolt-go,cell,1000000,2,put,append,n/a,0,ok,20496384,raw/dolt-go-cell-1000000-r2-put-append.json,raw/dolt-go-cell-1000000-r2-put-append.stderr,raw/dolt-go-cell-1000000-r2-put-append.time
rust,cell,1000000,2,put,append,n/a,0,ok,356384768,raw/rust-cell-1000000-r2-put-append.json,raw/rust-cell-1000000-r2-put-append.stderr,raw/rust-cell-1000000-r2-put-append.time
rust,cell,1000000,2,put,random,n/a,0,ok,358105088,raw/rust-cell-1000000-r2-put-random.json,raw/rust-cell-1000000-r2-put-random.stderr,raw/rust-cell-1000000-r2-put-random.time
dolt-go,cell,1000000,2,put,random,n/a,0,ok,23068672,raw/dolt-go-cell-1000000-r2-put-random.json,raw/dolt-go-cell-1000000-r2-put-random.stderr,raw/dolt-go-cell-1000000-r2-put-random.time
dolt-go,cell,1000000,2,put,clustered,n/a,0,ok,22839296,raw/dolt-go-cell-1000000-r2-put-clustered.json,raw/dolt-go-cell-1000000-r2-put-clustered.stderr,raw/dolt-go-cell-1000000-r2-put-clustered.time
rust,cell,1000000,2,put,clustered,n/a,0,ok,356663296,raw/rust-cell-1000000-r2-put-clustered.json,raw/rust-cell-1000000-r2-put-clustered.stderr,raw/rust-cell-1000000-r2-put-clustered.time
rust,cell,1000000,2,batch,append,n/a,0,ok,588611584,raw/rust-cell-1000000-r2-batch-append.json,raw/rust-cell-1000000-r2-batch-append.stderr,raw/rust-cell-1000000-r2-batch-append.time
dolt-go,cell,1000000,2,batch,append,n/a,0,ok,162004992,raw/dolt-go-cell-1000000-r2-batch-append.json,raw/dolt-go-cell-1000000-r2-batch-append.stderr,raw/dolt-go-cell-1000000-r2-batch-append.time
dolt-go,cell,1000000,2,batch,random,n/a,0,ok,656162816,raw/dolt-go-cell-1000000-r2-batch-random.json,raw/dolt-go-cell-1000000-r2-batch-random.stderr,raw/dolt-go-cell-1000000-r2-batch-random.time
rust,cell,1000000,2,batch,random,n/a,0,ok,984678400,raw/rust-cell-1000000-r2-batch-random.json,raw/rust-cell-1000000-r2-batch-random.stderr,raw/rust-cell-1000000-r2-batch-random.time
rust,cell,1000000,2,batch,clustered,n/a,0,ok,536084480,raw/rust-cell-1000000-r2-batch-clustered.json,raw/rust-cell-1000000-r2-batch-clustered.stderr,raw/rust-cell-1000000-r2-batch-clustered.time
dolt-go,cell,1000000,2,batch,clustered,n/a,0,ok,278937600,raw/dolt-go-cell-1000000-r2-batch-clustered.json,raw/dolt-go-cell-1000000-r2-batch-clustered.stderr,raw/dolt-go-cell-1000000-r2-batch-clustered.time
dolt-go,cell,1000000,2,get_cold,append,cold-manager,0,ok,30261248,raw/dolt-go-cell-1000000-r2-get_cold-append.json,raw/dolt-go-cell-1000000-r2-get_cold-append.stderr,raw/dolt-go-cell-1000000-r2-get_cold-append.time
rust,cell,1000000,2,get_cold,append,cold-manager,0,ok,358203392,raw/rust-cell-1000000-r2-get_cold-append.json,raw/rust-cell-1000000-r2-get_cold-append.stderr,raw/rust-cell-1000000-r2-get_cold-append.time
rust,cell,1000000,2,get_cold,random,cold-manager,0,ok,357662720,raw/rust-cell-1000000-r2-get_cold-random.json,raw/rust-cell-1000000-r2-get_cold-random.stderr,raw/rust-cell-1000000-r2-get_cold-random.time
dolt-go,cell,1000000,2,get_cold,random,cold-manager,0,ok,31653888,raw/dolt-go-cell-1000000-r2-get_cold-random.json,raw/dolt-go-cell-1000000-r2-get_cold-random.stderr,raw/dolt-go-cell-1000000-r2-get_cold-random.time
dolt-go,cell,1000000,2,get_cold,clustered,cold-manager,0,ok,29786112,raw/dolt-go-cell-1000000-r2-get_cold-clustered.json,raw/dolt-go-cell-1000000-r2-get_cold-clustered.stderr,raw/dolt-go-cell-1000000-r2-get_cold-clustered.time
rust,cell,1000000,2,get_cold,clustered,cold-manager,0,ok,358531072,raw/rust-cell-1000000-r2-get_cold-clustered.json,raw/rust-cell-1000000-r2-get_cold-clustered.stderr,raw/rust-cell-1000000-r2-get_cold-clustered.time
rust,cell,1000000,2,get_warm,append,warm-manager,0,ok,356810752,raw/rust-cell-1000000-r2-get_warm-append.json,raw/rust-cell-1000000-r2-get_warm-append.stderr,raw/rust-cell-1000000-r2-get_warm-append.time
dolt-go,cell,1000000,2,get_warm,append,warm-manager,0,ok,31801344,raw/dolt-go-cell-1000000-r2-get_warm-append.json,raw/dolt-go-cell-1000000-r2-get_warm-append.stderr,raw/dolt-go-cell-1000000-r2-get_warm-append.time
dolt-go,cell,1000000,2,get_warm,random,warm-manager,0,ok,87654400,raw/dolt-go-cell-1000000-r2-get_warm-random.json,raw/dolt-go-cell-1000000-r2-get_warm-random.stderr,raw/dolt-go-cell-1000000-r2-get_warm-random.time
rust,cell,1000000,2,get_warm,random,warm-manager,0,ok,376668160,raw/rust-cell-1000000-r2-get_warm-random.json,raw/rust-cell-1000000-r2-get_warm-random.stderr,raw/rust-cell-1000000-r2-get_warm-random.time
rust,cell,1000000,2,get_warm,clustered,warm-manager,0,ok,358170624,raw/rust-cell-1000000-r2-get_warm-clustered.json,raw/rust-cell-1000000-r2-get_warm-clustered.stderr,raw/rust-cell-1000000-r2-get_warm-clustered.time
dolt-go,cell,1000000,2,get_warm,clustered,warm-manager,0,ok,32014336,raw/dolt-go-cell-1000000-r2-get_warm-clustered.json,raw/dolt-go-cell-1000000-r2-get_warm-clustered.stderr,raw/dolt-go-cell-1000000-r2-get_warm-clustered.time
dolt-go,cell,1000000,2,query,append,n/a,0,ok,29474816,raw/dolt-go-cell-1000000-r2-query-append.json,raw/dolt-go-cell-1000000-r2-query-append.stderr,raw/dolt-go-cell-1000000-r2-query-append.time
rust,cell,1000000,2,query,append,n/a,0,ok,356827136,raw/rust-cell-1000000-r2-query-append.json,raw/rust-cell-1000000-r2-query-append.stderr,raw/rust-cell-1000000-r2-query-append.time
rust,cell,1000000,2,query,random,n/a,0,ok,428867584,raw/rust-cell-1000000-r2-query-random.json,raw/rust-cell-1000000-r2-query-random.stderr,raw/rust-cell-1000000-r2-query-random.time
dolt-go,cell,1000000,2,query,random,n/a,0,ok,82788352,raw/dolt-go-cell-1000000-r2-query-random.json,raw/dolt-go-cell-1000000-r2-query-random.stderr,raw/dolt-go-cell-1000000-r2-query-random.time
dolt-go,cell,1000000,2,query,clustered,n/a,0,ok,29278208,raw/dolt-go-cell-1000000-r2-query-clustered.json,raw/dolt-go-cell-1000000-r2-query-clustered.stderr,raw/dolt-go-cell-1000000-r2-query-clustered.time
rust,cell,1000000,2,query,clustered,n/a,0,ok,358088704,raw/rust-cell-1000000-r2-query-clustered.json,raw/rust-cell-1000000-r2-query-clustered.stderr,raw/rust-cell-1000000-r2-query-clustered.time
rust,cell,1000000,2,scan,append,n/a,0,ok,355565568,raw/rust-cell-1000000-r2-scan-append.json,raw/rust-cell-1000000-r2-scan-append.stderr,raw/rust-cell-1000000-r2-scan-append.time
dolt-go,cell,1000000,2,scan,append,n/a,0,ok,28852224,raw/dolt-go-cell-1000000-r2-scan-append.json,raw/dolt-go-cell-1000000-r2-scan-append.stderr,raw/dolt-go-cell-1000000-r2-scan-append.time
dolt-go,cell,1000000,2,scan,random,n/a,0,ok,28459008,raw/dolt-go-cell-1000000-r2-scan-random.json,raw/dolt-go-cell-1000000-r2-scan-random.stderr,raw/dolt-go-cell-1000000-r2-scan-random.time
rust,cell,1000000,2,scan,random,n/a,0,ok,355811328,raw/rust-cell-1000000-r2-scan-random.json,raw/rust-cell-1000000-r2-scan-random.stderr,raw/rust-cell-1000000-r2-scan-random.time
rust,cell,1000000,2,scan,clustered,n/a,0,ok,357023744,raw/rust-cell-1000000-r2-scan-clustered.json,raw/rust-cell-1000000-r2-scan-clustered.stderr,raw/rust-cell-1000000-r2-scan-clustered.time
dolt-go,cell,1000000,2,scan,clustered,n/a,0,ok,28377088,raw/dolt-go-cell-1000000-r2-scan-clustered.json,raw/dolt-go-cell-1000000-r2-scan-clustered.stderr,raw/dolt-go-cell-1000000-r2-scan-clustered.time
dolt-go,cell,1000000,2,full_scan,append,n/a,0,ok,299597824,raw/dolt-go-cell-1000000-r2-full_scan-append.json,raw/dolt-go-cell-1000000-r2-full_scan-append.stderr,raw/dolt-go-cell-1000000-r2-full_scan-append.time
rust,cell,1000000,2,full_scan,append,n/a,0,ok,391774208,raw/rust-cell-1000000-r2-full_scan-append.json,raw/rust-cell-1000000-r2-full_scan-append.stderr,raw/rust-cell-1000000-r2-full_scan-append.time
rust,cell,1000000,2,diff,append,n/a,0,ok,593903616,raw/rust-cell-1000000-r2-diff-append.json,raw/rust-cell-1000000-r2-diff-append.stderr,raw/rust-cell-1000000-r2-diff-append.time
dolt-go,cell,1000000,2,diff,append,n/a,0,ok,181223424,raw/dolt-go-cell-1000000-r2-diff-append.json,raw/dolt-go-cell-1000000-r2-diff-append.stderr,raw/dolt-go-cell-1000000-r2-diff-append.time
dolt-go,cell,1000000,2,diff,random,n/a,0,ok,773292032,raw/dolt-go-cell-1000000-r2-diff-random.json,raw/dolt-go-cell-1000000-r2-diff-random.stderr,raw/dolt-go-cell-1000000-r2-diff-random.time
rust,cell,1000000,2,diff,random,n/a,0,ok,1162412032,raw/rust-cell-1000000-r2-diff-random.json,raw/rust-cell-1000000-r2-diff-random.stderr,raw/rust-cell-1000000-r2-diff-random.time
rust,cell,1000000,2,diff,clustered,n/a,0,ok,597753856,raw/rust-cell-1000000-r2-diff-clustered.json,raw/rust-cell-1000000-r2-diff-clustered.stderr,raw/rust-cell-1000000-r2-diff-clustered.time
dolt-go,cell,1000000,2,diff,clustered,n/a,0,ok,259211264,raw/dolt-go-cell-1000000-r2-diff-clustered.json,raw/dolt-go-cell-1000000-r2-diff-clustered.stderr,raw/dolt-go-cell-1000000-r2-diff-clustered.time
dolt-go,cell,1000000,2,merge,append,n/a,0,ok,164839424,raw/dolt-go-cell-1000000-r2-merge-append.json,raw/dolt-go-cell-1000000-r2-merge-append.stderr,raw/dolt-go-cell-1000000-r2-merge-append.time
rust,cell,1000000,2,merge,append,n/a,0,ok,554745856,raw/rust-cell-1000000-r2-merge-append.json,raw/rust-cell-1000000-r2-merge-append.stderr,raw/rust-cell-1000000-r2-merge-append.time
rust,cell,1000000,2,merge,random,n/a,0,ok,1304887296,raw/rust-cell-1000000-r2-merge-random.json,raw/rust-cell-1000000-r2-merge-random.stderr,raw/rust-cell-1000000-r2-merge-random.time
dolt-go,cell,1000000,2,merge,random,n/a,0,ok,928923648,raw/dolt-go-cell-1000000-r2-merge-random.json,raw/dolt-go-cell-1000000-r2-merge-random.stderr,raw/dolt-go-cell-1000000-r2-merge-random.time
dolt-go,cell,1000000,2,merge,clustered,n/a,0,ok,270778368,raw/dolt-go-cell-1000000-r2-merge-clustered.json,raw/dolt-go-cell-1000000-r2-merge-clustered.stderr,raw/dolt-go-cell-1000000-r2-merge-clustered.time
rust,cell,1000000,2,merge,clustered,n/a,0,ok,467550208,raw/rust-cell-1000000-r2-merge-clustered.json,raw/rust-cell-1000000-r2-merge-clustered.stderr,raw/rust-cell-1000000-r2-merge-clustered.time
rust,fixture,1000000,3,build,n/a,n/a,0,ok,402522112,raw/rust-fixture-1000000-r3-build-n-a.json,raw/rust-fixture-1000000-r3-build-n-a.stderr,raw/rust-fixture-1000000-r3-build-n-a.time
dolt-go,fixture,1000000,3,build,n/a,n/a,0,ok,512933888,raw/dolt-go-fixture-1000000-r3-build-n-a.json,raw/dolt-go-fixture-1000000-r3-build-n-a.stderr,raw/dolt-go-fixture-1000000-r3-build-n-a.time
dolt-go,cell,1000000,3,put,append,n/a,0,ok,20840448,raw/dolt-go-cell-1000000-r3-put-append.json,raw/dolt-go-cell-1000000-r3-put-append.stderr,raw/dolt-go-cell-1000000-r3-put-append.time
rust,cell,1000000,3,put,append,n/a,0,ok,356286464,raw/rust-cell-1000000-r3-put-append.json,raw/rust-cell-1000000-r3-put-append.stderr,raw/rust-cell-1000000-r3-put-append.time
rust,cell,1000000,3,put,random,n/a,0,ok,357941248,raw/rust-cell-1000000-r3-put-random.json,raw/rust-cell-1000000-r3-put-random.stderr,raw/rust-cell-1000000-r3-put-random.time
dolt-go,cell,1000000,3,put,random,n/a,0,ok,22970368,raw/dolt-go-cell-1000000-r3-put-random.json,raw/dolt-go-cell-1000000-r3-put-random.stderr,raw/dolt-go-cell-1000000-r3-put-random.time
dolt-go,cell,1000000,3,put,clustered,n/a,0,ok,22986752,raw/dolt-go-cell-1000000-r3-put-clustered.json,raw/dolt-go-cell-1000000-r3-put-clustered.stderr,raw/dolt-go-cell-1000000-r3-put-clustered.time
rust,cell,1000000,3,put,clustered,n/a,0,ok,357744640,raw/rust-cell-1000000-r3-put-clustered.json,raw/rust-cell-1000000-r3-put-clustered.stderr,raw/rust-cell-1000000-r3-put-clustered.time
