contract_version,kind,implementation,revision,records,repetition,operation,pattern,cache_state,logical_operations,observed_items,total_ns,ns_per_operation,operations_per_second,p50_ns,p95_ns,p99_ns,max_ns,chunk_reads,chunk_writes,bytes_read,bytes_written,result_entries,db_bytes,wal_bytes,shm_bytes,total_database_bytes,expected_entries,observed_entries,query_strategy,validated,error,peak_rss_bytes
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,batch,append,n/a,300000,300000,745257792,2484.19264,402545.27120730863,,,,,3,10463,9796,41751404,1300000,215007232,50947952,131072,266086256,1300000,1300000,,True,,163397632
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,batch,append,n/a,300000,300000,98976042,329.92014,3031036.541145988,,,,,3,5552,9035,31945227,1300000,10813440,4164616,32768,15010824,1300000,1300000,,True,,587710464
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,batch,clustered,n/a,300000,300000,748988250,2496.6275,400540.3289036911,,,,,10429,10446,41731476,41786728,1000000,215273472,51215752,131072,266620296,1000000,1000000,,True,,270057472
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,batch,clustered,n/a,300000,300000,204203208,680.67736,1469124.8141410197,,,,,5478,5476,31946024,31937594,1000000,10813440,4131824,32768,14978032,1000000,1000000,,True,,533020672
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,batch,random,n/a,300000,300000,1606000125,5353.33375,186799.48732880704,,,,,34767,34784,138991676,139047528,1000000,330919936,167539832,327680,498787448,1000000,1000000,,True,,710098944
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,batch,random,n/a,300000,300000,555262375,1850.8745833333332,540285.1219659895,,,,,18294,18295,106269253,106269858,1000000,10813440,12460992,32768,23307200,1000000,1000000,,True,,952647680
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,diff,append,n/a,300000,300000,43605542,145.35180666666668,6879859.445388846,,,,,3,0,13228,0,1300000,215273472,51215752,131072,266620296,1300000,1300000,,True,,165101568
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,diff,append,n/a,300000,300000,57424750,191.41583333333332,5224228.229117236,,,,,5552,0,31945227,0,1300000,10813440,4131824,32768,14978032,1300000,1300000,,True,,585826304
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,diff,clustered,n/a,300000,300000,60944250,203.1475,4922531.658031726,,,,,8,0,32480,0,1000000,215302144,51244592,131072,266677808,1000000,1000000,,True,,248676352
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,diff,clustered,n/a,300000,300000,72244917,240.81639,4152541.2784403916,,,,,5476,0,31937594,0,1000000,10813440,4099032,32768,14945240,1000000,1000000,,True,,563937280
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,diff,random,n/a,300000,300000,660871666,2202.9055533333335,453945.9254105773,,,,,50551,0,202342604,0,1000000,331034624,167655192,327680,499017496,1000000,1000000,,True,,749928448
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,diff,random,n/a,300000,300000,224398083,747.99361,1336909.8166493694,,,,,18278,0,106256724,0,1000000,10813440,12428200,32768,23274408,1000000,1000000,,True,,1210351616
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,full_scan,append,n/a,1000000,1000000,760830709,760.830709,1314352.8358816546,,,,,34803,0,139049756,0,1000000,165457920,0,32768,165490688,1000000,1000000,,True,,269860864
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,full_scan,append,n/a,1000000,1000000,553270916,553.270916,1807432.7984375742,,,,,18556,0,106460013,0,1000000,10813440,0,32768,10846208,1000000,1000000,,True,,369180672
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,get_cold,append,cold-manager,10000,10000,502349167,50234.9167,19906.472742294805,22583,82709,202208,4335417,30000,0,126730944,0,1000000,165457920,0,32768,165490688,1000000,1000000,,True,,29671424
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,get_cold,append,cold-manager,10000,10000,173556084,17355.6084,57618.26246321621,15000,27084,31250,1550209,30001,0,150304317,0,1000000,10813440,0,32768,10846208,1000000,1000000,,True,,358252544
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,get_cold,clustered,cold-manager,10000,10000,386187166,38618.7166,25894.180025651083,21250,63208,114708,973584,30000,0,138004656,0,1000000,165457920,0,32768,165490688,1000000,1000000,,True,,30212096
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,get_cold,clustered,cold-manager,10000,10000,192986541,19298.6541,51817.085005943496,16500,30917,37458,1269542,30001,0,176388195,0,1000000,10813440,0,32768,10846208,1000000,1000000,,True,,358989824
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,get_cold,random,cold-manager,10000,10000,420056417,42005.6417,23806.325996443473,24917,68458,126125,451792,30000,0,133430232,0,1000000,165457920,0,32768,165490688,1000000,1000000,,True,,29851648
sqlite-scale-v2,cell,rust,86284cbae642+src.682e1e415d14,1000000,1,get_cold,random,cold-manager,10000,10000,256881250,25688.125,38928.493224009144,21666,42208,116167,1234500,30001,0,171003196,0,1000000,10813440,0,32768,10846208,1000000,1000000,,True,,359251968
sqlite-scale-v2,cell,dolt-go,a0b1bf5466b9+runner.19c1244fc452,1000000,1,get_warm,append,warm-manager,10000,10000,9294333,929.4333,1075924.4369660523,750,1250,2209,96709,0,0,0,0,1000000,165457920,0,32768,165490688,1000000,1000000,,True,,32014336
