kind,records,operation,pattern,cache_state,runs,logical_operations,rust_median_ns,dolt_go_median_ns,go_over_rust_ratio,winner,rust_cv_percent,dolt_go_cv_percent,rust_peak_rss_bytes,dolt_go_peak_rss_bytes,rust_database_bytes,dolt_go_database_bytes
cell,1000000,batch,append,n/a,3,300000,83966959,760308000,9.05484739539037,rust,10.911605549178487,4.1464600339544235,587710464,163397632,15010824,266587456
cell,1000000,batch,clustered,n/a,3,300000,208324833,769656459,3.69450174478239,rust,3.0158865726198676,2.5010331640480676,533020672,278937600,14978032,266414920
cell,1000000,batch,random,n/a,3,300000,586699458,1606000125,2.737347210912201,rust,3.8581596476285367,4.065837272388637,984678400,656162816,23307200,498951816
cell,1000000,diff,append,n/a,3,300000,56973959,43605542,0.7653591704940147,dolt-go,0.5291668920853351,5.647662542774267,585826304,172982272,14978032,266620296
cell,1000000,diff,clustered,n/a,3,300000,72244917,60944250,0.8435783793619696,dolt-go,4.613867008344756,7.221443897201358,597409792,253689856,14945240,266677808
cell,1000000,diff,random,n/a,3,300000,223797750,660871666,2.9529861940077593,rust,0.24349675967299617,3.0186475621345905,1162412032,749928448,23274408,499017496
cell,1000000,full_scan,append,n/a,3,1000000,558073875,752239750,1.3479214557391708,rust,1.7011109596599305,0.7119072145419846,390627328,291717120,10846208,165482496
cell,1000000,get_cold,append,cold-manager,3,10000,173556084,376479666,2.169210420765198,rust,13.722752806760186,18.629460081149226,358252544,30261248,10846208,165482496
cell,1000000,get_cold,clustered,cold-manager,3,10000,192986541,371910458,1.927131581678538,rust,0.32268538757062426,2.385274676280906,358531072,29786112,10846208,165482496
cell,1000000,get_cold,random,cold-manager,3,10000,256881250,420858750,1.638339699763996,rust,17.273626409514435,3.052227780575847,358367232,30113792,10846208,165482496
cell,1000000,get_warm,append,warm-manager,3,10000,2591917,10661375,4.113316514379125,rust,1.8599477393061332,10.09745956176427,356810752,31801344,10846208,165482496
cell,1000000,get_warm,clustered,warm-manager,3,10000,2684250,9783500,3.6447797336313683,rust,1.9234736790685398,3.6236943805671107,357482496,32014336,10846208,165482496
cell,1000000,get_warm,random,warm-manager,3,10000,10013042,16148667,1.6127633340597194,rust,12.24496097457202,12.625204665470719,376668160,94732288,10846208,165482496
cell,1000000,merge,append,n/a,3,300000,37774333,3143875,0.08322780974054525,dolt-go,3.1895856332159718,5.315721195609622,554745856,160350208,16256920,241571536
cell,1000000,merge,clustered,n/a,3,300000,898875,121395083,135.05224085662633,rust,10.517433713597553,6.151960170391059,467550208,268713984,16289712,241542648
cell,1000000,merge,random,n/a,3,300000,490636000,2464184166,5.022428370523158,rust,1.8085712541530827,1.488260231531189,1304985600,881311744,50098264,830577840
cell,1000000,put,append,n/a,3,1,2376083,1317125,0.5543261746327885,dolt-go,12.005577282323134,7.331237172361672,356384768,20496384,11042992,165523728
cell,1000000,put,clustered,n/a,3,1,3504916,1744792,0.49781278638346826,dolt-go,62.62575805768691,6.044877790733069,356663296,22888448,11010200,165527848
cell,1000000,put,random,n/a,3,1,2721458,1602667,0.5889001410273463,dolt-go,11.323684505198143,10.393705805391566,357941248,23068672,11042992,165536040
cell,1000000,query,append,n/a,3,10000,9039250,15940750,1.7635036092596177,rust,4.761567755901077,3.0295525081121526,356827136,29392896,10846208,165482496
cell,1000000,query,clustered,n/a,3,10000,8594667,15356791,1.7867813843165767,rust,5.3620515471353585,2.7483992450057118,358006784,29507584,10846208,165482496
cell,1000000,query,random,n/a,3,10000,114656625,116757166,1.0183202758671817,rust,4.416131794644944,5.313438536698394,428867584,91586560,10846208,165482496
cell,1000000,scan,append,n/a,3,10000,13824292,9925375,0.7179662437685778,dolt-go,3.9245369007660527,6.019466518314089,357498880,28753920,10846208,165482496
cell,1000000,scan,clustered,n/a,3,10000,15755750,9215833,0.5849187122161751,dolt-go,4.571140181622815,12.752590865690033,357023744,28491776,10846208,165482496
cell,1000000,scan,random,n/a,3,10000,16026625,9516333,0.5937827209409342,dolt-go,14.819580379057104,4.0300835447042065,357351424,28459008,10846208,165482496
fixture,1000000,build,n/a,n/a,3,1000000,524832833,832583625,1.5863786955569528,rust,2.8703829809109167,1.813805147178265,401211392,503529472,10813440,165449728
