schema,revision,dirty,records,value_bytes,concurrency,read_parallelism,batch_get_parallelism,batch_write_parallelism,repetition,operation,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,validated,error
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,raw_batch_put,2500,2500,321193000,128477.2,7783.482205402982,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,raw_batch_get,2500,2500,185605084,74242.0336,13469.458627544922,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,2,raw_batch_put,2500,2500,207054042,82821.6168,12074.142459870453,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,2,raw_batch_get,2500,2500,77375375,30950.15,32310.0211145988,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,3,raw_batch_put,2500,2500,151454250,60581.7,16506.634841874693,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,3,raw_batch_get,2500,2500,54678375,21871.35,45721.91474234558,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,list_roots,1000,1000,36894959,36894.959,27103.97374340489,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,cas_conflict,100,100,106472500,1064725.0,939.2096550752542,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,2,cas_conflict,100,100,94941042,949410.42,1053.285258866234,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,3,cas_conflict,100,100,92936500,929365.0,1076.0035077714354,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,build,100000,100000,415867375,4158.67375,240461.27686741477,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,concurrent_query,10000,10000,3489589625,348958.9625,2865.6664750371615,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,query,10000,10000,418513958,41851.3958,23894.065678927727,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,batch,10000,100000,768331000,76833.1,13015.223907404492,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,diff,10000,10000,447421209,44742.1209,22350.303916862376,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,1,merge,20000,100000,227481958,11374.0979,87919.06037664754,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,2,concurrent_query,10000,10000,3314285541,331428.5541,3017.241537065258,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,2,query,10000,10000,432754542,43275.4542,23107.787508790607,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,2,batch,10000,100000,750630375,75063.0375,13322.136077959809,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,2,diff,10000,10000,433694333,43369.4333,23057.714245023348,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,2,merge,20000,100000,226802292,11340.1146,88182.53035996655,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,3,concurrent_query,10000,10000,3280006666,328000.6666,3048.774291728833,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,3,query,10000,10000,428352041,42835.2041,23345.283885317123,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,3,batch,10000,100000,789337167,78933.7167,12668.857388290193,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,3,diff,10000,10000,430853208,43085.3208,23209.76103768502,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,100000,256,32,16,8,8,3,merge,20000,100000,250720542,12536.0271,79770.08920154616,true,
