operation,runs,logical_operations,median_total_ms,median_ns_per_op,median_ops_per_sec,baseline_ops_per_sec,speedup
batch,3,10000,768.331,76833.100,13015.224,9098.668,1.430
build,1,100000,415.867,4158.674,240461.277,144271.493,1.667
cas_conflict,3,100,94.941,949410.420,1053.285,721.811,1.459
concurrent_query,3,10000,3314.286,331428.554,3017.242,,
diff,3,10000,433.694,43369.433,23057.714,22599.649,1.020
list_roots,1,1000,36.895,36894.959,27103.974,1393.016,19.457
merge,3,20000,227.482,11374.098,87919.060,86543.730,1.016
query,3,10000,428.352,42835.204,23345.284,23100.310,1.011
raw_batch_get,3,2500,77.375,30950.150,32310.021,12798.498,2.525
raw_batch_put,3,2500,207.054,82821.617,12074.142,5554.087,2.174
