schema,revision,dirty,records,value_bytes,concurrency,read_parallelism,batch_get_parallelism,batch_write_parallelism,repetition,operation,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,validated,error
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,raw_batch_put,2500,2500,744454208,297781.6832,3358.1649121392297,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,raw_batch_get,2500,2500,289562292,115824.9168,8633.720857548675,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,2,raw_batch_put,2500,2500,500636208,200254.4832,4993.646004924997,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,2,raw_batch_get,2500,2500,164805833,65922.3332,15169.36600174825,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,3,raw_batch_put,2500,2500,349792792,139917.1168,7147.088382541628,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,3,raw_batch_get,2500,2500,184050416,73620.1664,13583.234715427103,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,list_roots,1000,1000,48819542,48819.542,20483.6006040368,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,cas_conflict,100,100,123298083,1232980.83,811.0426177509994,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,2,cas_conflict,100,100,133140458,1331404.58,751.0864954362708,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,3,cas_conflict,100,100,94235792,942357.92,1061.167926513527,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,build,10000000,10000000,13117072709,1311.7072709,762365.218356891,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,concurrent_query,10000,10000,2294485583,229448.5583,4358.275368601434,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,query,10000,10000,2073649208,207364.9208,4822.41642483245,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,batch,10000,10000000,7281049792,728104.9792,1373.4283222437823,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,diff,10000,10000,2752351333,275235.1333,3633.257091891764,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,1,merge,20000,10000000,4229583959,211479.19795,4728.597468184223,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,2,concurrent_query,10000,10000,2721663125,272166.3125,3674.224009630141,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,2,query,10000,10000,2492400167,249240.0167,4012.1968102885303,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,2,batch,10000,10000000,8728436958,872843.6958,1145.6804979079966,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,2,diff,10000,10000,2775839500,277583.95,3602.5137620528853,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,2,merge,20000,10000000,3887122667,194356.13335,5145.193942499268,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,3,concurrent_query,10000,10000,2805318291,280531.8291,3564.657897138418,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,3,query,10000,10000,2073776875,207377.6875,4822.119544562865,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,3,batch,10000,10000000,7210525875,721052.5875,1386.8613986493738,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,3,diff,10000,10000,2743878584,274387.8584,3644.4761289043977,true,
dynamodb-local-scale-v1,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,3,merge,20000,10000000,3903810125,195190.50625,5123.199991700416,true,
