schema,revision,dirty,records,value_bytes,concurrency,read_parallelism,batch_get_parallelism,batch_write_parallelism,scan_parallelism,repetition,operation,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,validated,error
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,raw_batch_put,2500,2500,432167125,172866.85,5784.799109835113,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,raw_batch_get,2500,2500,179777917,71911.1668,13906.046091300524,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,2,raw_batch_put,2500,2500,213737000,85494.8,11696.617805995218,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,2,raw_batch_get,2500,2500,72288917,28915.5668,34583.447971699454,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,3,raw_batch_put,2500,2500,196204500,78481.8,12741.807654768367,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,3,raw_batch_get,2500,2500,80229459,32091.7836,31160.623929920803,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,list_roots,1000,1000,34266541,34266.541,29182.986400640788,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,cas_conflict,100,100,111085750,1110857.5,900.2054718989609,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,2,cas_conflict,100,100,104519875,1045198.75,956.7558323237566,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,3,cas_conflict,100,100,99375417,993754.17,1006.2850855760435,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,build,10000000,10000000,21081714542,2108.1714542,474344.72087540705,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,concurrent_query,10000,10000,2619052666,261905.2666,3818.1744604902115,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,query,10000,10000,1033149750,103314.975,9679.138963156116,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,batch,10000,10000000,8865121834,886512.1834,1128.0160822660612,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,diff,10000,10000,3308401916,330840.1916,3022.6073657007278,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,merge,20000,10000000,4073341208,203667.0604,4909.974141306947,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,2,concurrent_query,10000,10000,2561260041,256126.0041,3904.3282758964497,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,2,query,10000,10000,1071499792,107149.9792,9332.712964259727,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,2,batch,10000,10000000,8026845083,802684.5083,1245.819484068396,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,2,diff,10000,10000,3205906208,320590.6208,3119.2428446740137,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,2,merge,20000,10000000,3850719500,192535.975,5193.8345548150155,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,3,concurrent_query,10000,10000,2498756875,249875.6875,4001.9899895222898,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,3,query,10000,10000,1117624708,111762.4708,8947.547355046485,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,3,batch,10000,10000000,7590742083,759074.2083,1317.3942535072695,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,3,diff,10000,10000,3085845083,308584.5083,3240.6033780147477,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,3,merge,20000,10000000,4132869833,206643.49165,4839.252337517304,true,
dynamodb-local-scale-v2,1f0e05d7ec60340bd52027ba399b5ad3ca14823c,true,10000000,27,32,16,8,8,8,1,list_roots_large_table,1000,1001,71397644625,71397644.625,14.006064279182795,true,
