operation,runs,logical_operations,median_total_ms,median_ns_per_op,median_ops_per_sec,baseline_ops_per_sec,speedup
batch,3,10000,8026.845,802684.508,1245.819,1373.428,0.907
build,1,10000000,21081.715,2108.171,474344.721,762365.218,0.622
cas_conflict,3,100,104.520,1045198.750,956.756,811.043,1.180
concurrent_query,3,10000,2561.260,256126.004,3904.328,3674.224,1.063
diff,3,10000,3205.906,320590.621,3119.243,3633.257,0.859
list_roots,1,1000,34.267,34266.541,29182.986,20483.601,1.425
list_roots_large_table,1,1000,71397.645,71397644.625,14.006,,
merge,3,20000,4073.341,203667.060,4909.974,5123.200,0.958
query,3,10000,1071.500,107149.979,9332.713,4822.120,1.935
raw_batch_get,3,2500,80.229,32091.784,31160.624,13583.235,2.294
raw_batch_put,3,2500,213.737,85494.800,11696.618,4993.646,2.342
