schema,revision,dirty,records,value_bytes,concurrency,read_parallelism,batch_get_parallelism,batch_write_parallelism,scan_parallelism,repetition,operation,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,validated,error
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,raw_batch_put,2500,2500,295748333,118299.3332,8453.133022393064,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,raw_batch_get,2500,2500,139718500,55887.4,17893.12081077309,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,2,raw_batch_put,2500,2500,170040042,68016.0168,14702.419327795744,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,2,raw_batch_get,2500,2500,65573333,26229.3332,38125.25436216579,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,3,raw_batch_put,2500,2500,167062709,66825.0836,14964.440687957478,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,3,raw_batch_get,2500,2500,74313625,29725.45,33641.20644094539,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,list_roots,1000,1000,49559625,49559.625,20177.715226860575,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,cas_conflict,100,100,102287625,1022876.25,977.6353688923758,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,2,cas_conflict,100,100,89269042,892690.42,1120.2091762113903,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,3,cas_conflict,100,100,85465208,854652.08,1170.066771498409,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,build,10000000,10000000,11024746042,1102.4746042,907050.3721268395,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,concurrent_query,10000,10000,1994693500,199469.35,5013.301542317153,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,query,10000,10000,950333958,95033.3958,10522.616724172662,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,batch,10000,10000000,6956271792,695627.1792,1437.5516510870684,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,diff,10000,10000,2600585667,260058.5667,3845.2876699639214,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,merge,20000,10000000,3350490000,167524.5,5969.276135729401,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,2,concurrent_query,10000,10000,2014795833,201479.5833,4963.282053800039,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,2,query,10000,10000,1051298708,105129.8708,9512.04441126356,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,2,batch,10000,10000000,6627427458,662742.7458,1508.8810950211082,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,2,diff,10000,10000,2614080542,261408.0542,3825.436836903704,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,2,merge,20000,10000000,3120295250,156014.7625,6409.649856051283,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,3,concurrent_query,10000,10000,1954547917,195454.7917,5116.272623977834,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,3,query,10000,10000,971421666,97142.1666,10294.190823617064,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,3,batch,10000,10000000,6679951000,667995.1,1497.0169691364501,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,3,diff,10000,10000,2589186834,258918.6834,3862.2164567981886,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,3,merge,20000,10000000,3301321541,165066.07705,6058.179959635746,true,
dynamodb-local-scale-v3,3c6990ea38551f4fad35ec2d009c7cd4015fc887,true,10000000,27,32,16,8,8,8,1,list_roots_large_table,1000,1001,63433500,63433.5,15764.540818337315,true,
