operation,runs,logical_operations,median_total_ms,median_ns_per_op,median_ops_per_sec,baseline_ops_per_sec,speedup
batch,3,10000,6679.951,667995.100,1497.017,1245.819,1.202
build,1,10000000,11024.746,1102.475,907050.372,474344.721,1.912
cas_conflict,3,100,89.269,892690.420,1120.209,956.756,1.171
concurrent_query,3,10000,1994.694,199469.350,5013.302,3904.328,1.284
diff,3,10000,2600.586,260058.567,3845.288,3119.243,1.233
list_roots,1,1000,49.560,49559.625,20177.715,29182.986,0.691
list_roots_large_table,1,1000,63.434,63433.500,15764.541,14.006,1125.551
merge,3,20000,3301.322,165066.077,6058.180,4909.974,1.234
query,3,10000,971.422,97142.167,10294.191,9332.713,1.103
raw_batch_get,3,2500,74.314,29725.450,33641.206,31160.624,1.080
raw_batch_put,3,2500,170.040,68016.017,14702.419,11696.618,1.257
