schema,revision,dirty,records,value_bytes,concurrency,read_parallelism,batch_get_parallelism,batch_write_parallelism,scan_parallelism,repetition,operation,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,validated,error
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,raw_batch_put,2500,2500,322707959,129083.1836,7746.942491740651,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,raw_batch_get,2500,2500,210004083,84001.6332,11904.530446677078,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,2,raw_batch_put,2500,2500,178502292,71400.9168,14005.422406564954,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,2,raw_batch_get,2500,2500,74837625,29935.05,33405.65657982866,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,3,raw_batch_put,2500,2500,174160500,69664.2,14354.575233764257,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,3,raw_batch_get,2500,2500,66987333,26794.9332,37320.488636262024,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,list_roots,1000,1000,31390375,31390.375,31856.89881054304,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,cas_conflict,100,100,110232666,1102326.66,907.1721081299077,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,2,cas_conflict,100,100,94887833,948878.33,1053.8758957642124,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,3,cas_conflict,100,100,86844083,868440.83,1151.488927576102,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,build,10000000,10000000,10795314416,1079.5314416,926327.8135909367,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,concurrent_query,10000,10000,2129684250,212968.425,4695.531743731494,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,query,10000,10000,1367974041,136797.4041,7310.080235652659,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,batch,10000,10000000,8409560625,840956.0625,1189.122767041114,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,diff,10000,10000,2899669458,289966.9458,3448.668941354901,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,merge,20000,10000000,3268134667,163406.73335,6119.6988612342275,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,2,concurrent_query,10000,10000,2030069500,203006.95,4925.939727679274,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,2,query,10000,10000,961545875,96154.5875,10399.919816618214,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,2,batch,10000,10000000,6750765084,675076.5084,1481.3135808415282,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,2,diff,10000,10000,2587554875,258755.4875,3864.652339015612,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,2,merge,20000,10000000,3410350084,170517.5042,5864.500566622767,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,3,concurrent_query,10000,10000,2117821708,211782.1708,4721.832797456622,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,3,query,10000,10000,980636625,98063.6625,10197.457187569351,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,3,batch,10000,10000000,6902643625,690264.3625,1448.720308228284,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,3,diff,10000,10000,3173749875,317374.9875,3150.846914172781,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,3,merge,20000,10000000,3202720333,160136.01665,6244.691362503677,true,
dynamodb-local-scale-v4,aaf2d1632ffe88d4edd1c33a32b508100eae3ea0,true,10000000,27,32,16,8,8,8,1,list_roots_large_table,1000,1001,29913750,29913.75,33429.442981906315,true,
