operation,runs,logical_operations,median_total_ms,median_ns_per_op,median_ops_per_sec,baseline_ops_per_sec,speedup
batch,3,10000,6902.644,690264.363,1448.720,1245.819,1.163
build,1,10000000,10795.314,1079.531,926327.814,474344.721,1.953
cas_conflict,3,100,94.888,948878.330,1053.876,956.756,1.102
concurrent_query,3,10000,2117.822,211782.171,4721.833,3904.328,1.209
diff,3,10000,2899.669,289966.946,3448.669,3119.243,1.106
list_roots,1,1000,31.390,31390.375,31856.899,29182.986,1.092
list_roots_large_table,1,1000,29.914,29913.750,33429.443,14.006,2386.783
merge,3,20000,3268.135,163406.733,6119.699,4909.974,1.246
query,3,10000,980.637,98063.663,10197.457,9332.713,1.093
raw_batch_get,3,2500,74.838,29935.050,33405.657,31160.624,1.072
raw_batch_put,3,2500,178.502,71400.917,14005.422,11696.618,1.197
