records,phase,workload,implementation,runs,median_peak_rss_bytes
10000,fresh,append,native-go,3,31457280
10000,fresh,append,rust-go-binding,3,22691840
10000,fresh,clustered,native-go,3,29294592
10000,fresh,clustered,rust-go-binding,3,22003712
10000,fresh,random,native-go,3,29949952
10000,fresh,random,rust-go-binding,3,22528000
10000,mutation,append,native-go,3,34930688
10000,mutation,append,rust-go-binding,3,24576000
10000,mutation,clustered,native-go,3,31719424
10000,mutation,clustered,rust-go-binding,3,26722304
10000,mutation,random,native-go,3,31981568
10000,mutation,random,rust-go-binding,3,30310400
50000,fresh,append,native-go,3,57622528
50000,fresh,append,rust-go-binding,3,63848448
50000,fresh,clustered,native-go,3,56442880
50000,fresh,clustered,rust-go-binding,3,61325312
50000,fresh,random,native-go,3,57229312
50000,fresh,random,rust-go-binding,3,63143936
50000,mutation,append,native-go,3,57131008
50000,mutation,append,rust-go-binding,3,66666496
50000,mutation,clustered,native-go,3,67665920
50000,mutation,clustered,rust-go-binding,3,84115456
50000,mutation,random,native-go,3,68354048
50000,mutation,random,rust-go-binding,3,94601216
1000000,fresh,append,native-go,3,631914496
1000000,fresh,append,rust-go-binding,3,826343424
1000000,fresh,clustered,native-go,3,620052480
1000000,fresh,clustered,rust-go-binding,3,826949632
1000000,fresh,random,native-go,3,633044992
1000000,fresh,random,rust-go-binding,3,827768832
1000000,mutation,append,native-go,3,634519552
1000000,mutation,append,rust-go-binding,3,886784000
1000000,mutation,clustered,native-go,3,635437056
1000000,mutation,clustered,rust-go-binding,3,908476416
1000000,mutation,random,native-go,3,638271488
1000000,mutation,random,rust-go-binding,3,1396998144
5000000,fresh,append,native-go,3,3452600320
5000000,fresh,append,rust-go-binding,3,3452583936
5000000,fresh,clustered,native-go,3,3466870784
5000000,fresh,clustered,rust-go-binding,3,3449257984
5000000,fresh,random,native-go,3,3404578816
5000000,fresh,random,rust-go-binding,3,3842670592
5000000,mutation,append,native-go,3,3697999872
5000000,mutation,append,rust-go-binding,3,4082073600
5000000,mutation,clustered,native-go,3,3692347392
5000000,mutation,clustered,rust-go-binding,3,4167172096
5000000,mutation,random,native-go,3,3811409920
5000000,mutation,random,rust-go-binding,3,5389615104
10000000,fresh,append,native-go,3,6795132928
10000000,fresh,append,rust-go-binding,3,7630667776
10000000,fresh,clustered,native-go,3,6775455744
10000000,fresh,clustered,rust-go-binding,3,7636811776
10000000,fresh,random,native-go,3,6655361024
10000000,fresh,random,rust-go-binding,3,7633354752
10000000,mutation,append,native-go,3,7318257664
10000000,mutation,append,rust-go-binding,3,8148549632
10000000,mutation,clustered,native-go,3,7300202496
10000000,mutation,clustered,rust-go-binding,3,8585199616
10000000,mutation,random,native-go,3,7342833664
10000000,mutation,random,rust-go-binding,3,10972250112
