implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,write,10000,10321292,1032.129,968870.951,51f55fcd59187cbf,10000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,point_read,10000,56876959,5687.696,175818.120,51f55fcd59187cbf,10000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,range_scan,10000,1842208,184.221,5428268.686,51f55fcd59187cbf,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,write,10000,7297667,729.767,1370300.947,51f55fcd59187cbf,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,point_read,10000,4955250,495.525,2018061.652,51f55fcd59187cbf,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,range_scan,10000,207916,20.792,48096346.602,51f55fcd59187cbf,10000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,write,10000,8411708,841.171,1188819.203,004197dd790a1245,10000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,point_read,10000,84847708,8484.771,117858.222,004197dd790a1245,10000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,range_scan,10000,1828625,182.863,5468589.787,004197dd790a1245,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,write,10000,8673125,867.312,1152986.957,004197dd790a1245,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,point_read,10000,5468125,546.812,1828780.432,004197dd790a1245,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,range_scan,10000,248458,24.846,40248251.213,004197dd790a1245,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,write,10000,8401084,840.108,1190322.582,86e38047f6ae04b3,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,point_read,10000,4969625,496.962,2012224.262,86e38047f6ae04b3,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,range_scan,10000,202542,20.254,49372475.832,86e38047f6ae04b3,10000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,clustered,write,10000,5408625,540.862,1848898.750,86e38047f6ae04b3,10000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,clustered,point_read,10000,57137000,5713.700,175017.939,86e38047f6ae04b3,10000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,clustered,range_scan,10000,1695333,169.533,5898546.185,86e38047f6ae04b3,10000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,write,3000,3373458,1124.486,889295.198,2ef1df79e1226620,13000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,point_read,13000,5577417,429.032,2330828.052,2ef1df79e1226620,13000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,range_scan,13000,265833,20.449,48902882.637,2ef1df79e1226620,13000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,append,write,3000,1694959,564.986,1769954.317,2ef1df79e1226620,13000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,append,point_read,13000,49104375,3777.260,264742.195,2ef1df79e1226620,13000,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,append,range_scan,13000,2398250,184.481,5420619.202,2ef1df79e1226620,13000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,write,3000,4555583,1518.528,658532.618,3bc7e45ef276a1c5,11500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,point_read,13000,6098833,469.141,2131555.332,3bc7e45ef276a1c5,11500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,range_scan,11500,257875,22.424,44595249.636,3bc7e45ef276a1c5,11500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,random,write,3000,6684375,2228.125,448807.854,3bc7e45ef276a1c5,11500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,random,point_read,13000,75450209,5803.862,172299.059,3bc7e45ef276a1c5,11500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,random,range_scan,11500,2256625,196.228,5096105.910,3bc7e45ef276a1c5,11500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,clustered,write,3000,2578500,859.500,1163467.132,5caed8dbd3056277,11500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,clustered,point_read,13000,48206458,3708.189,269673.412,5caed8dbd3056277,11500,true,1
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,clustered,range_scan,11500,2153792,187.286,5339419.963,5caed8dbd3056277,11500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,clustered,write,3000,2203041,734.347,1361754.048,5caed8dbd3056277,11500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,clustered,point_read,13000,5844334,449.564,2224376.636,5caed8dbd3056277,11500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,clustered,range_scan,11500,229292,19.938,50154388.291,5caed8dbd3056277,11500,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,write,10000,6463875,646.388,1547059.620,51f55fcd59187cbf,10000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,point_read,10000,7393792,739.379,1352485.977,51f55fcd59187cbf,10000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,range_scan,10000,215292,21.529,46448544.303,51f55fcd59187cbf,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,write,10000,9067750,906.775,1102809.407,51f55fcd59187cbf,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,point_read,10000,66700583,6670.058,149923.727,51f55fcd59187cbf,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,range_scan,10000,1752458,175.246,5706270.849,51f55fcd59187cbf,10000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,write,10000,14050958,1405.096,711695.245,004197dd790a1245,10000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,point_read,10000,6558500,655.850,1524738.888,004197dd790a1245,10000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,range_scan,10000,198958,19.896,50261864.313,004197dd790a1245,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,write,10000,8462833,846.283,1181637.402,004197dd790a1245,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,point_read,10000,69812375,6981.238,143241.080,004197dd790a1245,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,range_scan,10000,1683708,168.371,5939272.130,004197dd790a1245,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,clustered,write,10000,5509791,550.979,1814950.876,86e38047f6ae04b3,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,clustered,point_read,10000,56458291,5645.829,177121.904,86e38047f6ae04b3,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,clustered,range_scan,10000,1681875,168.188,5945745.076,86e38047f6ae04b3,10000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,write,10000,7883125,788.312,1268532.467,86e38047f6ae04b3,10000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,point_read,10000,5105459,510.546,1958687.750,86e38047f6ae04b3,10000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,range_scan,10000,251583,25.158,39748313.678,86e38047f6ae04b3,10000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,append,write,3000,1678834,559.611,1786954.517,2ef1df79e1226620,13000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,append,point_read,13000,48832541,3756.349,266215.924,2ef1df79e1226620,13000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,append,range_scan,13000,2369750,182.288,5485810.740,2ef1df79e1226620,13000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,write,3000,3265209,1088.403,918777.328,2ef1df79e1226620,13000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,point_read,13000,5678958,436.843,2289152.341,2ef1df79e1226620,13000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,range_scan,13000,267625,20.587,48575432.041,2ef1df79e1226620,13000,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,random,write,3000,6875375,2291.792,436339.836,3bc7e45ef276a1c5,11500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,random,point_read,13000,79748292,6134.484,163012.896,3bc7e45ef276a1c5,11500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,random,range_scan,11500,1924750,167.370,5974801.922,3bc7e45ef276a1c5,11500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,write,3000,5744708,1914.903,522219.754,3bc7e45ef276a1c5,11500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,point_read,13000,6984084,537.237,1861375.092,3bc7e45ef276a1c5,11500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,range_scan,11500,241250,20.978,47668393.782,3bc7e45ef276a1c5,11500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,clustered,write,3000,2344708,781.569,1279477.018,5caed8dbd3056277,11500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,clustered,point_read,13000,6825208,525.016,1904703.857,5caed8dbd3056277,11500,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,clustered,range_scan,11500,264208,22.975,43526312.602,5caed8dbd3056277,11500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,clustered,write,3000,2564500,854.833,1169818.678,5caed8dbd3056277,11500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,clustered,point_read,13000,53302042,4100.157,243893.095,5caed8dbd3056277,11500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,mutation,clustered,range_scan,11500,2343541,203.786,4907104.250,5caed8dbd3056277,11500,true,2
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,write,10000,6693666,669.367,1493949.653,51f55fcd59187cbf,10000,true,3
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,point_read,10000,57579583,5757.958,173672.671,51f55fcd59187cbf,10000,true,3
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,append,range_scan,10000,1855416,185.542,5389626.908,51f55fcd59187cbf,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,write,10000,6543625,654.362,1528204.932,51f55fcd59187cbf,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,point_read,10000,4687333,468.733,2133409.340,51f55fcd59187cbf,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,range_scan,10000,227791,22.779,43899890.689,51f55fcd59187cbf,10000,true,3
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,write,10000,6482042,648.204,1542723.728,004197dd790a1245,10000,true,3
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,point_read,10000,57770500,5777.050,173098.727,004197dd790a1245,10000,true,3
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,random,range_scan,10000,1742833,174.283,5737784.400,004197dd790a1245,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,write,10000,9341209,934.121,1070525.239,004197dd790a1245,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,point_read,10000,5077458,507.746,1969489.457,004197dd790a1245,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,range_scan,10000,238625,23.863,41906757.465,004197dd790a1245,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,write,10000,7734583,773.458,1292894.523,86e38047f6ae04b3,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,point_read,10000,5039875,503.988,1984176.195,86e38047f6ae04b3,10000,true,3
native-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,range_scan,10000,211250,21.125,47337278.107,86e38047f6ae04b3,10000,true,3
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,clustered,write,10000,5360417,536.042,1865526.507,86e38047f6ae04b3,10000,true,3
rust-go-binding,5b12cbf906c3+binding.6d1fa4525595,10000,fresh,clustered,point_read,10000,56778000,5677.800,176124.555,86e38047f6ae04b3,10000,true,3
