records,phase,workload,operation,runs,rust_go_binding_median_ns_per_op,native_go_median_ns_per_op,winner,winner_speedup
10000,fresh,append,point_read,3,5757.958,495.525,native-go,11.620
10000,fresh,append,range_scan,3,184.221,21.529,native-go,8.557
10000,fresh,append,write,3,906.775,654.362,native-go,1.386
10000,fresh,clustered,point_read,3,5677.800,503.988,native-go,11.266
10000,fresh,clustered,range_scan,3,169.533,21.125,native-go,8.025
10000,fresh,clustered,write,3,540.862,788.312,rust-go-binding,1.458
10000,fresh,random,point_read,3,6981.238,546.812,native-go,12.767
10000,fresh,random,range_scan,3,174.283,23.863,native-go,7.303
10000,fresh,random,write,3,841.171,934.121,rust-go-binding,1.111
10000,mutation,append,point_read,3,3756.349,429.032,native-go,8.755
10000,mutation,append,range_scan,3,184.481,20.458,native-go,9.018
10000,mutation,append,write,3,564.986,1088.403,rust-go-binding,1.926
10000,mutation,clustered,point_read,3,3708.189,505.853,native-go,7.331
10000,mutation,clustered,range_scan,3,187.286,20.453,native-go,9.157
10000,mutation,clustered,write,3,859.500,781.569,native-go,1.100
10000,mutation,random,point_read,3,6134.484,536.529,native-go,11.434
10000,mutation,random,range_scan,3,196.228,20.978,native-go,9.354
10000,mutation,random,write,3,2291.792,1914.903,native-go,1.197
50000,fresh,append,point_read,3,6515.156,599.722,native-go,10.864
50000,fresh,append,range_scan,3,198.419,20.615,native-go,9.625
50000,fresh,append,write,3,581.342,871.857,rust-go-binding,1.500
50000,fresh,clustered,point_read,3,7497.852,597.970,native-go,12.539
50000,fresh,clustered,range_scan,3,188.499,20.781,native-go,9.071
50000,fresh,clustered,write,3,643.583,1018.122,rust-go-binding,1.582
50000,fresh,random,point_read,3,5912.048,643.403,native-go,9.189
50000,fresh,random,range_scan,3,188.895,21.731,native-go,8.692
50000,fresh,random,write,3,860.425,1232.973,rust-go-binding,1.433
50000,mutation,append,point_read,3,3745.493,542.892,native-go,6.899
50000,mutation,append,range_scan,3,184.780,22.920,native-go,8.062
50000,mutation,append,write,3,552.267,1149.808,rust-go-binding,2.082
50000,mutation,clustered,point_read,3,3814.747,483.879,native-go,7.884
50000,mutation,clustered,range_scan,3,191.021,21.419,native-go,8.918
50000,mutation,clustered,write,3,769.281,880.878,rust-go-binding,1.145
50000,mutation,random,point_read,3,5941.617,688.150,native-go,8.634
50000,mutation,random,range_scan,3,185.483,22.726,native-go,8.162
50000,mutation,random,write,3,2416.639,1885.558,native-go,1.282
1000000,fresh,append,point_read,3,6306.962,1419.550,native-go,4.443
1000000,fresh,append,range_scan,3,192.066,25.832,native-go,7.435
1000000,fresh,append,write,3,564.118,1985.419,rust-go-binding,3.520
1000000,fresh,clustered,point_read,3,6452.960,1414.483,native-go,4.562
1000000,fresh,clustered,range_scan,3,193.090,26.383,native-go,7.319
1000000,fresh,clustered,write,3,651.924,1673.054,rust-go-binding,2.566
1000000,fresh,random,point_read,3,6254.062,1417.366,native-go,4.412
1000000,fresh,random,range_scan,3,192.597,26.810,native-go,7.184
1000000,fresh,random,write,3,980.300,2517.612,rust-go-binding,2.568
1000000,mutation,append,point_read,3,3675.120,640.103,native-go,5.741
1000000,mutation,append,range_scan,3,192.485,26.379,native-go,7.297
1000000,mutation,append,write,3,680.568,1671.144,rust-go-binding,2.456
1000000,mutation,clustered,point_read,3,3575.040,642.557,native-go,5.564
1000000,mutation,clustered,range_scan,3,190.051,27.502,native-go,6.910
1000000,mutation,clustered,write,3,875.085,1260.801,rust-go-binding,1.441
1000000,mutation,random,point_read,3,6402.450,1421.568,native-go,4.504
1000000,mutation,random,range_scan,3,187.980,27.291,native-go,6.888
1000000,mutation,random,write,3,2760.387,2566.332,native-go,1.076
5000000,fresh,append,point_read,3,6675.889,1519.160,native-go,4.394
5000000,fresh,append,range_scan,3,193.587,38.241,native-go,5.062
5000000,fresh,append,write,3,558.537,7107.855,rust-go-binding,12.726
5000000,fresh,clustered,point_read,3,6567.358,1696.545,native-go,3.871
5000000,fresh,clustered,range_scan,3,193.914,38.918,native-go,4.983
5000000,fresh,clustered,write,3,679.989,3689.514,rust-go-binding,5.426
5000000,fresh,random,point_read,3,6603.120,1701.083,native-go,3.882
5000000,fresh,random,range_scan,3,202.499,38.559,native-go,5.252
5000000,fresh,random,write,3,1053.436,5164.674,rust-go-binding,4.903
5000000,mutation,append,point_read,3,3640.715,670.766,native-go,5.428
5000000,mutation,append,range_scan,3,194.422,43.292,native-go,4.491
5000000,mutation,append,write,3,587.654,3025.909,rust-go-binding,5.149
5000000,mutation,clustered,point_read,3,3399.447,658.731,native-go,5.161
5000000,mutation,clustered,range_scan,3,187.905,39.389,native-go,4.770
5000000,mutation,clustered,write,3,781.726,2565.200,rust-go-binding,3.281
5000000,mutation,random,point_read,3,6746.767,2127.721,native-go,3.171
5000000,mutation,random,range_scan,3,192.014,40.373,native-go,4.756
5000000,mutation,random,write,3,3113.507,4185.815,rust-go-binding,1.344
10000000,fresh,append,point_read,3,6566.550,1768.055,native-go,3.714
10000000,fresh,append,range_scan,3,193.117,39.133,native-go,4.935
10000000,fresh,append,write,3,534.377,14164.496,rust-go-binding,26.507
10000000,fresh,clustered,point_read,3,6510.945,1513.880,native-go,4.301
10000000,fresh,clustered,range_scan,3,192.828,39.621,native-go,4.867
10000000,fresh,clustered,write,3,648.179,7629.967,rust-go-binding,11.771
10000000,fresh,random,point_read,3,6537.536,1485.150,native-go,4.402
10000000,fresh,random,range_scan,3,192.385,39.344,native-go,4.890
10000000,fresh,random,write,3,1013.454,9224.789,rust-go-binding,9.102
10000000,mutation,append,point_read,3,3593.099,683.807,native-go,5.255
10000000,mutation,append,range_scan,3,194.882,40.583,native-go,4.802
10000000,mutation,append,write,3,549.310,4682.912,rust-go-binding,8.525
10000000,mutation,clustered,point_read,3,3363.734,694.129,native-go,4.846
10000000,mutation,clustered,range_scan,3,189.574,40.190,native-go,4.717
10000000,mutation,clustered,write,3,767.170,4035.539,rust-go-binding,5.260
10000000,mutation,random,point_read,3,6810.516,2383.378,native-go,2.858
10000000,mutation,random,range_scan,3,189.762,39.024,native-go,4.863
10000000,mutation,random,write,3,2997.503,5505.532,rust-go-binding,1.837
