records,phase,workload,implementation,runs,median_peak_rss_bytes
5000000,fresh,append,native-go,3,3437477888
5000000,fresh,append,rust-go-binding,3,3465281536
5000000,fresh,clustered,native-go,3,3462201344
5000000,fresh,clustered,rust-go-binding,3,3652239360
5000000,fresh,random,native-go,3,3378708480
5000000,fresh,random,rust-go-binding,3,3850076160
5000000,mutation,append,native-go,3,3712368640
5000000,mutation,append,rust-go-binding,3,4081647616
5000000,mutation,clustered,native-go,3,3706634240
5000000,mutation,clustered,rust-go-binding,3,4234510336
5000000,mutation,random,native-go,3,3804069888
5000000,mutation,random,rust-go-binding,3,6130450432
10000000,fresh,append,native-go,3,6807191552
10000000,fresh,append,rust-go-binding,3,7568441344
10000000,fresh,clustered,native-go,3,6805176320
10000000,fresh,clustered,rust-go-binding,3,7570948096
10000000,fresh,random,native-go,3,6650691584
10000000,fresh,random,rust-go-binding,3,7580155904
10000000,mutation,append,native-go,3,7290437632
10000000,mutation,append,rust-go-binding,3,8011988992
10000000,mutation,clustered,native-go,3,7317110784
10000000,mutation,clustered,rust-go-binding,3,8689680384
10000000,mutation,random,native-go,3,7496908800
10000000,mutation,random,rust-go-binding,3,9299689472
