implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,write,5000000,2821601084,564.320,1772043.549,d1647945eb322bb6,5000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,point_read,100000,98372334,983.723,1016545.973,d1647945eb322bb6,5000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,append,range_scan,5000000,191015916,38.203,26175829.243,d1647945eb322bb6,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,write,5000000,31183024125,6236.605,160343.653,d1647945eb322bb6,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,point_read,100000,145286958,1452.870,688293.026,d1647945eb322bb6,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,range_scan,5000000,182253417,36.451,27434327.884,d1647945eb322bb6,5000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,write,5000000,5256619875,1051.324,951181.580,381618c8cd44f2be,5000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,point_read,100000,108516958,1085.170,921514.958,381618c8cd44f2be,5000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,random,range_scan,5000000,180883000,36.177,27642177.540,381618c8cd44f2be,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,write,5000000,29928457292,5985.691,167065.076,381618c8cd44f2be,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,point_read,100000,149900708,1499.007,667108.257,381618c8cd44f2be,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,range_scan,5000000,186983708,37.397,26740297.609,381618c8cd44f2be,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,write,5000000,20039748834,4007.950,249504.125,8ef05bfe0e072492,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,point_read,100000,156724916,1567.249,638060.639,8ef05bfe0e072492,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,range_scan,5000000,194385416,38.877,25722094.295,8ef05bfe0e072492,5000000,true,1
rust-go-binding,53e6d8ac90a4+binding.5672162d108e,5000000,fresh,clustered,write,5000000,3379043334,675.809,1479708.754,8ef05bfe0e072492,5000000,true,1
