records,phase,workload,operation,runs,rust_go_binding_median_ns_per_op,native_go_median_ns_per_op,winner,winner_speedup
5000000,fresh,append,point_read,3,1041.965,1647.662,rust-go-binding,1.581
5000000,fresh,append,range_scan,3,38.108,37.973,native-go,1.004
5000000,fresh,append,write,3,562.572,6331.907,rust-go-binding,11.255
5000000,fresh,clustered,point_read,3,1007.162,1567.249,rust-go-binding,1.556
5000000,fresh,clustered,range_scan,3,38.042,38.299,rust-go-binding,1.007
5000000,fresh,clustered,write,3,676.543,3724.167,rust-go-binding,5.505
5000000,fresh,random,point_read,3,1047.356,1622.433,rust-go-binding,1.549
5000000,fresh,random,range_scan,3,37.502,38.296,rust-go-binding,1.021
5000000,fresh,random,write,3,1043.417,4894.948,rust-go-binding,4.691
5000000,mutation,append,point_read,3,338.250,668.230,rust-go-binding,1.976
5000000,mutation,append,range_scan,3,36.861,42.315,rust-go-binding,1.148
5000000,mutation,append,write,3,560.395,2995.425,rust-go-binding,5.345
5000000,mutation,clustered,point_read,3,327.053,665.160,rust-go-binding,2.034
5000000,mutation,clustered,range_scan,3,39.058,39.354,rust-go-binding,1.008
5000000,mutation,clustered,write,3,788.486,2460.253,rust-go-binding,3.120
5000000,mutation,random,point_read,3,1152.975,1975.750,rust-go-binding,1.714
5000000,mutation,random,range_scan,3,38.790,39.529,rust-go-binding,1.019
5000000,mutation,random,write,3,2757.314,4066.211,rust-go-binding,1.475
10000000,fresh,append,point_read,3,1261.084,1793.198,rust-go-binding,1.422
10000000,fresh,append,range_scan,3,35.093,40.531,rust-go-binding,1.155
10000000,fresh,append,write,3,558.220,14664.306,rust-go-binding,26.270
10000000,fresh,clustered,point_read,3,1177.458,1806.724,rust-go-binding,1.534
10000000,fresh,clustered,range_scan,3,37.900,40.202,rust-go-binding,1.061
10000000,fresh,clustered,write,3,679.333,7436.281,rust-go-binding,10.946
10000000,fresh,random,point_read,3,1234.807,1678.708,rust-go-binding,1.359
10000000,fresh,random,range_scan,3,39.275,40.484,rust-go-binding,1.031
10000000,fresh,random,write,3,1075.276,9732.225,rust-go-binding,9.051
10000000,mutation,append,point_read,3,353.160,689.776,rust-go-binding,1.953
10000000,mutation,append,range_scan,3,39.234,41.105,rust-go-binding,1.048
10000000,mutation,append,write,3,608.787,4806.352,rust-go-binding,7.895
10000000,mutation,clustered,point_read,3,331.420,710.105,rust-go-binding,2.143
10000000,mutation,clustered,range_scan,3,38.028,42.225,rust-go-binding,1.110
10000000,mutation,clustered,write,3,787.675,4371.715,rust-go-binding,5.550
10000000,mutation,random,point_read,3,1459.738,2678.214,rust-go-binding,1.835
10000000,mutation,random,range_scan,3,39.002,40.121,rust-go-binding,1.029
10000000,mutation,random,write,3,3473.031,5915.948,rust-go-binding,1.703
