records,phase,workload,implementation,runs,median_peak_rss_bytes
5000000,fresh,append,native-go,3,3453042688
5000000,fresh,append,rust-go-binding,3,3817521152
5000000,fresh,clustered,native-go,3,3450339328
5000000,fresh,clustered,rust-go-binding,3,3819225088
5000000,fresh,random,native-go,3,3379200000
5000000,fresh,random,rust-go-binding,3,3874848768
5000000,mutation,append,native-go,3,3705864192
5000000,mutation,append,rust-go-binding,3,4082024448
5000000,mutation,clustered,native-go,3,3695165440
5000000,mutation,clustered,rust-go-binding,3,4354555904
5000000,mutation,random,native-go,3,3802218496
5000000,mutation,random,rust-go-binding,3,6612975616
10000000,fresh,append,native-go,3,6777028608
10000000,fresh,append,rust-go-binding,3,7577485312
10000000,fresh,clustered,native-go,3,6822363136
10000000,fresh,clustered,rust-go-binding,3,7572406272
10000000,fresh,random,native-go,3,6666911744
10000000,fresh,random,rust-go-binding,3,7574175744
10000000,mutation,append,native-go,3,7310049280
10000000,mutation,append,rust-go-binding,3,8152154112
10000000,mutation,clustered,native-go,3,7314833408
10000000,mutation,clustered,rust-go-binding,3,8685502464
10000000,mutation,random,native-go,3,7455883264
10000000,mutation,random,rust-go-binding,3,10213376000
