implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,write,5000000,2747898583,549.580,1819572.247,d1647945eb322bb6,5000000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,point_read,100000,109194250,1091.943,915799.138,d1647945eb322bb6,5000000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,range_scan,5000000,185591000,37.118,26940961.577,d1647945eb322bb6,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,write,5000000,34403747667,6880.750,145333.004,d1647945eb322bb6,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,point_read,100000,181431292,1814.313,551172.837,d1647945eb322bb6,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,range_scan,5000000,189515750,37.903,26383031.489,d1647945eb322bb6,5000000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,random,write,5000000,5322235375,1064.447,939454.881,381618c8cd44f2be,5000000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,random,point_read,100000,110285500,1102.855,906737.513,381618c8cd44f2be,5000000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,random,range_scan,5000000,179988750,35.998,27779513.997,381618c8cd44f2be,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,write,5000000,26373671209,5274.734,189583.011,381618c8cd44f2be,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,point_read,100000,176196041,1761.960,567549.642,381618c8cd44f2be,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,range_scan,5000000,194624000,38.925,25690562.315,381618c8cd44f2be,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,write,5000000,19899187708,3979.838,251266.538,8ef05bfe0e072492,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,point_read,100000,175593208,1755.932,569498.110,8ef05bfe0e072492,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,clustered,range_scan,5000000,195290583,39.058,25602873.027,8ef05bfe0e072492,5000000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,clustered,write,5000000,3444391583,688.878,1451635.181,8ef05bfe0e072492,5000000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,clustered,point_read,100000,108494084,1084.941,921709.243,8ef05bfe0e072492,5000000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,clustered,range_scan,5000000,189678750,37.936,26360359.292,8ef05bfe0e072492,5000000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,write,1500000,4598633583,3065.756,326183.849,d63ec1ddc44a3175,6500000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,point_read,100000,68678625,686.786,1456057.107,d63ec1ddc44a3175,6500000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,append,range_scan,6500000,256004417,39.385,25390186.920,d63ec1ddc44a3175,6500000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,append,write,1500000,850378084,566.919,1763921.282,d63ec1ddc44a3175,6500000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,append,point_read,100000,34588958,345.890,2891096.054,d63ec1ddc44a3175,6500000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,append,range_scan,6500000,246642458,37.945,26353937.812,d63ec1ddc44a3175,6500000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,write,1500000,6186167750,4124.112,242476.451,cf7592b3374c733e,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,point_read,100000,218340125,2183.401,458001.020,cf7592b3374c733e,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,random,range_scan,5750000,238830125,41.536,24075689.782,cf7592b3374c733e,5750000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,random,write,1500000,3926726250,2617.818,381997.599,cf7592b3374c733e,5750000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,random,point_read,100000,123885375,1238.854,807197.783,cf7592b3374c733e,5750000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,random,range_scan,5750000,216143334,37.590,26602717.251,cf7592b3374c733e,5750000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,clustered,write,1500000,1177601500,785.068,1273775.551,e8f1b4b849a1800c,5750000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,clustered,point_read,100000,33032250,330.322,3027344.489,e8f1b4b849a1800c,5750000,true,1
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,mutation,clustered,range_scan,5750000,215975708,37.561,26623364.513,e8f1b4b849a1800c,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,write,1500000,3936172041,2624.115,381080.904,e8f1b4b849a1800c,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,point_read,100000,65805208,658.052,1519636.561,e8f1b4b849a1800c,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,mutation,clustered,range_scan,5750000,250621875,43.586,22942929.463,e8f1b4b849a1800c,5750000,true,1
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,write,5000000,34310460333,6862.092,145728.153,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,point_read,100000,154320083,1543.201,648003.799,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,append,range_scan,5000000,192626375,38.525,25956985.382,d1647945eb322bb6,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,write,5000000,2719729667,543.946,1838418.009,d1647945eb322bb6,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,point_read,100000,108353458,1083.535,922905.478,d1647945eb322bb6,5000000,true,2
rust-go-binding,c76618184bdf+binding.5672162d108e,5000000,fresh,append,range_scan,5000000,187732208,37.546,26633682.378,d1647945eb322bb6,5000000,true,2
native-go,6b2372c7d4de+runner.0eeaa05ba605,5000000,fresh,random,write,5000000,26647177458,5329.435,187637.134,381618c8cd44f2be,5000000,true,2
