suite,target,records,api,pattern,pairs,samples_per_revision_pair,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns,status,reasons
sqlite-turso,sqlite-sync,10000,batch,append,20,1,0.3391977480647431,645.5,-0.33674782518715096,0.3391977480647431,645.5,-1.7213828741248325,-5604.5,pass,
sqlite-turso,sqlite-sync,10000,batch,clustered,20,1,-4.131985774530767,-15167.0,4.310852023545255,-4.131985774530767,-15167.0,-4.406940980199558,-21645.5,pass,
sqlite-turso,sqlite-sync,10000,batch,random,20,1,-0.06922625468779249,-2625.5,0.06928080635435588,-0.06922625468779249,-2625.5,-0.4093112893705293,-41853.5,pass,
sqlite-turso,sqlite-sync,10000,diff,append,20,1,-0.6254226647778105,-458.5,0.6315163182456609,-0.6254226647778105,-458.5,0.6386251435787039,708.5,pass,
sqlite-turso,sqlite-sync,10000,diff,clustered,20,1,-0.5510577594626002,-1145.5,0.5543358714797318,-0.5510577594626002,-1145.5,1.537377542867321,3416.5,pass,
sqlite-turso,sqlite-sync,10000,diff,random,20,1,1.6957276013815443,46061.5,-1.6663674666478236,1.6957276013815443,46061.5,3.179818821596214,86646.0,pass,
sqlite-turso,sqlite-sync,10000,merge,append,20,1,0.4732381376018192,1354.0,-0.47100878007447133,0.4732381376018192,1354.0,3.5370692228248526,13271.0,pass,
sqlite-turso,sqlite-sync,10000,merge,clustered,20,1,2.6016240721813277,4375.0,-2.5321671286315635,2.6016240721813277,4375.0,-2.9430360252614536,-4728.5,pass,
sqlite-turso,sqlite-sync,10000,merge,random,20,1,-0.29327766840039277,-15229.0,0.2943948853318165,-0.29327766840039277,-15229.0,0.6202323992659454,34395.5,pass,
sqlite-turso,sqlite-sync,10000,put,append,20,1,0.1894825551228831,35479.5,-0.188932575301468,-0.16958443734409834,-167.0,0.5784644801008254,854.5,pass,
sqlite-turso,sqlite-sync,10000,put,clustered,20,1,4.066623709951884,605208.0,-3.907322733572232,0.8483538479174619,604.0,1.9813182327078294,2854.0,pass,
sqlite-turso,sqlite-sync,10000,put,random,20,1,-1.6208150967452077,-408416.5,1.647547105973699,-0.7065480623075746,-1021.0,-2.3430558855633254,-5875.0,pass,
sqlite-turso,turso-async,10000,batch,append,20,1,-1.401868702919043,-19833.0,1.4304650193474924,-1.401868702919043,-19833.0,4.815850800649646,75499.5,pass,
sqlite-turso,turso-async,10000,batch,clustered,20,1,1.163698583989186,28000.0,-1.1441890735932518,1.163698583989186,28000.0,-2.5795577648556796,-74354.0,pass,
sqlite-turso,turso-async,10000,batch,random,20,1,0.2640107827978407,20354.5,-0.2633060885057201,0.2640107827978407,20354.5,0.18391199339364833,20020.5,pass,
sqlite-turso,turso-async,10000,diff,append,20,1,1.6499918067146384,12083.5,-1.6231732837110817,1.6499918067146384,12083.5,-1.9856626495386147,-19916.5,pass,
sqlite-turso,turso-async,10000,diff,clustered,20,1,1.586220147629834,11688.0,-1.5450513181130558,1.586220147629834,11688.0,3.95618404714709,41375.0,pass,
sqlite-turso,turso-async,10000,diff,random,20,1,-1.3759106051861725,-94958.0,1.3983549775145838,-1.3759106051861725,-94958.0,-2.7823620827678357,-270542.0,pass,
sqlite-turso,turso-async,10000,merge,append,20,1,0.7835279073267254,22042.0,-0.7771384573212268,0.7835279073267254,22042.0,2.534686360862693,79895.0,pass,
sqlite-turso,turso-async,10000,merge,clustered,20,1,-2.846570699182865,-41271.0,2.9299779977430305,-2.846570699182865,-41271.0,1.3145684356631566,25146.0,pass,
sqlite-turso,turso-async,10000,merge,random,20,1,-0.14932940670483918,-20229.5,0.14955561477349924,-0.14932940670483918,-20229.5,-4.504972726549255,-713354.0,pass,
sqlite-turso,turso-async,10000,put,append,20,1,-64.90407208211559,-61314437.5,184.939113445305,-67.40338218660438,-610230.0,-65.24865567277692,-745208.5,pass,
sqlite-turso,turso-async,10000,put,clustered,20,1,-69.93444784531482,-62602979.0,232.61137953202353,-74.22899113468472,-639874.5,-65.46136685416093,-819729.5,pass,
sqlite-turso,turso-async,10000,put,random,20,1,-57.1312237897895,-65348791.0,133.2700285050788,-62.32565006418086,-685625.0,-49.2901157506692,-823396.0,pass,
