suite,revision_role,pair,schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,append,100,100,18217667,5489.177071904981,101083,147750,286875,14157584,483328,42962736,10100,10100,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,append,100,100,17679333,5656.321989070515,97417,140292,218125,10579709,483328,42962736,10100,10100,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,random,100,100,25803208,3875.487109974853,145917,264125,6648417,12713042,483328,67166072,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,random,100,100,26059834,3837.3229852500212,145042,252875,5616625,12630792,483328,67166072,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,clustered,100,100,15016167,6659.489069347724,69834,138750,398667,12564959,483328,35786616,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,clustered,100,100,15595375,6412.157450526198,71542,150709,632583,10991250,483328,35786616,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,append,100,100,173917,574986.9190475916,173917,338792,1509750,1509750,483328,1612048,10100,10100,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,append,100,100,165459,604379.3326443409,165459,348708,1311791,1311791,483328,1612048,10100,10100,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,random,100,100,3885833,25734.507890586137,3885833,11132916,11922375,11922375,483328,17017216,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,random,100,100,3841667,26030.366504957354,3841667,10467125,11077042,11077042,483328,17017216,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,clustered,100,100,347750,287562.9043853343,347750,478958,1827167,1827167,483328,2778008,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,clustered,100,100,348708,286772.88734413893,348708,460084,1343875,1343875,483328,2778008,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,diff,append,100,100,69333,1442314.6265126274,69333,77167,109458,109458,483328,499712,10100,10100,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,diff,append,100,100,176959,565102.6508965354,176959,271458,1564958,1564958,483328,499712,10100,10100,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,diff,random,100,100,3256709,30705.844458316664,3256709,6719708,7786542,7786542,483328,925696,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,diff,random,100,100,2604625,38393.24278926909,2604625,4433458,15671792,15671792,483328,925696,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,diff,clustered,100,100,201167,497099.4248559654,201167,252834,267792,267792,483328,520192,10000,10000,true,
sqlite-turso,candidate,1,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,diff,clustered,100,100,211875,471976.401179941,211875,528625,822334,822334,483328,520192,10000,10000,true,
sqlite-turso,baseline,1,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,merge,append,100,200,271375,736987.5633348688,271375,395125,521583,521583,483328,536576,10200,10200,true,
