suite,revision_role,pair,revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,diff,append,1,19125,5228758.169934641,19125,19125,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,diff,random,1,695125,143859.01816220104,695125,695125,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,diff,clustered,1,18000,5555555.555555555,18000,18000,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,merge,append,1,275000,727272.7272727272,275000,275000,9e2f9091b7b3cbeec9f3b35ddd24f96548e2e901760ed932bb9cf76e34d9107e,87,302284,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,merge,random,1,2473875,80844.82845737961,2473875,2473875,9655f177ac9fe3b002a2a7a905e1a0b3db49dc47c5a3ada1895b6154b8b60204,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,merge,clustered,1,75542,2647533.822244579,75542,75542,df7b52a53ca689bcc38796a58ffb6a8d8990151671e3bbaf8ac3c75730bcfb30,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,reopen,append,1,250,4000000.0,250,250,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,reopen,random,1,375,2666666.6666666665,375,375,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,reopen,clustered,1,208,4807692.307692307,208,208,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,diff,append,2,8708,11483693.155718878,8708,8708,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
