suite,revision_role,pair,revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,diff,append,1,25459,3927884.0488628773,25459,25459,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,diff,random,1,94167,1061943.1435640936,94167,94167,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,reopen,append,1,1112291,899.0453037919033,1112291,1112291,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,reopen,random,1,505375,1978.7286668315608,505375,505375,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,diff,append,2,11667,8571183.680466272,11667,11667,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,diff,random,2,93542,1069038.5067670136,93542,93542,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,reopen,append,2,409250,2443.494196701283,409250,409250,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,reopen,random,2,414250,2414.0012070006032,414250,414250,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,diff,append,3,10208,9796238.244514108,10208,10208,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,diff,random,3,89000,1123595.5056179776,89000,89000,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,reopen,append,3,452875,2208.1148219707425,452875,452875,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,turso-async,10000,100,reopen,random,3,477666,2093.513040492729,477666,477666,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,append,1,24125,4145077.720207254,24125,24125,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,random,1,87708,1140146.8509143977,87708,87708,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,reopen,append,1,468875,2132.7645961077046,468875,468875,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,reopen,random,1,426000,2347.417840375587,426000,426000,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527,86,296404,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,append,2,13084,7642922.653622746,13084,13084,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,candidate,1,81357948363fdb51dbc201ae5ba1a7377bb297e0,turso-async,10000,100,diff,random,2,82667,1209672.5416429772,82667,82667,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
