suite,revision_role,pair,revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,put,append,1,8030542,12452.459622277052,76792,97083,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,put,random,1,3904833,25609.289821101185,35833,64666,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,put,clustered,1,3850041,25973.74937046125,35333,50000,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,batch,append,1,134917,741196.4392923056,134917,134917,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,batch,random,1,1719083,58170.54790257364,1719083,1719083,0c37af9243d78a24049df85d45d283d18f784374711afd219204301e2e4aff92,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,batch,clustered,1,113667,879762.8159448213,113667,113667,248213085e1db13263248cb7b60267666a7fd33653591b04593d8691dbb0cd7c,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,build,append,1,3749584,2666962.521709075,3749584,3749584,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,build,random,1,4324500,2312406.058503873,4324500,4324500,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,build,clustered,1,3583250,2790762.5758738574,3583250,3583250,eb395665b49a99310391fce18c86d806d4f77842066f2cb151fc96df7211aa50,86,296404,true,true,true,true
local-adapters,baseline,1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,memory-sync,10000,100,diff,append,1,31500,3174603.1746031744,31500,31500,3176e894d24515910ab6bfb7c9c7624bbf45eaa0e8cc826e89a8e1f8161b06c3,86,299311,true,true,true,true
