suite,target,records,api,pattern,pairs,samples_per_revision_pair,baseline_median_ns,candidate_median_ns,median_latency_change_pct,baseline_throughput,candidate_throughput,throughput_change_pct,baseline_p50_ns,candidate_p50_ns,p50_change_pct,baseline_p95_ns,candidate_p95_ns,p95_change_pct,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns
local-adapters,file-sync,10000,batch,append,5,3,9025458.0,9037625.0,0.13480756322837023,11079.770134656877,11064.853874773517,-0.13462607709435878,9025458.0,9037625.0,0.13480756322837023,9025458.0,9037625.0,0.13480756322837023,26.027529741077675,1859667.0,-20.652257323896592,26.027529741077675,1859667.0,26.027529741077675,1859667.0
local-adapters,file-sync,10000,batch,clustered,5,3,12036958.0,12433375.0,3.293332086063605,8307.74685763629,8042.868489046618,-3.1883297978223952,12036958.0,12433375.0,3.293332086063605,12036958.0,12433375.0,3.293332086063605,3.387099711368022,407334.0,-3.276133793117316,3.387099711368022,407334.0,3.387099711368022,407334.0
local-adapters,file-sync,10000,batch,random,5,3,168741833.0,153202125.0,-9.209161547984369,592.621273706325,652.7324604668506,10.14327183777642,168741833.0,153202125.0,-9.209161547984369,168741833.0,153202125.0,-9.209161547984369,-11.409195612307734,-16860167.0,12.878532587173098,-11.409195612307734,-16860167.0,-11.409195612307734,-16860167.0
local-adapters,file-sync,10000,build,append,5,3,273789375.0,252291958.0,-7.851808347201201,36524.426851845514,39636.618143809406,8.520849087072365,273789375.0,252291958.0,-7.851808347201201,273789375.0,252291958.0,-7.851808347201201,-3.062737091419071,-7474250.0,3.159504404727695,-3.062737091419071,-7474250.0,-3.062737091419071,-7474250.0
local-adapters,file-sync,10000,build,clustered,5,3,241150959.0,240237458.0,-0.37880877761717713,41467.80108803134,41625.48206782974,0.38024919494444365,241150959.0,240237458.0,-0.37880877761717713,241150959.0,240237458.0,-0.37880877761717713,-0.31150922268094006,-704668.0,0.31248263490794626,-0.31150922268094006,-704668.0,-0.31150922268094006,-704668.0
local-adapters,file-sync,10000,build,random,5,3,245114500.0,242367375.0,-1.1207517303137922,40797.26005601464,41259.678618048325,1.1334549462360608,245114500.0,242367375.0,-1.1207517303137922,245114500.0,242367375.0,-1.1207517303137922,1.422320643223153,3356333.0,-1.4023743828801851,1.422320643223153,3356333.0,1.422320643223153,3356333.0
local-adapters,file-sync,10000,diff,append,5,3,16583.0,16166.0,-2.514623409515769,6030271.965265634,6185822.095756526,2.5794878139304713,16583.0,16166.0,-2.514623409515769,16583.0,16166.0,-2.514623409515769,-1.0826322311354595,-166.0,1.094481439968352,-1.0826322311354595,-166.0,-1.0826322311354595,-166.0
local-adapters,file-sync,10000,diff,clustered,5,3,23125.0,20209.0,-12.609729729729729,4324324.324324325,4948290.365678658,14.429214706318948,23125.0,20209.0,-12.609729729729729,23125.0,20209.0,-12.609729729729729,-14.235675675675678,-3208.0,16.598598295769666,-14.235675675675678,-3208.0,-14.235675675675678,-3208.0
local-adapters,file-sync,10000,diff,random,5,3,2285042.0,2139042.0,-6.389379276179606,43762.871754654836,46749.900188963096,6.8254854275886165,2285042.0,2139042.0,-6.389379276179606,2285042.0,2139042.0,-6.389379276179606,1.6071571075162168,33834.0,-1.5817361229933764,1.6071571075162168,33834.0,1.6071571075162168,33834.0
local-adapters,file-sync,10000,merge,append,5,3,9001375.0,9039041.0,0.4184471816805766,22218.82767910458,22126.241047031428,-0.4167034976387303,9001375.0,9039041.0,0.4184471816805766,9001375.0,9039041.0,0.4184471816805766,-0.028243528098866124,-2542.0,0.028251507321269458,-0.028243528098866124,-2542.0,-0.028243528098866124,-2542.0
local-adapters,file-sync,10000,merge,clustered,5,3,9058459.0,7533792.0,-16.831416910977907,22078.810534992765,26547.056250026548,20.2377103057796,9058459.0,7533792.0,-16.831416910977907,9058459.0,7533792.0,-16.831416910977907,-0.11730472037241656,-10791.0,0.11744248595215313,-0.11730472037241656,-10791.0,-0.11730472037241656,-10791.0
local-adapters,file-sync,10000,merge,random,5,3,109296084.0,113881875.0,4.195750508316474,1829.8917278683105,1756.2057175472394,-4.026796186838326,109296084.0,113881875.0,4.195750508316474,109296084.0,113881875.0,4.195750508316474,2.566117451304093,2631083.0,-2.5019153645183216,2.566117451304093,2631083.0,2.566117451304093,2631083.0
local-adapters,file-sync,10000,put,append,5,3,967217208.0,974571959.0,0.7604032412955167,103.38939296456356,102.6091496646478,-0.7546647461052214,8926125.0,9000458.0,0.8327577756305228,12093459.0,12230250.0,1.1311155890138627,0.4371459605123351,4930458.0,-0.4352433119557333,-1.453893290597049,-149625.0,1.1311155890138627,136791.0
local-adapters,file-sync,10000,put,clustered,5,3,899308042.0,872655125.0,-2.9637138505651217,111.1966037550457,114.59280663710076,3.054232564095697,8972000.0,8932708.0,-0.4379402585822559,11956208.0,11078334.0,-7.34241157397061,-1.5255074708244314,-15911376.0,1.549139712877898,0.0632364478322421,6292.0,-5.4574029576096,-522917.0
local-adapters,file-sync,10000,put,random,5,3,845938334.0,949808750.0,12.278721961783091,118.21192630809423,105.28435329744015,-10.93592957529608,8765708.0,9105708.0,3.878751151646849,10280000.0,12066750.0,17.380836575875485,1.9065849423997392,15652917.0,-1.8709143707223552,-2.7498178127767887,-241041.0,4.644950697041823,537250.0
local-adapters,file-sync,10000,reopen,append,5,3,117792.0,72959.0,-38.06115865254007,8489.540885628905,13706.328211735357,61.449581271673125,117792.0,72959.0,-38.06115865254007,117792.0,72959.0,-38.06115865254007,-18.2753634492731,-30459.0,22.36212263596852,-18.2753634492731,-30459.0,-18.2753634492731,-30459.0
local-adapters,file-sync,10000,reopen,clustered,5,3,82417.0,79042.0,-4.095028938204496,12133.419076161472,12651.501733255736,4.269881834973799,82417.0,79042.0,-4.095028938204496,82417.0,79042.0,-4.095028938204496,9.338645197880787,6751.0,-8.541028820120959,9.338645197880787,6751.0,9.338645197880787,6751.0
local-adapters,file-sync,10000,reopen,random,5,3,86917.0,78542.0,-9.635629393559372,11505.229126638058,12732.04145552698,10.663084719003841,86917.0,78542.0,-9.635629393559372,86917.0,78542.0,-9.635629393559372,11.381034695641437,7374.0,-10.218108250422638,11.381034695641437,7374.0,11.381034695641437,7374.0
local-adapters,memory-sync,10000,batch,append,5,3,110625.0,111250.0,0.5649717514124294,903954.802259887,898876.4044943821,-0.561797752808979,110625.0,111250.0,0.5649717514124294,110625.0,111250.0,0.5649717514124294,-1.8396835099157838,-2167.0,1.8741621621621585,-1.8396835099157838,-2167.0,-1.8396835099157838,-2167.0
local-adapters,memory-sync,10000,batch,clustered,5,3,113667.0,112958.0,-0.6237518365048783,879762.8159448213,885284.7961189115,0.6276669204483029,113667.0,112958.0,-0.6237518365048783,113667.0,112958.0,-0.6237518365048783,1.319644223917232,1500.0,-1.3024564328323354,1.319644223917232,1500.0,1.319644223917232,1500.0
local-adapters,memory-sync,10000,batch,random,5,3,1487750.0,1423042.0,-4.349386657704588,67215.59401781214,70271.9947830071,4.547160238418809,1487750.0,1423042.0,-4.349386657704588,1487750.0,1423042.0,-4.349386657704588,-6.102570996471181,-90791.0,6.499188594654526,-6.102570996471181,-90791.0,-6.102570996471181,-90791.0
local-adapters,memory-sync,10000,build,append,5,3,3291250.0,3389042.0,2.9712723129510064,3038359.285985568,2950686.3591540027,-2.8855352043438938,3291250.0,3389042.0,2.9712723129510064,3291250.0,3389042.0,2.9712723129510064,2.386451116243264,77500.0,-2.3308270676691802,2.386451116243264,77500.0,2.386451116243264,77500.0
local-adapters,memory-sync,10000,build,clustered,5,3,3812375.0,3848583.0,0.9497491721040033,2623036.8208793732,2598358.9284679582,-0.9408138008196825,3812375.0,3848583.0,0.9497491721040033,3812375.0,3848583.0,0.9497491721040033,0.40439358667497294,15417.0,-0.40276483152690234,0.40439358667497294,15417.0,0.40439358667497294,15417.0
local-adapters,memory-sync,10000,build,random,5,3,4117041.0,4009667.0,-2.608038151672524,2428928.9322112654,2493972.6914978228,2.6778782377688723,4117041.0,4009667.0,-2.608038151672524,4117041.0,4009667.0,-2.608038151672524,-2.608038151672524,-107374.0,2.6778782377688723,-2.608038151672524,-107374.0,-2.608038151672524,-107374.0
local-adapters,memory-sync,10000,diff,append,5,3,10083.0,12125.0,20.25190915402162,9917683.22919766,8247422.680412371,-16.841237113402073,10083.0,12125.0,20.25190915402162,10083.0,12125.0,20.25190915402162,20.25190915402162,2042.0,-16.841237113402073,20.25190915402162,2042.0,20.25190915402162,2042.0
local-adapters,memory-sync,10000,diff,clustered,5,3,12500.0,12250.0,-2.0,8000000.0,8163265.306122449,2.0408163265306154,12500.0,12250.0,-2.0,12500.0,12250.0,-2.0,-2.0,-250.0,2.0408163265306154,-2.0,-250.0,-2.0,-250.0
local-adapters,memory-sync,10000,diff,random,5,3,731833.0,735083.0,0.4440903867412374,136643.19592038073,136039.05953477364,-0.44212694348799836,731833.0,735083.0,0.4440903867412374,731833.0,735083.0,0.4440903867412374,-0.25046697812205787,-1833.0,0.25109589041096153,-0.25046697812205787,-1833.0,-0.25046697812205787,-1833.0
local-adapters,memory-sync,10000,merge,append,5,3,185333.0,190500.0,2.7879546545947025,1079138.6315443013,1049868.7664041994,-2.71233595800525,185333.0,190500.0,2.7879546545947025,185333.0,190500.0,2.7879546545947025,5.588719466569115,10083.0,-5.29291338582679,5.588719466569115,10083.0,5.588719466569115,10083.0
local-adapters,memory-sync,10000,merge,clustered,5,3,79417.0,83125.0,4.669025523502525,2518352.4937985567,2406015.037593985,-4.460751879699238,79417.0,83125.0,4.669025523502525,79417.0,83125.0,4.669025523502525,1.167528201471824,917.0,-1.154054292150681,1.167528201471824,917.0,1.167528201471824,917.0
