adapter,records,api,pattern,source,pairs,samples_per_revision_pair
file-sync,10000,batch,append,performance-results/node-publication-local-adapters-2026-07-19/confirmations/file-sync/raw-results.csv,20,3
file-sync,10000,batch,clustered,performance-results/node-publication-local-adapters-2026-07-19/confirmations/file-sync/raw-results.csv,20,3
file-sync,10000,batch,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/file-sync/raw-results.csv,20,3
file-sync,10000,reopen,append,performance-results/node-publication-local-adapters-2026-07-19/confirmations/file-sync/raw-results.csv,20,3
file-sync,10000,reopen,clustered,performance-results/node-publication-local-adapters-2026-07-19/confirmations/file-sync/raw-results.csv,20,3
file-sync,10000,reopen,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/file-sync/raw-results.csv,20,3
memory-sync,10000,diff,append,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
memory-sync,10000,diff,clustered,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
memory-sync,10000,diff,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
memory-sync,10000,merge,append,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
memory-sync,10000,merge,clustered,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
memory-sync,10000,merge,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
memory-sync,10000,reopen,append,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
memory-sync,10000,reopen,clustered,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
memory-sync,10000,reopen,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/memory-sync/raw-results.csv,20,3
slatedb-sync,10000,diff,clustered,performance-results/node-publication-local-adapters-2026-07-19/confirmations/slatedb-sync/raw-results.csv,20,3
slatedb-sync,10000,diff,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/slatedb-sync/raw-results.csv,20,3
slatedb-sync,10000,reopen,clustered,performance-results/node-publication-local-adapters-2026-07-19/confirmations/slatedb-sync/raw-results.csv,20,3
slatedb-sync,10000,reopen,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/slatedb-sync/raw-results.csv,20,3
sqlite-sync,10000,diff,append,performance-results/node-publication-local-adapters-2026-07-19/confirmations/sqlite-sync/raw-results.csv,20,3
sqlite-sync,10000,diff,clustered,performance-results/node-publication-local-adapters-2026-07-19/confirmations/sqlite-sync/raw-results.csv,20,3
turso-async,10000,diff,append,performance-results/node-publication-local-adapters-2026-07-19/confirmations/turso-async/raw-results.csv,20,3
turso-async,10000,diff,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/turso-async/raw-results.csv,20,3
turso-async,10000,reopen,append,performance-results/node-publication-local-adapters-2026-07-19/confirmations/turso-async/raw-results.csv,20,3
turso-async,10000,reopen,random,performance-results/node-publication-local-adapters-2026-07-19/confirmations/turso-async/raw-results.csv,20,3
