schema,revision,dirty,timestamp_ms,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,p50_ns,p95_ns,p99_ns,max_ns,node_cache_hits,node_cache_misses,node_cache_evictions,nodes_read,bytes_read,nodes_written,bytes_written,store_get_calls,store_batch_get_calls,store_batch_get_keys,store_put_calls,store_batch_put_calls,store_batch_put_nodes,tree_nodes,tree_leaves,tree_internal_nodes,tree_height,tree_records,tree_bytes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010186720,10000000,1,build,base,cold-manager,1,10000000,10000000,10751592167,1075.1592167,930094.8031393088,,,,,0,0,11772,0,0,76974,316614779,0,0,0,0,1,76974,76974,76376,598,3,10000000,316614779,76,2503.6175900000003,522906,8,10951,10953,38733,38733,96075343,17,0,13671447,103398423,49152,89776128,24576,4579328,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010190866,10000000,1,put,append,cold-manager,1,1,1,10190375,10190375.0,98.13181556125265,,,,,0,4,0,4,15063,4,15101,0,4,4,0,1,4,76974,76376,598,3,10000001,316614817,5,0.552625,97,0,1,1,0,0,8929,0,0,199343127,199351319,92872704,92880896,7659520,7659520,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010194532,10000000,1,put,random,cold-manager,1,1,1,15540834,15540834.0,64.34661099912655,,,,,0,7,0,7,29547,4,14781,0,7,7,0,1,4,76974,76376,598,3,10000000,316614779,8,0.632961,150,2,3,2,0,0,16807,0,0,199375895,199392279,92872704,92889088,7659520,7659520,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010198297,10000000,1,put,clustered,cold-manager,1,1,1,14515708,14515708.0,68.8908870307945,,,,,0,7,0,7,36644,4,21878,0,7,7,0,1,4,76974,76376,598,3,10000000,316614779,8,0.533331,123,2,2,2,0,0,14775,0,0,199408663,199425047,92872704,92889088,7659520,7659520,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010201932,10000000,1,batch,append,cold-manager,1,10000,10000,22637792,2263.7792,441739.1943525234,,,,,0,4,0,4,15063,73,331118,0,4,4,0,1,73,77043,76445,598,3,10010000,316930834,5,2.625418,699,12,25,11,0,0,102482,0,0,199433239,199523351,92872704,92962816,7659520,7667712,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010209310,10000000,1,batch,random,cold-manager,1,10000,10000,3119846333,311984.6333,3205.2860726586305,,,,,0,9413,0,9413,68982704,9413,68982704,0,155,9413,0,1,9413,76974,76376,598,3,10000000,316614779,165,750.720449,137906,1160,2212,2001,8254,8254,17172219,101,0,199474199,215866391,92872704,109264896,7659520,8118272,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010213587,10000000,1,batch,clustered,cold-manager,1,10000,10000,38354208,3835.4208,260727.5843109575,,,,,0,72,0,72,361271,69,346505,0,9,72,0,1,69,76974,76376,598,3,10000000,316614779,10,4.143498,1020,65,35,12,0,0,110048,0,0,199506967,199605271,92872704,92971008,7659520,7659520,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010243093,10000000,1,get_cold,append,cold-manager,10000,10000,10000,28112499500,2811249.95,355.7136568379485,2692333,3406292,5097708,36771208,0,40000,39996,40000,165228797,0,0,40000,0,0,0,0,0,76974,76376,598,3,10000000,316614779,40000,838.8091309999984,199839,20,0,0,0,0,0,39729,0,199539735,199539735,92872704,92872704,7659520,7659520,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010273791,10000000,1,get_cold,random,cold-manager,10000,10000,10000,29476285959,2947628.5959,339.25576695481533,2785250,3766333,6020750,36995792,0,40000,39996,40000,258762321,0,0,40000,0,0,0,0,0,76974,76376,598,3,10000000,316614779,40000,1195.4883680000082,242676,1,0,0,0,0,0,39492,0,199564311,199564311,92872704,92872704,7659520,7659520,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785010303365,10000000,1,get_cold,clustered,cold-manager,10000,10000,10000,28527978750,2852797.875,350.5330709768564,2631708,3816458,6637833,49351666,0,40000,39996,40000,244637520,0,0,40000,0,0,0,0,0,76974,76376,598,3,10000000,316614779,40000,981.7503149999986,235912,0,0,0,0,0,0,39582,0,199597079,199597079,92872704,92872704,7659520,7659520,true,
