schema,revision,dirty,timestamp_ms,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,p50_ns,p95_ns,p99_ns,max_ns,node_cache_hits,node_cache_misses,node_cache_evictions,nodes_read,bytes_read,nodes_written,bytes_written,store_get_calls,store_batch_get_calls,store_batch_get_keys,store_put_calls,store_batch_put_calls,store_batch_put_nodes,tree_nodes,tree_leaves,tree_internal_nodes,tree_height,tree_records,tree_bytes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415662089,1000,1,build,base,cold-manager,1,1000,1000,30314125,30314.125,32987.92229694903,,,,,0,0,0,0,0,9,31709,0,0,0,0,1,9,9,8,1,1,1000,31709,10,0.759665,50,2,8,8,0,0,10555,0,0,8018967,8084503,49152,114688,24576,40960,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415662217,1000,1,put,append,cold-manager,1,1,1,9588750,9588750.0,104.28888019814887,,,,,0,0,0,0,0,2,1247,0,0,0,0,1,2,9,8,1,1,1001,31743,6,0.105625,19,0,0,0,0,0,2150,0,0,8182807,8182807,131072,131072,49152,49152,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415662337,1000,1,put,random,cold-manager,1,1,1,21829417,21829417.0,45.80974379663919,,,,,23,8,0,8,31367,9,31709,1,1,7,0,1,9,9,8,1,1,1000,31709,21,0.563993,86,0,1,1,0,0,10934,0,0,8182807,8190999,131072,139264,49152,49152,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415662451,1000,1,put,clustered,cold-manager,1,1,1,17362625,17362625.0,57.594977717942996,,,,,23,8,0,8,31367,9,31709,1,1,7,0,1,9,9,8,1,1,1000,31709,21,0.568083,86,0,1,1,0,0,10929,0,0,8182807,8190999,131072,139264,49152,49152,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415662549,1000,1,batch,append,cold-manager,1,100,100,8355667,83556.67,11967.925480993918,,,,,0,0,0,0,0,5,4537,0,0,0,0,1,5,12,11,1,1,1100,35033,9,0.259621,31,0,0,0,0,0,6161,0,0,8182807,8182807,131072,131072,49152,49152,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415662676,1000,1,batch,random,cold-manager,1,100,100,14374958,143749.58,6956.5420643315965,,,,,23,8,0,8,31367,9,31709,1,1,7,0,1,9,9,8,1,1,1000,31709,21,0.54175,65,0,1,1,0,0,10615,0,0,8182807,8190999,131072,139264,49152,49152,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415662852,1000,1,batch,clustered,cold-manager,1,100,100,43088167,430881.67,2320.8227910925057,,,,,23,8,0,8,31367,9,31709,1,1,7,0,1,9,9,8,1,1,1000,31709,21,1.4217,86,0,1,1,0,0,11030,0,0,8182807,8190999,131072,139264,49152,49152,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415663253,1000,1,get_cold,append,cold-manager,100,100,100,246062583,2460625.83,406.4006757175267,2074334,4936583,7234875,10157291,0,200,198,200,959486,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,4.740869000000002,400,0,0,0,0,0,0,1,0,8190999,8190999,131072,131072,49152,49152,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415663599,1000,1,get_cold,random,cold-manager,100,100,100,228001500,2280015.0,438.59360574382185,1821042,4568000,12440459,14636958,0,200,198,200,846432,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,3.8431649999999986,400,0,0,0,0,0,0,0,0,8190999,8190999,131072,131072,49152,49152,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415663944,1000,1,get_cold,clustered,cold-manager,100,100,100,200787250,2007872.5,498.0395916573388,1731292,3930000,5175375,6021625,0,200,198,200,501000,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,2.174421000000001,400,0,0,0,0,0,0,468,0,8190999,8190999,131072,131072,49152,49152,true,
