records,operation,pattern,cache_state,repetitions,latency_median_ns,latency_min_ns,latency_max_ns,ns_per_op_median,ops_per_sec_median,nodes_read_median,nodes_written_median,bytes_read_median,bytes_written_median,cache_hits_median,cache_misses_median,pg_calls_median,pg_execution_ms_median,pg_shared_blks_hit_median,pg_shared_blks_read_median,pg_wal_bytes_median,tree_records_median,tree_nodes_median,tree_height_median,tree_bytes_median,table_bytes_after_median,index_bytes_after_median
1000,batch,append,cold-manager,1,8355667,8355667,8355667,83556.67,11967.925480993918,0.0,5.0,0.0,4537.0,0.0,0.0,9.0,0.259621,31.0,0.0,6161.0,1100.0,12.0,1.0,35033.0,131072.0,49152.0
1000,batch,clustered,cold-manager,1,43088167,43088167,43088167,430881.67,2320.8227910925057,8.0,9.0,31367.0,31709.0,23.0,8.0,21.0,1.4217,86.0,0.0,11030.0,1000.0,9.0,1.0,31709.0,139264.0,49152.0
1000,batch,random,cold-manager,1,14374958,14374958,14374958,143749.58,6956.5420643315965,8.0,9.0,31367.0,31709.0,23.0,8.0,21.0,0.54175,65.0,0.0,10615.0,1000.0,9.0,1.0,31709.0,139264.0,49152.0
1000,build,base,cold-manager,1,30314125,30314125,30314125,30314.125,32987.92229694903,0.0,9.0,0.0,31709.0,0.0,0.0,10.0,0.759665,50.0,2.0,10555.0,1000.0,9.0,1.0,31709.0,114688.0,40960.0
1000,diff,append,cold-manager,1,10459500,10459500,10459500,104595.0,9560.686457287633,7.0,0.0,5750.0,0.0,0.0,7.0,7.0,0.083957,14.0,0.0,0.0,1100.0,12.0,1.0,35033.0,131072.0,49152.0
1000,diff,clustered,cold-manager,1,4228542,4228542,4228542,42285.42,23648.8132316056,4.0,0.0,10020.0,0.0,0.0,4.0,4.0,0.041540999999999995,12.0,0.0,69.0,1000.0,9.0,1.0,31709.0,139264.0,49152.0
1000,diff,random,cold-manager,1,16165750,16165750,16165750,161657.5,6185.917758223404,18.0,0.0,63418.0,0.0,16.0,18.0,18.0,0.212126,54.0,0.0,0.0,1000.0,9.0,1.0,31709.0,139264.0,49152.0
1000,full_scan,append,cold-manager,1,7806625,7806625,7806625,7806.625,128096.32843898612,9.0,0.0,31709.0,0.0,21.0,9.0,9.0,0.115833,18.0,0.0,0.0,1000.0,9.0,1.0,31709.0,131072.0,49152.0
1000,get_cold,append,cold-manager,1,246062583,246062583,246062583,2460625.83,406.4006757175267,200.0,0.0,959486.0,0.0,0.0,200.0,200.0,4.740869000000002,400.0,0.0,0.0,1000.0,9.0,1.0,31709.0,131072.0,49152.0
1000,get_cold,clustered,cold-manager,1,200787250,200787250,200787250,2007872.5,498.0395916573388,200.0,0.0,501000.0,0.0,0.0,200.0,200.0,2.174421000000001,400.0,0.0,0.0,1000.0,9.0,1.0,31709.0,131072.0,49152.0
1000,get_cold,random,cold-manager,1,228001500,228001500,228001500,2280015.0,438.59360574382185,200.0,0.0,846432.0,0.0,0.0,200.0,200.0,3.8431649999999986,400.0,0.0,0.0,1000.0,9.0,1.0,31709.0,131072.0,49152.0
1000,get_warm,append,warm-manager,1,71875,71875,71875,718.75,1391304.347826087,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9.0,1.0,31709.0,131072.0,49152.0
1000,get_warm,clustered,warm-manager,1,63167,63167,63167,631.67,1583105.1023477449,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9.0,1.0,31709.0,131072.0,49152.0
