schema,revision,dirty,timestamp_ms,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,p50_ns,p95_ns,p99_ns,max_ns,node_cache_hits,node_cache_misses,node_cache_evictions,nodes_read,bytes_read,nodes_written,bytes_written,store_get_calls,store_batch_get_calls,store_batch_get_keys,store_put_calls,store_batch_put_calls,store_batch_put_nodes,tree_nodes,tree_leaves,tree_internal_nodes,tree_height,tree_records,tree_bytes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068399,1000,1,build,base,cold-manager,1,1000,1000,2892084,2892.084,345771.4229600523,,,,,0,0,0,0,0,9,31709,0,0,0,0,1,9,9,8,1,1,1000,31709,1,0.41825,46,1,5,6,0,0,10036,0,0,13286423,13335575,49152,98304,24576,32768,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068437,1000,1,put,append,cold-manager,1,1,1,3799417,3799417.0,263.19827489322705,,,,,0,2,0,2,1213,2,1247,0,2,2,0,1,2,9,8,1,1,1001,31743,3,0.118667,19,0,0,0,0,0,1725,0,0,13417495,13417495,114688,114688,40960,40960,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068477,1000,1,put,random,cold-manager,1,1,1,3539791,3539791.0,282.5025545293493,,,,,0,3,0,3,5881,2,5010,0,3,3,0,1,2,9,8,1,1,1000,31709,4,0.13608399999999998,15,0,0,0,0,0,1577,0,0,13417495,13417495,114688,114688,40960,40960,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068513,1000,1,put,clustered,cold-manager,1,1,1,3484625,3484625.0,286.97492556587866,,,,,0,3,0,3,5881,2,5010,0,3,3,0,1,2,9,8,1,1,1000,31709,4,0.121166,15,0,0,0,0,0,1574,0,0,13417495,13417495,114688,114688,40960,40960,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068551,1000,1,batch,append,cold-manager,1,100,100,2942875,29428.75,33980.37633266788,,,,,0,2,0,2,1213,5,4537,0,2,2,0,1,5,12,11,1,1,1100,35033,3,0.075791,25,0,0,0,0,0,5732,0,0,13417495,13417495,114688,114688,40960,40960,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068593,1000,1,batch,random,cold-manager,1,100,100,6492208,64922.08,15403.080123126061,,,,,0,9,0,9,31709,9,31709,0,4,9,0,1,9,9,8,1,1,1000,31709,5,0.39379200000000003,47,0,1,1,0,0,10194,0,0,13417495,13425687,114688,122880,40960,40960,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068628,1000,1,batch,clustered,cold-manager,1,100,100,3666333,36663.33,27275.2093167751,,,,,0,3,0,3,5881,2,5010,0,3,3,0,1,2,9,8,1,1,1000,31709,4,0.144667,15,0,0,0,0,0,1677,0,0,13417495,13417495,114688,114688,40960,40960,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068796,1000,1,get_cold,append,cold-manager,100,100,100,133035792,1330357.92,751.6774132483084,1303250,1637209,2120000,2214083,0,200,198,200,959486,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,2.5525040000000003,400,0,0,0,0,0,0,1,0,13417495,13417495,114688,114688,40960,40960,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008068956,1000,1,get_cold,random,cold-manager,100,100,100,125837959,1258379.59,794.6727743732716,1244292,1427291,1474208,2145500,0,200,198,200,846432,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,1.856004999999999,400,0,0,0,0,0,0,0,0,13417495,13417495,114688,114688,40960,40960,true,
postgres-scale-v1,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008069109,1000,1,get_cold,clustered,cold-manager,100,100,100,118859291,1188592.91,841.3309482049661,1165250,1375750,1469791,1971625,0,200,198,200,501000,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,0.7539939999999998,400,0,0,0,0,0,0,0,0,13417495,13417495,114688,114688,40960,40960,true,
