schema,config_hash,revision,dirty,timestamp_ms,records,value_bytes,clients,pool_size,operation,tenant_class,duration_ns,sample_count,attempted,completed,cell_attempted,cell_completed,attempted_ops_per_sec,successful_ops_per_sec,p50_ns,p95_ns,p99_ns,p999_ns,max_ns,cas_attempts,conflicts,retries,exhausted_retries,semantic_conflicts,timeouts,sql_errors,validation_errors,worker_panics,prolly_node_cache_hits,prolly_node_cache_misses,prolly_node_cache_evictions,prolly_nodes_read,prolly_bytes_read,prolly_nodes_written,prolly_bytes_written,prolly_store_get_calls,prolly_store_batch_get_calls,prolly_store_batch_get_keys,prolly_store_put_calls,prolly_store_batch_put_calls,prolly_store_batch_put_nodes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065950,1000,64,1,2,point_read,independent,2009785417,172,172,172,503,503,85.58127576462559,85.58127576462559,1586175,2085887,2639871,2721791,2721791,0,0,0,0,0,0,0,0,0,0,344,0,344,2905555,0,0,344,0,0,0,0,0,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065954,1000,64,1,2,point_read,hot,2009785417,55,55,55,503,503,27.366105622409343,27.366105622409343,1595391,2101247,2318335,2318335,2318335,0,0,0,0,0,0,0,0,0,0,110,0,110,943513,0,0,110,0,0,0,0,0,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065957,1000,64,1,2,multi_read,independent,2009785417,58,58,58,503,503,28.85880229272258,28.85880229272258,1932287,2453503,2834431,2834431,2834431,0,0,0,0,0,0,0,0,0,0,277,0,277,3187867,0,0,0,116,277,0,0,0,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065961,1000,64,1,2,multi_read,hot,2009785417,17,17,17,503,503,8.458614465108342,8.458614465108342,1964031,2465791,2465791,2465791,2465791,0,0,0,0,0,0,0,0,0,0,87,0,87,972679,0,0,0,34,87,0,0,0,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065964,1000,64,1,2,commit,independent,2009785417,94,94,94,503,503,46.771162336481424,46.771162336481424,8114175,10616831,16842751,16842751,16842751,94,0,0,0,0,0,0,0,0,0,433,0,433,4193975,344,4027545,0,433,433,0,94,344,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065967,1000,64,1,2,commit,hot,2009785417,32,32,32,503,503,15.922097816674526,15.922097816674526,7761919,10305535,11165695,11165695,11165695,32,0,0,0,0,0,0,0,0,0,148,0,148,1408093,118,1351993,0,148,148,0,32,118,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065968,1000,64,1,2,diff,independent,2009785417,45,45,45,503,503,22.390450054698555,22.390450054698555,2117631,2992127,3287039,3287039,3287039,0,0,0,0,0,0,0,0,0,424,518,0,518,5266424,0,0,0,90,518,0,0,0,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065971,1000,64,1,2,diff,hot,2009785417,5,5,5,503,503,2.4878277838553946,2.4878277838553946,2083839,2701311,2701311,2701311,2701311,0,0,0,0,0,0,0,0,0,36,48,0,48,479382,0,0,0,10,48,0,0,0,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065974,1000,64,1,2,merge,independent,2009785417,8,8,8,503,503,3.9805244541686315,3.9805244541686315,12967935,16990207,16990207,16990207,16990207,8,0,0,0,0,0,0,0,0,60,47,0,47,460201,66,647849,0,47,47,0,24,66,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
postgres-service-v1,d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008065977,1000,64,1,2,merge,hot,2009785417,17,17,17,503,503,8.458614465108342,8.458614465108342,12460031,15335423,15335423,15335423,15335423,17,0,0,0,0,0,0,0,0,121,99,0,99,965143,138,1262823,0,99,99,0,51,138,2547,187.48149000000004,42487,0,973,973,0,0,8025310,2368,0,13753367,21724183,286720,8257536,40960,98304,true,
