config_hash,records,value_bytes,clients,pool_size,operation,tenant_class,attempted,completed,successful_ops_per_sec,p50_ns,p95_ns,p99_ns,p999_ns,max_ns,conflict_rate,retry_rate,error_rate,pg_statements_per_cell_operation,pg_wal_bytes_per_cell_operation,prolly_nodes_read_per_operation,prolly_nodes_written_per_operation,prolly_batch_reads_per_operation
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,commit,hot,32,32,15.922097816674526,7761919,10305535,11165695,11165695,11165695,0.0,0.0,0.0,5.063618290258449,15954.890656063619,4.625,3.6875,4.625
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,commit,independent,94,94,46.771162336481424,8114175,10616831,16842751,16842751,16842751,0.0,0.0,0.0,5.063618290258449,15954.890656063619,4.6063829787234045,3.6595744680851063,4.6063829787234045
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,diff,hot,5,5,2.4878277838553946,2083839,2701311,2701311,2701311,2701311,0.0,0.0,0.0,5.063618290258449,15954.890656063619,9.6,0.0,2.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,diff,independent,45,45,22.390450054698555,2117631,2992127,3287039,3287039,3287039,0.0,0.0,0.0,5.063618290258449,15954.890656063619,11.511111111111111,0.0,2.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,merge,hot,17,17,8.458614465108342,12460031,15335423,15335423,15335423,15335423,0.0,0.0,0.0,5.063618290258449,15954.890656063619,5.823529411764706,8.117647058823529,5.823529411764706
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,merge,independent,8,8,3.9805244541686315,12967935,16990207,16990207,16990207,16990207,0.0,0.0,0.0,5.063618290258449,15954.890656063619,5.875,8.25,5.875
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,multi_read,hot,17,17,8.458614465108342,1964031,2465791,2465791,2465791,2465791,0.0,0.0,0.0,5.063618290258449,15954.890656063619,5.117647058823529,0.0,2.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,multi_read,independent,58,58,28.85880229272258,1932287,2453503,2834431,2834431,2834431,0.0,0.0,0.0,5.063618290258449,15954.890656063619,4.775862068965517,0.0,2.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,point_read,hot,55,55,27.366105622409343,1595391,2101247,2318335,2318335,2318335,0.0,0.0,0.0,5.063618290258449,15954.890656063619,2.0,0.0,0.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,1,2,point_read,independent,172,172,85.58127576462559,1586175,2085887,2639871,2721791,2721791,0.0,0.0,0.0,5.063618290258449,15954.890656063619,2.0,0.0,0.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,commit,hot,38,38,18.853940483881182,31064063,61145087,61177855,61177855,61177855,0.3968253968253968,0.6578947368421053,0.0,5.807308970099668,21681.1926910299,6.552631578947368,6.2105263157894735,6.552631578947368
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,commit,independent,113,113,56.06566512312036,22462463,51773439,57671679,60424191,60424191,0.2981366459627329,0.4247787610619469,0.0,5.807308970099668,21681.1926910299,5.707964601769912,5.247787610619469,5.707964601769912
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,diff,hot,5,5,2.4807816426159452,4931583,6909951,6909951,6909951,6909951,0.0,0.0,0.0,5.807308970099668,21681.1926910299,9.2,0.0,2.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,diff,independent,56,56,27.784754397298585,5275647,6557695,7430143,7430143,7430143,0.0,0.0,0.0,5.807308970099668,21681.1926910299,11.214285714285714,0.0,2.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,merge,hot,22,17,8.434657584894213,30294015,35192831,35454975,35454975,35454975,0.22727272727272727,0.0,0.0,5.807308970099668,21681.1926910299,7.470588235294118,10.411764705882353,7.470588235294118
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,merge,independent,9,6,2.976937971139134,29884415,35422207,35422207,35422207,35422207,0.3333333333333333,0.0,0.0,5.807308970099668,21681.1926910299,8.666666666666666,12.0,8.666666666666666
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,multi_read,hot,21,21,10.41928289898697,6778879,8286207,9003007,9003007,9003007,0.0,0.0,0.0,5.807308970099668,21681.1926910299,5.142857142857143,0.0,2.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,multi_read,independent,71,71,35.22709932514642,6844415,8626175,10428415,10428415,10428415,0.0,0.0,0.0,5.807308970099668,21681.1926910299,4.774647887323944,0.0,2.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,point_read,hot,67,67,33.242474011053666,6184959,8294399,9486335,9486335,9486335,0.0,0.0,0.0,5.807308970099668,21681.1926910299,2.0,0.0,0.0
d1ae531636462f2c0fdcaadaedc77c3b1298443a2a76c7b9f4b7a380278e6caa,1000,64,4,2,point_read,independent,208,208,103.20051633282331,6422527,8191999,8781823,9658367,9658367,0.0,0.0,0.0,5.807308970099668,21681.1926910299,2.0,0.0,0.0
