schema,config_hash,revision,dirty,timestamp_ms,records,value_bytes,clients,pool_size,operation,tenant_class,duration_ns,sample_count,attempted,completed,cell_attempted,cell_completed,attempted_ops_per_sec,successful_ops_per_sec,p50_ns,p95_ns,p99_ns,p999_ns,max_ns,cas_attempts,conflicts,retries,exhausted_retries,semantic_conflicts,timeouts,sql_errors,validation_errors,worker_panics,prolly_node_cache_hits,prolly_node_cache_misses,prolly_node_cache_evictions,prolly_nodes_read,prolly_bytes_read,prolly_nodes_written,prolly_bytes_written,prolly_store_get_calls,prolly_store_batch_get_calls,prolly_store_batch_get_keys,prolly_store_put_calls,prolly_store_batch_put_calls,prolly_store_batch_put_nodes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128201,100000,256,1,8,point_read,independent,20025820792,193,193,193,533,533,9.637557531579452,9.637557531579452,2924543,3966975,4214783,4415487,4415487,0,0,0,0,0,0,0,0,0,0,579,0,579,14241572,0,0,579,0,0,0,0,0,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128207,100000,256,1,8,point_read,hot,20025820792,47,47,47,533,533,2.3469699688302295,2.3469699688302295,2826239,3661823,4980735,4980735,4980735,0,0,0,0,0,0,0,0,0,0,141,0,141,2934904,0,0,141,0,0,0,0,0,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128210,100000,256,1,8,multi_read,independent,20025820792,65,65,65,533,533,3.245809531360955,3.245809531360955,28327935,32964607,39354367,39354367,39354367,0,0,0,0,0,0,0,0,0,0,2605,0,2605,133017805,0,0,0,1145,2605,0,0,0,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128215,100000,256,1,8,multi_read,hot,20025820792,15,15,15,533,533,0.7490329687756051,0.7490329687756051,27574271,36274175,36274175,36274175,36274175,0,0,0,0,0,0,0,0,0,0,599,0,599,30365966,0,0,0,267,599,0,0,0,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128220,100000,256,1,8,commit,independent,20025820792,107,107,107,533,533,5.34310184393265,5.34310184393265,85196799,103022591,110690303,114556927,114556927,107,0,0,0,0,0,0,0,0,0,2672,0,2672,113388600,2481,109159357,0,2672,2672,0,107,2481,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128222,100000,256,1,8,commit,hot,20025820792,26,26,26,533,533,1.2983238125443821,1.2983238125443821,79757311,94830591,98631679,98631679,98631679,26,0,0,0,0,0,0,0,0,0,654,0,654,25800426,606,24773343,0,654,654,0,26,606,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128224,100000,256,1,8,diff,independent,20025820792,48,48,48,533,533,2.396905500081936,2.396905500081936,23248895,52264959,55541759,55541759,55541759,0,0,0,0,0,0,0,0,0,2060,2364,0,2364,109276220,0,0,0,622,2364,0,0,0,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128226,100000,256,1,8,diff,hot,20025820792,5,5,5,533,533,0.24967765625853502,0.24967765625853502,134610943,174456831,174456831,174456831,174456831,0,0,0,0,0,0,0,0,0,1980,1996,0,1996,98787662,0,0,0,453,1996,0,0,0,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128229,100000,256,1,8,merge,independent,20025820792,12,12,12,533,533,0.599226375020484,0.599226375020484,146407423,165937151,165937151,165937151,165937151,12,0,0,0,0,0,0,0,0,112,501,0,501,23626001,524,23276975,0,501,501,0,36,524,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
postgres-service-v1,226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,b3d69526b4ddf6993b611b46926ef748c0c14687,true,1785008128230,100000,256,1,8,merge,hot,20025820792,15,15,15,533,533,0.7490329687756051,0.7490329687756051,154402815,175243263,175243263,175243263,175243263,15,0,0,0,0,0,0,0,0,134,633,0,633,30485106,663,30031157,0,633,633,0,45,663,8895,3752.0486169999986,592980,3986,24030,35475,0,0,201167816,8809,0,77462551,274340887,32120832,228966400,139264,442368,true,
