config_hash,records,value_bytes,clients,pool_size,operation,tenant_class,attempted,completed,successful_ops_per_sec,p50_ns,p95_ns,p99_ns,p999_ns,max_ns,conflict_rate,retry_rate,error_rate,pg_statements_per_cell_operation,pg_wal_bytes_per_cell_operation,prolly_nodes_read_per_operation,prolly_nodes_written_per_operation,prolly_batch_reads_per_operation
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,commit,hot,26,26,1.2983238125443821,79757311,94830591,98631679,98631679,98631679,0.0,0.0,0.0,16.68855534709193,377425.5459662289,25.153846153846153,23.307692307692307,25.153846153846153
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,commit,independent,107,107,5.34310184393265,85196799,103022591,110690303,114556927,114556927,0.0,0.0,0.0,16.68855534709193,377425.5459662289,24.97196261682243,23.186915887850468,24.97196261682243
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,diff,hot,5,5,0.24967765625853502,134610943,174456831,174456831,174456831,174456831,0.0,0.0,0.0,16.68855534709193,377425.5459662289,399.2,0.0,90.6
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,diff,independent,48,48,2.396905500081936,23248895,52264959,55541759,55541759,55541759,0.0,0.0,0.0,16.68855534709193,377425.5459662289,49.25,0.0,12.958333333333334
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,merge,hot,15,15,0.7490329687756051,154402815,175243263,175243263,175243263,175243263,0.0,0.0,0.0,16.68855534709193,377425.5459662289,42.2,44.2,42.2
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,merge,independent,12,12,0.599226375020484,146407423,165937151,165937151,165937151,165937151,0.0,0.0,0.0,16.68855534709193,377425.5459662289,41.75,43.666666666666664,41.75
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,multi_read,hot,15,15,0.7490329687756051,27574271,36274175,36274175,36274175,36274175,0.0,0.0,0.0,16.68855534709193,377425.5459662289,39.93333333333333,0.0,17.8
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,multi_read,independent,65,65,3.245809531360955,28327935,32964607,39354367,39354367,39354367,0.0,0.0,0.0,16.68855534709193,377425.5459662289,40.07692307692308,0.0,17.615384615384617
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,point_read,hot,47,47,2.3469699688302295,2826239,3661823,4980735,4980735,4980735,0.0,0.0,0.0,16.68855534709193,377425.5459662289,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,8,point_read,independent,193,193,9.637557531579452,2924543,3966975,4214783,4415487,4415487,0.0,0.0,0.0,16.68855534709193,377425.5459662289,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,commit,hot,25,25,1.2419433325265623,82247679,99287039,104660991,104660991,104660991,0.0,0.0,0.0,16.681818181818183,377226.5208333333,25.2,23.36,25.2
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,commit,independent,106,106,5.265839729912623,86638591,102301695,109379583,123076607,123076607,0.0,0.0,0.0,16.681818181818183,377226.5208333333,24.952830188679247,23.169811320754718,24.952830188679247
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,diff,hot,5,5,0.24838866650531244,143130623,172490751,172490751,172490751,172490751,0.0,0.0,0.0,16.681818181818183,377226.5208333333,399.2,0.0,90.6
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,diff,independent,48,48,2.3845311984509996,23789567,51675135,55672831,55672831,55672831,0.0,0.0,0.0,16.681818181818183,377226.5208333333,49.25,0.0,12.958333333333334
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,merge,hot,15,15,0.7451659995159373,150863871,179699711,179699711,179699711,179699711,0.0,0.0,0.0,16.681818181818183,377226.5208333333,42.2,44.2,42.2
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,merge,independent,12,12,0.5961327996127499,151650303,163184639,163184639,163184639,163184639,0.0,0.0,0.0,16.681818181818183,377226.5208333333,41.75,43.666666666666664,41.75
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,multi_read,hot,15,15,0.7451659995159373,28934143,31883263,31883263,31883263,31883263,0.0,0.0,0.0,16.681818181818183,377226.5208333333,39.93333333333333,0.0,17.8
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,multi_read,independent,64,64,3.1793749312679993,28360703,32587775,40206335,40206335,40206335,0.0,0.0,0.0,16.681818181818183,377226.5208333333,40.078125,0.0,17.625
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,point_read,hot,47,47,2.334853465149937,2990079,3991551,4272127,4272127,4272127,0.0,0.0,0.0,16.681818181818183,377226.5208333333,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,1,32,point_read,independent,191,191,9.488447060502935,2979839,3971071,4554751,4612095,4612095,0.0,0.0,0.0,16.681818181818183,377226.5208333333,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,commit,hot,94,94,4.660120542888927,236060671,394526719,925892607,925892607,925892607,0.38961038961038963,0.6382978723404256,0.0,18.029868578255677,451874.5890083632,29.840425531914892,38.56382978723404,29.840425531914892
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,commit,independent,336,336,16.6574521533051,176553983,272367615,663748607,793772031,793772031,0.045454545454545456,0.047619047619047616,0.0,18.029868578255677,451874.5890083632,25.592261904761905,24.598214285714285,25.592261904761905
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,diff,hot,5,5,0.2478787522813259,120061951,159645695,159645695,159645695,159645695,0.0,0.0,0.0,18.029868578255677,451874.5890083632,221.2,0.0,61.8
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,diff,independent,167,167,8.279150326196286,73859071,137756671,144703487,153354239,153354239,0.0,0.0,0.0,18.029868578255677,451874.5890083632,82.73053892215569,0.0,23.856287425149702
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,merge,hot,49,3,0.14872725136879553,296747007,344719359,835715071,835715071,835715071,0.9387755102040817,0.0,0.0,18.029868578255677,451874.5890083632,683.6666666666666,717.6666666666666,683.6666666666666
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,merge,independent,37,33,1.6359997650567508,297795583,364380159,376438783,376438783,376438783,0.10810810810810811,0.0,0.0,18.029868578255677,451874.5890083632,47.06060606060606,49.484848484848484,47.06060606060606
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,multi_read,hot,48,48,2.3796360219007284,87752703,118947839,125632511,125632511,125632511,0.0,0.0,0.0,18.029868578255677,451874.5890083632,40.166666666666664,0.0,17.6875
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,multi_read,independent,211,211,10.460483346271953,88735743,119472127,147587071,157810687,157810687,0.0,0.0,0.0,18.029868578255677,451874.5890083632,40.18483412322275,0.0,17.654028436018958
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,point_read,hot,149,149,7.386786817983512,11616255,20316159,29376511,35061759,35061759,0.0,0.0,0.0,18.029868578255677,451874.5890083632,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,8,point_read,independent,628,628,31.133571286534533,12009471,24395775,32440319,40435711,40435711,0.0,0.0,0.0,18.029868578255677,451874.5890083632,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,commit,hot,104,104,5.159736064120338,223870975,367001599,401342463,792199167,792199167,0.4090909090909091,0.6923076923076923,0.0,18.266990291262136,456865.7324703344,30.221153846153847,39.875,30.221153846153847
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,commit,independent,372,372,18.455978998584285,159252479,246153215,419954687,516947967,516947967,0.05102040816326531,0.053763440860215055,0.0,18.266990291262136,456865.7324703344,25.631720430107528,24.74462365591398,25.631720430107528
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,diff,hot,5,5,0.24806423385193932,113311743,172752895,172752895,172752895,172752895,0.0,0.0,0.0,18.266990291262136,456865.7324703344,221.2,0.0,61.8
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,diff,independent,186,186,9.227989499292143,72482815,142213119,171442175,173277183,173277183,0.0,0.0,0.0,18.266990291262136,456865.7324703344,88.09677419354838,0.0,25.71505376344086
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,merge,hot,55,4,0.19845138708155144,276824063,347078655,581959679,581959679,581959679,0.9272727272727272,0.0,0.0,18.266990291262136,456865.7324703344,575.25,604.25,575.25
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,merge,independent,41,37,1.835675330504351,270270463,339476479,359661567,359661567,359661567,0.0975609756097561,0.0,0.0,18.266990291262136,456865.7324703344,46.567567567567565,48.972972972972975,46.567567567567565
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,multi_read,hot,54,54,2.6790937256009446,78118911,107020287,125698047,125698047,125698047,0.0,0.0,0.0,18.266990291262136,456865.7324703344,40.18518518518518,0.0,17.685185185185187
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,multi_read,independent,233,233,11.559793297500372,77463551,108003327,124977151,150470655,150470655,0.0,0.0,0.0,18.266990291262136,456865.7324703344,40.24892703862661,0.0,17.660944206008583
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,8,32,point_read,hot,165,165,8.186119717113998,9682943,16138239,18694143,21479423,21479423,0.0,0.0,0.0,18.266990291262136,456865.7324703344,3.0,0.0,0.0
