schema,revision,dirty,timestamp_ms,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,p50_ns,p95_ns,p99_ns,max_ns,node_cache_hits,node_cache_misses,node_cache_evictions,nodes_read,bytes_read,nodes_written,bytes_written,store_get_calls,store_batch_get_calls,store_batch_get_keys,store_put_calls,store_batch_put_calls,store_batch_put_nodes,tree_nodes,tree_leaves,tree_internal_nodes,tree_height,tree_records,tree_bytes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523244966,1000000,1,build,base,cold-manager,1,1000000,1000000,3106792000,3106.792,321875.4264849401,,,,,0,0,0,0,0,7719,31662829,0,0,0,0,1,7719,7719,7644,75,3,1000000,31662829,7719,296.0667319999997,51423,2,1099,1101,0,0,9578658,31,0,8043543,17062935,49152,9068544,24576,491520,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523246725,1000000,1,put,append,cold-manager,1,1,1,5803333,5803333.0,172.31477152870602,,,,,0,4,0,4,13422,4,13459,0,4,4,0,1,4,7719,7644,75,3,1000001,31662866,8,0.361417,90,0,2,2,0,0,15348,0,0,26385431,26401815,9207808,9224192,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523248482,1000000,1,put,random,cold-manager,1,1,1,8652625,8652625.0,115.57186402970197,,,,,0,6,0,6,33290,4,22035,0,6,6,0,1,4,7719,7644,75,3,1000000,31662829,10,0.736167,163,0,3,3,0,0,21824,0,0,26418199,26442775,9207808,9232384,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523250283,1000000,1,put,clustered,cold-manager,1,1,1,9314542,9314542.0,107.35900917082128,,,,,0,6,0,6,41446,4,30191,0,6,6,0,1,4,7719,7644,75,3,1000000,31662829,10,0.7188300000000001,160,0,3,3,0,0,22979,0,0,26450967,26475543,9207808,9232384,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523253830,1000000,1,batch,append,cold-manager,1,300000,300000,1141584667,3805.282223333333,262792.5975813759,,,,,0,4,0,4,13422,2295,9510489,0,4,4,0,1,2295,10010,9918,92,3,1300000,41159896,2299,94.55335899999993,15851,0,349,349,0,0,3022201,258,0,26483735,29342743,9207808,12066816,622592,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523263001,1000000,1,batch,random,cold-manager,1,300000,300000,8501048583,28336.82861,35289.76420625639,,,,,0,7659,0,7659,31650238,7659,31650238,0,128,7659,0,1,7659,7719,7644,75,3,1000000,31662829,15318,440.4681080000007,77580,0,1165,1165,0,0,10268113,9304,0,26516503,36060183,9207808,18751488,622592,1179648,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523268084,1000000,1,batch,clustered,cold-manager,1,300000,300000,3182001167,10606.670556666666,94280.29226112475,,,,,0,2213,0,2213,9514411,2211,9503156,0,42,2213,0,1,2211,7719,7644,75,3,1000000,31662829,4424,158.41387400000002,22393,0,338,338,0,0,2927639,1799,0,26549271,29318167,9207808,11976704,622592,901120,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523297626,1000000,1,get_cold,append,cold-manager,10000,10000,10000,29355572750,2935557.275,340.6508224234869,2778084,3873500,6310333,33550125,0,40000,39996,40000,199062901,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1091.7455710000015,197750,0,0,0,0,0,0,40457,0,26582039,26582039,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523339469,1000000,1,get_cold,random,cold-manager,10000,10000,10000,41690427750,4169042.775,239.8632141643114,2712041,6651000,43291083,223817083,0,40000,39996,40000,172775425,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1129.9629380000094,180149,0,0,0,0,0,0,39620,0,26614807,26614807,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523367143,1000000,1,get_cold,clustered,cold-manager,10000,10000,10000,27524796459,2752479.6459,363.30877196115364,2680084,3353250,3867500,8647042,0,40000,39996,40000,232712982,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1022.1729970000042,199957,0,0,0,0,0,0,39437,0,26647575,26647575,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523367346,1000000,1,get_warm,append,warm-manager,10000,10000,10000,4438042,443.8042,2253245.913400549,209,292,459,9625,10249,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,26680343,26680343,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523370525,1000000,1,get_warm,random,warm-manager,10000,10000,10000,12194125,1219.4125,820067.0404805593,917,1333,1750,119000,39988,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,26713111,26713111,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523370722,1000000,1,get_warm,clustered,warm-manager,10000,10000,10000,4337334,433.7334,2305563.7403068338,250,291,458,12834,10210,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,129,0,26745879,26745879,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523370910,1000000,1,query,append,cold-manager,1,10000,10000,60529250,6052.925,165209.38224081745,,,,,0,86,0,86,326704,0,0,0,17,86,0,0,0,7719,7644,75,3,1000000,31662829,86,1.6209550000000006,355,0,0,0,0,0,0,0,0,26778647,26778647,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523374251,1000000,1,query,random,cold-manager,1,10000,10000,3193989291,319398.9291,3130.8808793373,,,,,0,4498,0,4498,25708157,0,0,0,87,4498,0,0,0,7719,7644,75,3,1000000,31662829,4498,91.48309699999994,14699,0,0,0,0,0,0,3910,0,26811415,26811415,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523374460,1000000,1,query,clustered,cold-manager,1,10000,10000,57232958,5723.2958,174724.50052293297,,,,,0,74,0,74,353109,0,0,0,17,74,0,0,0,7719,7644,75,3,1000000,31662829,74,1.6834950000000006,321,0,0,0,0,0,0,0,0,26844183,26844183,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523374651,1000000,1,scan,append,cold-manager,1,10000,10000,59975750,5997.575,166734.05501390144,,,,,1110,86,0,86,326704,0,0,4,67,82,0,0,0,7719,7644,75,3,1000000,31662829,86,1.732551,355,0,0,0,0,0,0,0,0,26876951,26876951,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523374830,1000000,1,scan,clustered,cold-manager,1,10000,10000,51445625,5144.5625,194379.98858017568,,,,,795,74,0,74,353109,0,0,5,39,69,0,0,0,7719,7644,75,3,1000000,31662829,74,1.6174629999999997,336,0,0,0,0,0,0,189,0,26909719,26909719,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784523380126,1000000,1,full_scan,append,cold-manager,1,1000000,1000000,5170720500,5170.7205,193396.6455932012,,,,,106969,7719,0,7719,31662829,0,0,5,6650,7714,0,0,0,7719,7644,75,3,1000000,31662829,7719,131.23711600000058,24362,0,0,0,0,0,0,7377,0,26942487,26942487,9207808,9207808,622592,622592,true,
