schema,revision,dirty,timestamp_ms,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,p50_ns,p95_ns,p99_ns,max_ns,node_cache_hits,node_cache_misses,node_cache_evictions,nodes_read,bytes_read,nodes_written,bytes_written,store_get_calls,store_batch_get_calls,store_batch_get_keys,store_put_calls,store_batch_put_calls,store_batch_put_nodes,tree_nodes,tree_leaves,tree_internal_nodes,tree_height,tree_records,tree_bytes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524021962,1000000,1,build,base,cold-manager,1,1000000,1000000,3425351125,3425.351125,291940.8736527704,,,,,0,0,0,0,0,7719,31662829,0,0,0,0,1,7719,7719,7644,75,3,1000000,31662829,7719,309.2149120000003,51423,2,1099,1101,0,0,9578658,34,0,10484759,19504151,49152,9068544,24576,491520,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524024094,1000000,1,put,append,cold-manager,1,1,1,6338125,6338125.0,157.77536732077704,,,,,0,4,0,4,13422,4,13459,0,4,4,0,1,4,7719,7644,75,3,1000001,31662866,8,0.37425,90,0,2,2,0,0,15348,0,0,28834839,28851223,9207808,9224192,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524026156,1000000,1,put,random,cold-manager,1,1,1,9125958,9125958.0,109.57753695557223,,,,,0,6,0,6,33290,4,22035,0,6,6,0,1,4,7719,7644,75,3,1000000,31662829,10,0.801248,163,0,3,3,0,0,21824,387,0,28867607,28892183,9207808,9232384,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524028343,1000000,1,put,clustered,cold-manager,1,1,1,42860875,42860875.0,23.331301565821978,,,,,0,6,0,6,41446,4,30191,0,6,6,0,1,4,7719,7644,75,3,1000000,31662829,10,2.29229,163,0,3,3,0,0,22979,637,0,28900375,28924951,9207808,9232384,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524031377,1000000,1,batch,append,cold-manager,1,300000,300000,1053904292,3513.0143066666665,284655.8290702928,,,,,0,4,0,4,13422,2295,9510489,0,4,4,0,1,2295,10010,9918,92,3,1300000,41159896,2299,90.4165429999999,15851,0,349,349,0,0,3022201,6,0,28941335,31800343,9207808,12066816,622592,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524040733,1000000,1,batch,random,cold-manager,1,300000,300000,8721699542,29072.331806666665,34396.96570093105,,,,,0,7659,0,7659,31650238,7659,31650238,0,128,7659,0,1,7659,7719,7644,75,3,1000000,31662829,15318,431.6554050000006,77580,0,1165,1165,0,0,10268113,10298,0,28974103,38517783,9207808,18751488,622592,1179648,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524045165,1000000,1,batch,clustered,cold-manager,1,300000,300000,2853371750,9511.239166666666,105138.77135007031,,,,,0,2213,0,2213,9514411,2211,9503156,0,42,2213,0,1,2211,7719,7644,75,3,1000000,31662829,4424,153.34448099999986,22393,0,338,338,0,0,2927639,2074,0,29006871,31775767,9207808,11976704,622592,901120,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524073446,1000000,1,get_cold,append,cold-manager,10000,10000,10000,28100571875,2810057.1875,355.86464376892684,2634750,3539750,6416542,55843292,0,40000,39996,40000,199062901,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1006.984634000015,197750,0,0,0,0,0,0,40285,0,29039639,29039639,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524100060,1000000,1,get_cold,random,cold-manager,10000,10000,10000,26465241375,2646524.1375,377.85410147236945,2560750,3142500,3886875,27659125,0,40000,39996,40000,172775425,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,858.6403860000032,180229,0,0,0,0,0,0,39244,0,29072407,29105175,9207808,9224192,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524127507,1000000,1,get_cold,clustered,cold-manager,10000,10000,10000,27320145583,2732014.5583,366.030260330037,2631708,3425500,4088042,28574042,0,40000,39996,40000,232712982,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1012.0628110000023,199957,0,0,0,0,0,0,40523,0,29121559,29121559,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524127724,1000000,1,get_warm,append,warm-manager,10000,10000,10000,4369000,436.9,2288853.2845044634,209,333,417,3334,10249,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,29154327,29154327,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524131067,1000000,1,get_warm,random,warm-manager,10000,10000,10000,13091917,1309.1917,763830.0792771601,917,1417,5500,160375,39988,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,29187095,29187095,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524131253,1000000,1,get_warm,clustered,warm-manager,10000,10000,10000,4354458,435.4458,2296497.0611727107,209,292,459,13375,10210,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,29228055,29228055,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524131443,1000000,1,query,append,cold-manager,1,10000,10000,62799334,6279.9334,159237.35751719915,,,,,0,86,0,86,326704,0,0,0,17,86,0,0,0,7719,7644,75,3,1000000,31662829,86,1.7118750000000003,355,0,0,0,0,0,0,347,0,29260823,29260823,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524135149,1000000,1,query,random,cold-manager,1,10000,10000,3579633833,357963.3833,2793.5818205235964,,,,,0,4498,0,4498,25708157,0,0,0,87,4498,0,0,0,7719,7644,75,3,1000000,31662829,4498,108.31792400000026,14699,0,0,0,0,0,0,3547,0,29293591,29293591,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524135346,1000000,1,query,clustered,cold-manager,1,10000,10000,58402583,5840.2583,171225.30351097655,,,,,0,74,0,74,353109,0,0,0,17,74,0,0,0,7719,7644,75,3,1000000,31662829,74,1.7417520000000004,321,0,0,0,0,0,0,118,0,29326359,29326359,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524135540,1000000,1,scan,append,cold-manager,1,10000,10000,71809542,7180.9542,139257.25915366513,,,,,1110,86,0,86,326704,0,0,4,67,82,0,0,0,7719,7644,75,3,1000000,31662829,86,2.047712,355,0,0,0,0,0,0,0,0,29359127,29359127,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524135713,1000000,1,scan,clustered,cold-manager,1,10000,10000,51928167,5192.8167,192573.7143774014,,,,,795,74,0,74,353109,0,0,5,39,69,0,0,0,7719,7644,75,3,1000000,31662829,74,1.5922909999999997,336,0,0,0,0,0,0,0,0,29391895,29391895,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524141000,1000000,1,full_scan,append,cold-manager,1,1000000,1000000,5167524459,5167.524459,193516.25869101667,,,,,106969,7719,0,7719,31662829,0,0,5,6650,7714,0,0,0,7719,7644,75,3,1000000,31662829,7719,131.19785799999983,24362,0,0,0,0,0,0,7068,0,29424663,29424663,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524145915,1000000,1,diff,append,cold-manager,1,300000,300000,1841486292,6138.28764,162911.88335384036,,,,,0,2299,0,2299,9523911,0,0,2291,4,8,0,0,0,10010,9918,92,3,1300000,41159896,2299,55.273612000000085,7359,0,0,0,0,0,0,1987,0,32332823,32332823,12083200,12083200,892928,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524158366,1000000,1,diff,random,cold-manager,1,300000,300000,3717059583,12390.19861,80708.95644827763,,,,,15322,15324,0,15324,63301056,0,0,0,1097,15324,0,0,0,7719,7644,75,3,1000000,31662829,15324,435.0631290000026,48565,0,0,0,0,0,0,13429,0,39083031,39083031,18792448,18792448,1187840,1187840,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524165101,1000000,1,diff,clustered,cold-manager,1,300000,300000,1165408125,3884.69375,257420.54956069574,,,,,4418,4422,0,4422,19006312,0,0,0,316,4422,0,0,0,7719,7644,75,3,1000000,31662829,4422,126.66865799999994,14002,0,0,0,0,0,0,3774,0,32308247,32308247,11976704,11976704,901120,901120,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524171587,1000000,1,merge,append,cold-manager,1,300000,300000,1561640500,5205.468333333333,192105.67348887277,,,,,6,1139,0,1139,4788205,1130,4761193,1126,8,13,0,1,1130,10010,9918,92,3,1300000,41159896,2269,85.91783900000001,14910,0,158,158,0,0,1533256,728,0,32439319,33733655,12075008,13369344,892928,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524234893,1000000,1,merge,random,cold-manager,1,300000,300000,48250269750,160834.2325,6217.5818198404995,,,,,0,22584,13728,22584,94839291,7528,31613097,0,392,22584,0,1,7528,7719,7644,75,3,1000000,31662829,30112,1061.6902859999989,162185,0,1188,1188,0,0,10405108,22506,0,48413719,58145815,28016640,37748736,1802240,2408448,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524241086,1000000,1,merge,clustered,cold-manager,1,300000,300000,12787917,42.62639,23459645.538831696,,,,,0,12,0,12,90573,4,30191,0,4,12,0,1,4,7719,7644,75,3,1000000,31662829,16,1.1055409999999999,127,0,2,2,0,0,23115,768,0,32439319,32455703,12001280,12017664,892928,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524242853,1000000,2,put,random,cold-manager,1,1,1,10090833,10090833.0,99.09984636550818,,,,,0,6,0,6,33290,4,22035,0,6,6,0,1,4,7719,7644,75,3,1000000,31662829,10,0.758502,160,0,3,3,0,0,21824,0,0,29678615,29703191,9207808,9232384,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524244597,1000000,2,put,clustered,cold-manager,1,1,1,7975250,7975250.0,125.38791887401649,,,,,0,6,0,6,41446,4,30191,0,6,6,0,1,4,7719,7644,75,3,1000000,31662829,10,0.623001,160,0,3,3,0,0,22979,0,0,29711383,29735959,9207808,9232384,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524246671,1000000,2,put,append,cold-manager,1,1,1,6809875,6809875.0,146.8455735237431,,,,,0,4,0,4,13422,4,13459,0,4,4,0,1,4,7719,7644,75,3,1000001,31662866,8,0.411044,120,0,2,2,0,0,15348,0,0,29744151,29760535,9207808,9224192,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524256384,1000000,2,batch,random,cold-manager,1,300000,300000,9085377083,30284.590276666666,33020.093415972966,,,,,0,7659,0,7659,31650238,7659,31650238,0,128,7659,0,1,7659,7719,7644,75,3,1000000,31662829,15318,432.42660799999993,77580,0,1165,1165,0,0,10268113,8626,0,29776919,39320599,9207808,18751488,622592,1179648,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524260670,1000000,2,batch,clustered,cold-manager,1,300000,300000,2695481541,8984.93847,111297.36762682583,,,,,0,2213,0,2213,9514411,2211,9503156,0,42,2213,0,1,2211,7719,7644,75,3,1000000,31662829,4424,129.1788860000002,22393,0,338,338,0,0,2927639,2206,0,29809687,32578583,9207808,11976704,622592,901120,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524263890,1000000,2,batch,append,cold-manager,1,300000,300000,1122343917,3741.14639,267297.7466674326,,,,,0,4,0,4,13422,2295,9510489,0,4,4,0,1,2295,10010,9918,92,3,1300000,41159896,2299,98.49491800000006,15851,0,349,349,0,0,3022201,202,0,29842455,32701463,9207808,12066816,622592,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524292419,1000000,2,get_cold,random,cold-manager,10000,10000,10000,28361607666,2836160.7666,352.5893213729219,2629458,3775041,6418417,157151000,0,40000,39996,40000,172775425,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,974.0772479999965,180149,0,0,0,0,0,0,41826,0,29875223,29875223,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524323799,1000000,2,get_cold,clustered,cold-manager,10000,10000,10000,31086097375,3108609.7375,321.68721211180986,2806833,4646875,8094833,38549166,0,40000,39996,40000,232712982,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1183.1540590000043,199957,0,0,0,0,0,0,39625,0,29907991,29932567,9207808,9216000,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524353162,1000000,2,get_cold,append,cold-manager,10000,10000,10000,29234913666,2923491.3666,342.0567652173343,2603541,4428584,9075083,75798292,0,40000,39996,40000,199062901,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1044.0007269999967,197750,0,0,0,0,0,0,39615,0,29957143,29957143,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524356407,1000000,2,get_warm,random,warm-manager,10000,10000,10000,12535500,1253.55,797734.4342068526,958,1458,2375,127500,39988,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,29989911,29989911,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524356611,1000000,2,get_warm,clustered,warm-manager,10000,10000,10000,4280416,428.0416,2336221.5261320397,209,292,416,2375,10210,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,30030871,30030871,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524356823,1000000,2,get_warm,append,warm-manager,10000,10000,10000,4348084,434.8084,2299863.5720929033,250,292,458,4583,10249,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,30080023,30080023,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524360467,1000000,2,query,random,cold-manager,1,10000,10000,3505896125,350589.6125,2852.3377885304576,,,,,0,4498,0,4498,25708157,0,0,0,87,4498,0,0,0,7719,7644,75,3,1000000,31662829,4498,101.98933199999983,14699,0,0,0,0,0,0,3623,0,30112791,30112791,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524360651,1000000,2,query,clustered,cold-manager,1,10000,10000,55101125,5510.1125,181484.49782105174,,,,,0,74,0,74,353109,0,0,0,17,74,0,0,0,7719,7644,75,3,1000000,31662829,74,1.6427019999999997,321,0,0,0,0,0,0,483,0,30145559,30145559,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524360850,1000000,2,query,append,cold-manager,1,10000,10000,67507709,6750.7709,148131.23046436073,,,,,0,86,0,86,326704,0,0,0,17,86,0,0,0,7719,7644,75,3,1000000,31662829,86,1.974417,355,0,0,0,0,0,0,1,0,30178327,30178327,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524361028,1000000,2,scan,clustered,cold-manager,1,10000,10000,53133250,5313.325,188206.06682256403,,,,,795,74,0,74,353109,0,0,5,39,69,0,0,0,7719,7644,75,3,1000000,31662829,74,1.7678319999999998,336,0,0,0,0,0,0,92,0,30211095,30211095,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524361206,1000000,2,scan,append,cold-manager,1,10000,10000,57552333,5755.2333,173754.90234253404,,,,,1110,86,0,86,326704,0,0,4,67,82,0,0,0,7719,7644,75,3,1000000,31662829,86,1.6738720000000002,355,0,0,0,0,0,0,0,0,30243863,30243863,9207808,9207808,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524374282,1000000,2,diff,random,cold-manager,1,300000,300000,3379560709,11265.202363333334,88768.93354839864,,,,,15322,15324,0,15324,63301056,0,0,0,1097,15324,0,0,0,7719,7644,75,3,1000000,31662829,15324,393.76776500000125,48565,0,0,0,0,0,0,14013,0,39861271,39861271,18792448,18792448,1187840,1187840,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524379324,1000000,2,diff,clustered,cold-manager,1,300000,300000,955105750,3183.6858333333334,314101.34427522816,,,,,4418,4422,0,4422,19006312,0,0,0,316,4422,0,0,0,7719,7644,75,3,1000000,31662829,4422,108.7803640000002,14002,0,0,0,0,0,0,339,0,33086487,33086487,11976704,11976704,901120,901120,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524383870,1000000,2,diff,append,cold-manager,1,300000,300000,1515708875,5052.362916666667,197927.19099833732,,,,,0,2299,0,2299,9523911,0,0,2291,4,8,0,0,0,10010,9918,92,3,1300000,41159896,2299,41.474195000000066,7355,0,0,0,0,0,0,2197,0,33209367,33233943,12066816,12075008,892928,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524449445,1000000,2,merge,random,cold-manager,1,300000,300000,47747593542,159158.64514,6283.039159578008,,,,,0,22584,13728,22584,94839291,7528,31613097,0,392,22584,0,1,7528,7719,7644,75,3,1000000,31662829,30112,974.634879000004,162185,0,1188,1188,0,0,10405108,22115,0,49208343,58940439,28016640,37748736,1802240,2408448,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524456473,1000000,2,merge,clustered,cold-manager,1,300000,300000,13998375,46.66125,21431058.96220097,,,,,0,12,0,12,90573,4,30191,0,4,12,0,1,4,7719,7644,75,3,1000000,31662829,16,1.160999,127,0,2,2,0,0,23115,768,0,33225751,33242135,12001280,12017664,892928,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524464515,1000000,2,merge,append,cold-manager,1,300000,300000,1462564167,4875.21389,205119.20554935897,,,,,6,1139,0,1139,4788205,1130,4761193,1126,8,13,0,1,1130,10010,9918,92,3,1300000,41159896,2269,71.8741129999999,14910,0,158,158,0,0,1533235,651,0,33332247,34626583,12075008,13369344,892928,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524467013,1000000,3,put,clustered,cold-manager,1,1,1,9632209,9632209.0,103.81834530376157,,,,,0,6,0,6,41446,4,30191,0,6,6,0,1,4,7719,7644,75,3,1000000,31662829,10,0.721873,160,0,3,3,0,0,22979,0,0,30497815,30522391,9207808,9232384,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524469252,1000000,3,put,append,cold-manager,1,1,1,18753917,18753917.0,53.322193971531384,,,,,0,4,0,4,13422,4,13459,0,4,4,0,1,4,7719,7644,75,3,1000001,31662866,8,0.7293339999999999,120,0,2,2,0,0,15348,0,0,30530583,30546967,9207808,9224192,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524471252,1000000,3,put,random,cold-manager,1,1,1,7989000,7989000.0,125.1721116535236,,,,,0,6,0,6,33290,4,22035,0,6,6,0,1,4,7719,7644,75,3,1000000,31662829,10,0.6253340000000001,160,0,3,3,0,0,21824,0,0,30571543,30596119,9207808,9232384,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524477817,1000000,3,batch,clustered,cold-manager,1,300000,300000,2838448292,9461.494306666667,105691.55014926022,,,,,0,2213,0,2213,9514411,2211,9503156,0,42,2213,0,1,2211,7719,7644,75,3,1000000,31662829,4424,137.7433060000002,22393,0,338,338,0,0,2927639,2510,0,30604311,33373207,9207808,11976704,622592,901120,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524484849,1000000,3,batch,append,cold-manager,1,300000,300000,1523130459,5077.10153,196962.77375804223,,,,,0,4,0,4,13422,2295,9510489,0,4,4,0,1,2295,10010,9918,92,3,1300000,41159896,2299,119.97364800000015,15851,0,349,349,0,0,3022201,81,0,30637079,33496087,9207808,12066816,622592,892928,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524495562,1000000,3,batch,random,cold-manager,1,300000,300000,10090863041,33636.21013666667,29729.86540210441,,,,,0,7659,0,7659,31650238,7659,31650238,0,128,7659,0,1,7659,7719,7644,75,3,1000000,31662829,15318,460.7328010000018,77580,0,1165,1165,0,0,10268113,8927,0,30669847,40213527,9207808,18751488,622592,1179648,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524525819,1000000,3,get_cold,clustered,cold-manager,10000,10000,10000,30063622583,3006362.2583,332.6279117691783,2817167,4080833,6388291,35871959,0,40000,39996,40000,232712982,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1177.5664080000092,200037,0,0,0,0,0,0,39668,0,30710807,30743575,9207808,9224192,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524581563,1000000,3,get_cold,append,cold-manager,10000,10000,10000,55574429500,5557442.95,179.93886918803187,2945958,18114416,54201167,169736542,0,40000,39996,40000,199062901,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1671.5750170000044,197830,0,0,0,0,0,0,39467,0,30759959,30792727,9207808,9224192,622592,622592,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784524631804,1000000,3,get_cold,random,cold-manager,10000,10000,10000,50086439084,5008643.9084,199.65484036964563,3039083,11684167,43472084,135991792,0,40000,39996,40000,172775425,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,1378.5584060000008,180149,0,0,0,0,0,0,39541,0,30809111,30833687,9207808,9216000,622592,622592,true,
