schema,revision,dirty,timestamp_ms,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,p50_ns,p95_ns,p99_ns,max_ns,node_cache_hits,node_cache_misses,node_cache_evictions,nodes_read,bytes_read,nodes_written,bytes_written,store_get_calls,store_batch_get_calls,store_batch_get_keys,store_put_calls,store_batch_put_calls,store_batch_put_nodes,tree_nodes,tree_leaves,tree_internal_nodes,tree_height,tree_records,tree_bytes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966054,1000,1,build,base,cold-manager,1,1000,1000,5417959,5417.959,184571.3487311366,,,,,0,0,0,0,0,9,31709,0,0,0,0,1,9,9,8,1,1,1000,31709,9,0.578834,46,1,5,6,0,0,10036,0,0,8002583,8051735,49152,98304,24576,32768,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966096,1000,1,put,append,cold-manager,1,1,1,3246166,3246166.0,308.0557186539444,,,,,0,2,0,2,1213,2,1247,0,2,2,0,1,2,9,8,1,1,1001,31743,4,0.049376,13,0,0,0,0,0,1725,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966137,1000,1,put,random,cold-manager,1,1,1,3446584,3446584.0,290.14235544527565,,,,,0,3,0,3,5881,2,5010,0,3,3,0,1,2,9,8,1,1,1000,31709,5,0.07266500000000001,15,0,0,0,0,0,1577,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966175,1000,1,put,clustered,cold-manager,1,1,1,3519125,3519125.0,284.1615458388094,,,,,0,3,0,3,5881,2,5010,0,3,3,0,1,2,9,8,1,1,1000,31709,5,0.080917,15,0,0,0,0,0,1574,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966216,1000,1,batch,append,cold-manager,1,300,300,5626000,18753.333333333332,53323.85353714895,,,,,0,2,0,2,1213,6,10832,0,2,2,0,1,6,13,12,1,1,1300,41328,8,0.145789,29,0,0,0,0,0,7924,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966265,1000,1,batch,random,cold-manager,1,300,300,11317417,37724.723333333335,26507.81534337738,,,,,0,9,0,9,31709,9,31709,0,4,9,0,1,9,9,8,1,1,1000,31709,18,0.462421,61,1,3,2,0,0,10793,0,0,8133655,8150039,114688,131072,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966307,1000,1,batch,clustered,cold-manager,1,300,300,7689584,25631.946666666667,39013.81401126511,,,,,0,6,0,6,26357,5,25486,0,4,6,0,1,5,9,8,1,1,1000,31709,11,0.29454,33,0,0,0,0,0,5966,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966475,1000,1,get_cold,append,cold-manager,100,100,100,135990000,1359900.0,735.3481873667181,1313833,1676042,2487375,3210292,0,200,198,200,959486,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,2.852852000000001,400,0,0,0,0,0,0,1,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966627,1000,1,get_cold,random,cold-manager,100,100,100,123392500,1233925.0,810.4220272707012,1230208,1366042,1439792,1450042,0,200,198,200,846432,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,1.9848010000000005,400,0,0,0,0,0,0,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966780,1000,1,get_cold,clustered,cold-manager,100,100,100,122217958,1222179.58,818.2103647976184,1197708,1352750,1628125,2080584,0,200,198,200,501000,0,0,200,0,0,0,0,0,9,8,1,1,1000,31709,200,0.8128799999999996,400,0,0,0,0,0,0,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966812,1000,1,get_warm,append,warm-manager,100,100,100,47458,474.58,2107126.301150491,250,333,458,2250,102,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,1,1000,31709,0,0.0,0,0,0,0,0,0,0,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966847,1000,1,get_warm,random,warm-manager,100,100,100,62958,629.58,1588360.494297786,375,666,1291,2000,177,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,1,1000,31709,0,0.0,0,0,0,0,0,0,0,0,0,8133655,8133655,114688,114688,40960,40960,true,
postgres-scale-v1,d6f33dc7351ba93f6117913a11cfb85e7d751696,true,1784522966879,1000,1,get_warm,clustered,warm-manager,100,100,100,51208,512.08,1952819.8718950164,250,292,1625,4375,100,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,1,1000,31709,0,0.0,0,0,0,0,0,0,0,0,0,8133655,8133655,114688,114688,40960,40960,true,
