records,operation,pattern,cache_state,repetitions,latency_median_ns,latency_min_ns,latency_max_ns,ns_per_op_median,ops_per_sec_median,nodes_read_median,nodes_written_median,bytes_read_median,bytes_written_median,cache_hits_median,cache_misses_median,pg_calls_median,pg_execution_ms_median,pg_shared_blks_hit_median,pg_shared_blks_read_median,pg_wal_bytes_median,tree_records_median,tree_nodes_median,tree_height_median,tree_bytes_median,table_bytes_after_median,index_bytes_after_median
1000,batch,append,cold-manager,1,5626000,5626000,5626000,18753.333333333332,53323.85353714895,2.0,6.0,1213.0,10832.0,0.0,2.0,8.0,0.145789,29.0,0.0,7924.0,1300.0,13.0,1.0,41328.0,114688.0,40960.0
1000,batch,clustered,cold-manager,1,7689584,7689584,7689584,25631.946666666667,39013.81401126511,6.0,5.0,26357.0,25486.0,0.0,6.0,11.0,0.29454,33.0,0.0,5966.0,1000.0,9.0,1.0,31709.0,114688.0,40960.0
1000,batch,random,cold-manager,1,11317417,11317417,11317417,37724.723333333335,26507.81534337738,9.0,9.0,31709.0,31709.0,0.0,9.0,18.0,0.462421,61.0,1.0,10793.0,1000.0,9.0,1.0,31709.0,131072.0,40960.0
1000,build,base,cold-manager,1,5417959,5417959,5417959,5417.959,184571.3487311366,0.0,9.0,0.0,31709.0,0.0,0.0,9.0,0.578834,46.0,1.0,10036.0,1000.0,9.0,1.0,31709.0,98304.0,32768.0
1000,diff,append,cold-manager,1,4366209,4366209,4366209,14554.03,68709.49146044086,8.0,0.0,12045.0,0.0,0.0,8.0,8.0,0.041876,16.0,0.0,0.0,1300.0,13.0,1.0,41328.0,114688.0,40960.0
1000,diff,clustered,cold-manager,1,7662291,7662291,7662291,25540.97,39152.78080668041,10.0,0.0,50972.0,0.0,8.0,10.0,10.0,0.137626,20.0,0.0,0.0,1000.0,9.0,1.0,31709.0,114688.0,40960.0
1000,diff,random,cold-manager,1,22713791,22713791,22713791,75712.63666666667,13207.83483479266,18.0,0.0,63418.0,0.0,16.0,18.0,18.0,0.23662899999999998,39.0,0.0,0.0,1000.0,9.0,1.0,31709.0,131072.0,40960.0
1000,full_scan,append,cold-manager,1,5119042,5119042,5119042,5119.042,195349.051638959,9.0,0.0,31709.0,0.0,21.0,9.0,9.0,0.07325000000000001,18.0,0.0,0.0,1000.0,9.0,1.0,31709.0,114688.0,40960.0
1000,get_cold,append,cold-manager,1,135990000,135990000,135990000,1359900.0,735.3481873667181,200.0,0.0,959486.0,0.0,0.0,200.0,200.0,2.852852000000001,400.0,0.0,0.0,1000.0,9.0,1.0,31709.0,114688.0,40960.0
1000,get_cold,clustered,cold-manager,1,122217958,122217958,122217958,1222179.58,818.2103647976184,200.0,0.0,501000.0,0.0,0.0,200.0,200.0,0.8128799999999996,400.0,0.0,0.0,1000.0,9.0,1.0,31709.0,114688.0,40960.0
