implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,full_diff,compare,1,0,0.000,0.000,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,1,7749632
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,range_diff,compare,1,500,500.000,2000000.000,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,1,7749632
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,patch_generate,compare,1,1542,1542.000,648508.431,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,1,7749632
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,patch_apply,compare,1,875,875.000,1142857.143,6cd57fc05ba05b0a,83956e885e76781d,10000,10000,10000,0,true,1,7749632
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,merge_noop,noop,1,458,458.000,2183406.114,6cd57fc05ba05b0a,83956e885e76781d,10000,10000,10000,0,true,1,7749632
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,full_diff,compare,1,1917,1917.000,521648.409,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,1,38649856
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,range_diff,compare,1,2125,2125.000,470588.235,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,1,38649856
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,patch_generate,compare,1,2917,2917.000,342817.964,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,1,38649856
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,patch_apply,compare,1,375,375.000,2666666.667,6cd57fc05ba05b0a,83956e885e76781d,10000,10000,10000,0,true,1,38649856
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,merge_noop,noop,1,45125,45125.000,22160.665,6cd57fc05ba05b0a,83956e885e76781d,10000,10000,10000,0,true,1,38649856
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,full_diff,compare,100,9833,98.330,10169836.266,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,1,8470528
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,range_diff,compare,100,12125,121.250,8247422.680,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,1,8470528
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,patch_generate,compare,100,15042,150.420,6648052.121,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,1,8470528
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,patch_apply,compare,100,630834,6308.340,158520.308,bcf0e1ce13626c64,e8d07e41c6a1a16d,10100,10000,10100,0,true,1,8470528
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,merge_disjoint,disjoint,200,337208,1686.040,593105.739,edcdb03c7919243d,c1cc8449c9ec5d58,10200,10000,10200,0,true,1,8470528
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,merge_convergent,convergent,100,125,1.250,800000000.000,c99b4e73829984b1,e8d07e41c6a1a16d,10100,10000,10100,0,true,1,8470528
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,merge_conflict,conflict,100,304458,3044.580,328452.529,5c7a9a698a610e3f,e8d07e41c6a1a16d,10100,10000,10100,100,true,1,8470528
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,full_diff,compare,100,24375,243.750,4102564.103,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,1,46006272
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,range_diff,compare,100,25292,252.920,3953819.390,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,1,46006272
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,patch_generate,compare,100,4334,43.340,23073373.327,bcf0e1ce13626c64,969205edbc84711f,1,10000,10100,0,true,1,46006272
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,patch_apply,compare,100,38708,387.080,2583445.283,bcf0e1ce13626c64,e8d07e41c6a1a16d,10100,10000,10100,0,true,1,46006272
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,merge_disjoint,disjoint,200,156208,781.040,1280344.157,edcdb03c7919243d,c1cc8449c9ec5d58,10200,10000,10200,0,true,1,46006272
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,merge_convergent,convergent,100,14792,147.920,6760411.033,c99b4e73829984b1,e8d07e41c6a1a16d,10100,10000,10100,0,true,1,46006272
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,merge_conflict,conflict,100,109459,1094.590,913584.082,5c7a9a698a610e3f,e8d07e41c6a1a16d,10100,10000,10100,100,true,1,46006272
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,full_diff,compare,100,186417,1864.170,536431.763,3bae344635e9026c,758ca369a1de145c,100,10000,10000,0,true,1,17842176
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,range_diff,compare,11,22958,2087.091,479135.813,3bae344635e9026c,fb35b023c4ac3f80,11,10000,10000,0,true,1,17842176
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,patch_generate,compare,100,196833,1968.330,508044.891,3bae344635e9026c,758ca369a1de145c,100,10000,10000,0,true,1,17842176
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,patch_apply,compare,100,3678500,36785.000,27184.994,3bae344635e9026c,d8f03a954d666c5f,10000,10000,10000,0,true,1,17842176
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,merge_disjoint,disjoint,200,5086833,25434.165,39317.194,32df15894002290c,377e03cb0d8adf22,10000,10000,10000,0,true,1,17842176
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,merge_convergent,convergent,100,208,2.080,480769230.769,0352b9f4e1a27b49,d8f03a954d666c5f,10000,10000,10000,0,true,1,17842176
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,merge_conflict,conflict,100,4655792,46557.920,21478.623,18de92c304607a16,d8f03a954d666c5f,10000,10000,10000,100,true,1,17842176
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,full_diff,compare,100,206667,2066.670,483870.187,3bae344635e9026c,758ca369a1de145c,100,10000,10000,0,true,1,48119808
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,range_diff,compare,11,23042,2094.727,477389.116,3bae344635e9026c,fb35b023c4ac3f80,11,10000,10000,0,true,1,48119808
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,patch_generate,compare,100,12375,123.750,8080808.081,3bae344635e9026c,758ca369a1de145c,3,10000,10000,0,true,1,48119808
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,patch_apply,compare,100,21792,217.920,4588839.941,3bae344635e9026c,d8f03a954d666c5f,10000,10000,10000,0,true,1,48119808
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,merge_disjoint,disjoint,200,655833,3279.165,304955.682,32df15894002290c,377e03cb0d8adf22,10000,10000,10000,0,true,1,48119808
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,merge_convergent,convergent,100,17333,173.330,5769341.718,0352b9f4e1a27b49,d8f03a954d666c5f,10000,10000,10000,0,true,1,48119808
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,random,merge_conflict,conflict,100,1192167,11921.670,83880.866,18de92c304607a16,d8f03a954d666c5f,10000,10000,10000,100,true,1,48119808
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,full_diff,compare,100,17875,178.750,5594405.594,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,range_diff,compare,100,17875,178.750,5594405.594,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,patch_generate,compare,100,21292,212.920,4696599.662,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,patch_apply,compare,100,420708,4207.080,237694.553,dbbbf7e1737103cf,410f65ee53058013,10000,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,merge_disjoint,disjoint,200,450250,2251.250,444197.668,cb43d7aa514d4871,c4bdf0e690da4990,10000,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,merge_convergent,convergent,100,125,1.250,800000000.000,8c2e1c2c2fe65757,410f65ee53058013,10000,10000,10000,0,true,1,8372224
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,merge_conflict,conflict,100,303500,3035.000,329489.292,00b527e6fd2c9a07,410f65ee53058013,10000,10000,10000,100,true,1,8372224
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,full_diff,compare,100,28292,282.920,3534568.076,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,range_diff,compare,100,32542,325.420,3072951.878,dbbbf7e1737103cf,a7c61f8772a95be3,100,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,patch_generate,compare,100,4250,42.500,23529411.765,dbbbf7e1737103cf,a7c61f8772a95be3,1,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,patch_apply,compare,100,26833,268.330,3726754.370,dbbbf7e1737103cf,410f65ee53058013,10000,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,merge_disjoint,disjoint,200,179875,899.375,1111883.252,cb43d7aa514d4871,c4bdf0e690da4990,10000,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,merge_convergent,convergent,100,28833,288.330,3468248.188,8c2e1c2c2fe65757,410f65ee53058013,10000,10000,10000,0,true,1,46055424
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,clustered,merge_conflict,conflict,100,113875,1138.750,878155.873,00b527e6fd2c9a07,410f65ee53058013,10000,10000,10000,100,true,1,46055424
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,full_diff,compare,3000,182958,60.986,16397205.916,5aba98d4c33e79fc,371a496b00a5243f,3000,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,range_diff,compare,1299,110125,84.777,11795686.720,5aba98d4c33e79fc,4a4a87e4dccebfd9,1299,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,patch_generate,compare,3000,216500,72.167,13856812.933,5aba98d4c33e79fc,371a496b00a5243f,3000,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,patch_apply,compare,3000,13689166,4563.055,219151.408,5aba98d4c33e79fc,f4a19c5b788fa4e1,13000,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,merge_disjoint,disjoint,6000,2463292,410.549,2435764.822,0390f3708d8de5ae,0c1080f6fceabcba,16000,10000,16000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,merge_convergent,convergent,3000,375,0.125,8000000000.000,000b6ae1f3f7a699,f4a19c5b788fa4e1,13000,10000,13000,0,true,1,15253504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,merge_conflict,conflict,3000,3434250,1144.750,873553.178,038c72e76306f5d7,f4a19c5b788fa4e1,13000,10000,13000,3000,true,1,15253504
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,full_diff,compare,3000,580791,193.597,5165369.298,5aba98d4c33e79fc,371a496b00a5243f,3000,10000,13000,0,true,1,48480256
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,append,range_diff,compare,1299,253375,195.054,5126788.357,5aba98d4c33e79fc,4a4a87e4dccebfd9,1299,10000,13000,0,true,1,48480256
