implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,version_publish,publish,100,203209,2032.090,492104.188,358a06192fb892e4,e8d07e41c6a1a16d,10100,10000,10100,0,true,1,10600448
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,version_publish,publish,100,4356375,43563.750,22954.865,1ba29dfcdbf1edec,d8f03a954d666c5f,10000,10000,10000,0,true,1,13860864
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,clustered,version_publish,publish,100,584500,5845.000,171086.399,aaaafa1c2386b44f,410f65ee53058013,10000,10000,10000,0,true,1,10993664
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,append,version_publish,publish,3000,1286333,428.778,2332211.022,6119cf30f953787c,f4a19c5b788fa4e1,13000,10000,13000,0,true,1,11599872
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,random,version_publish,publish,3000,5150750,1716.917,582439.451,bba5670739e19bf2,5a91922c35a5d419,10000,10000,10000,0,true,1,14712832
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,30,clustered,version_publish,publish,3000,1897125,632.375,1581340.186,73089ae058bf6726,3edcab869b202ab0,10000,10000,10000,0,true,1,11517952
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,head_resolve,read,10000,8091667,809.167,1235839.290,467a90896036fde5,b9ceaff8e2a09660,10000,10000,10000,0,true,1,13123584
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,snapshot_resolve,read,2000,3624917,1812.458,551736.771,467a90896036fde5,e76ba8fe230edcd0,2000,10000,10000,0,true,1,13123584
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,historical_point_read,read,100000,432555291,4325.553,231184.318,467a90896036fde5,fe11ffa327aa418a,100000,10000,10000,0,true,1,13123584
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,historical_range_scan,read,30000,5052333,168.411,5937850.890,467a90896036fde5,88768ffe1f91a9a5,30000,10000,10000,0,true,1,13123584
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,version_list,read,10000,9841750,984.175,1016079.457,467a90896036fde5,7e4addcc6fca3400,10000,10000,10000,0,true,1,13123584
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,rollback,rollback,1000,3135916,3135.916,318886.093,467a90896036fde5,fd7d8b7cb3ac3e94,1000,10000,10000,0,true,1,11517952
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,retention_prune,prune,100,198459,1984.590,503882.414,467a90896036fde5,3bb0f6f78508f156,11,100,11,0,true,1,12124160
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,version_publish,publish,100,185125,1851.250,540175.557,358a06192fb892e4,e8d07e41c6a1a16d,10100,10000,10100,0,true,2,10928128
rust-lifecycle,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,version_publish,publish,100,4428958,44289.580,22578.674,1ba29dfcdbf1edec,d8f03a954d666c5f,10000,10000,10000,0,true,2,14286848
