records,density,locality,operation,relationship,runs,rust_median_ns,go_median_ns,rust_median_ns_per_op,go_median_ns_per_op,rust_cv_percent,go_cv_percent,rust_vs_go,winner,winner_consistent
10000,0,none,full_diff,compare,3,41,1917,41.0,1917.0,82.3106311481087,18.47803915994856,46.75609756097561,rust,True
10000,0,none,merge_noop,noop,3,292,55667,292.0,55667.0,26.941417928535238,12.182275405423177,190.6404109589041,rust,True
10000,0,none,patch_apply,compare,3,1000,333,1000.0,333.0,7.294695843436899,10.298155074764113,0.333,dolt-go,True
10000,0,none,patch_generate,compare,3,2291,2917,2291.0,2917.0,27.29289695497881,9.661556548048015,1.2732431252728067,rust,False
10000,0,none,range_diff,compare,3,500,2125,500.0,2125.0,22.767524843158185,2.4489576164018314,4.25,rust,True
10000,1,append,full_diff,compare,3,9542,22208,95.42,222.08,4.258590981691723,5.38925406526876,2.327394676168518,rust,True
10000,1,append,merge_conflict,conflict,3,280708,108792,2807.08,1087.92,4.9350788552663065,5.251865330536725,0.3875628767259928,dolt-go,True
10000,1,append,merge_convergent,convergent,3,125,17000,1.25,170.0,25.628761064839935,26.301882283251825,136.0,rust,True
10000,1,append,merge_disjoint,disjoint,3,355000,149834,1775.0,749.17,4.250369510829019,4.172148341951599,0.4220676056338028,dolt-go,True
10000,1,append,patch_apply,compare,3,545167,28417,5451.67,284.17,8.507624790391297,15.270639764062308,0.05212531206034114,dolt-go,True
10000,1,append,patch_generate,compare,3,15042,4334,150.42,43.34,16.557688547016614,1.1946177387836732,0.2881265789123787,dolt-go,True
10000,1,append,range_diff,compare,3,12125,25125,121.25,251.25,14.959867127542392,3.4425956210186612,2.0721649484536084,rust,True
10000,1,clustered,full_diff,compare,3,17875,29583,178.75,295.83,4.945498171960977,4.075779221368317,1.654993006993007,rust,True
10000,1,clustered,merge_conflict,conflict,3,316833,167209,3168.33,1672.09,2.583619713086461,67.2547990780358,0.5277512127840218,dolt-go,False
10000,1,clustered,merge_convergent,convergent,3,125,28833,1.25,288.33,56.568542494923804,74.02312288286646,230.664,rust,True
10000,1,clustered,merge_disjoint,disjoint,3,461917,179875,2309.585,899.375,2.6679914566623424,10.370834208021193,0.3894097857407283,dolt-go,True
10000,1,clustered,patch_apply,compare,3,425625,29791,4256.25,297.91,5.0007568768712325,11.7683154446581,0.0699935389133627,dolt-go,True
10000,1,clustered,patch_generate,compare,3,21083,4250,210.83,42.5,2.9135362442127835,31.329435011681166,0.201584214770194,dolt-go,True
10000,1,clustered,range_diff,compare,3,17875,32542,178.75,325.42,13.994059454312122,5.793771344202852,1.8205314685314686,rust,True
10000,1,random,full_diff,compare,3,185625,198875,1856.25,1988.75,0.26186916266589305,1.8538772609284684,1.0713804713804713,rust,True
10000,1,random,merge_conflict,conflict,3,4950750,1175083,49507.5,11750.83,2.96908217466471,12.082112132517572,0.23735454224107458,dolt-go,True
10000,1,random,merge_convergent,convergent,3,334,30583,3.34,305.83,23.24761990689898,26.25677491935474,91.56586826347305,rust,True
10000,1,random,merge_disjoint,disjoint,3,5487625,623708,27438.125,3118.54,3.5533330595107957,2.662680575445238,0.1136571832076718,dolt-go,True
10000,1,random,patch_apply,compare,3,3615208,7750,36152.08,77.5,1.0210588391618831,54.52445286404504,0.002143721744364363,dolt-go,True
10000,1,random,patch_generate,compare,3,194500,4833,1945.0,48.33,3.4492015460260013,50.98531055542824,0.02484832904884319,dolt-go,True
10000,1,random,range_diff,compare,3,22542,21542,2049.273,1958.364,3.0058804916222592,3.4642015802253923,0.9556383639428622,dolt-go,False
10000,30,append,full_diff,compare,3,182958,588083,60.986,196.028,72.67618645266292,3.1285496147961416,3.214306015588277,rust,False
10000,30,append,merge_conflict,conflict,3,3291375,2228333,1097.125,742.778,2.2173726048318536,14.743517495477617,0.6770219133340929,dolt-go,True
10000,30,append,merge_convergent,convergent,3,375,48709,0.125,16.236,5.348962735912998,9.403280855760093,129.89066666666668,rust,True
10000,30,append,merge_disjoint,disjoint,3,2400375,632708,400.062,105.451,6.177880939780864,45.2236362986494,0.2635871478414831,dolt-go,True
10000,30,append,patch_apply,compare,3,13570666,34333,4523.555,11.444,0.9447358242994033,6.781133234224798,0.0025299421561182037,dolt-go,True
10000,30,append,patch_generate,compare,3,216500,5958,72.167,1.986,1.3038381634127325,24.07987893291966,0.027519630484988452,dolt-go,True
10000,30,append,range_diff,compare,3,110125,277917,84.777,213.947,21.871209322243697,4.334230204089429,2.523650397275823,rust,True
10000,30,clustered,full_diff,compare,3,309333,820875,103.111,273.625,8.08636550041587,2.621852987600953,2.653693592342233,rust,True
10000,30,clustered,merge_conflict,conflict,3,3266416,2497875,1088.805,832.625,0.5357860052808434,4.9000148804352825,0.7647142923620261,dolt-go,True
10000,30,clustered,merge_convergent,convergent,3,83,15834,0.028,5.278,27.876325027546585,20.967707053936575,190.7710843373494,rust,True
10000,30,clustered,merge_disjoint,disjoint,3,2658167,2614916,443.028,435.819,0.890806225446271,4.525400424349173,0.9837290132636513,dolt-go,False
10000,30,clustered,patch_apply,compare,3,3026875,38583,1008.958,12.861,3.5779027288560776,5.4302295175274,0.012746809828618625,dolt-go,True
10000,30,clustered,patch_generate,compare,3,329542,6084,109.847,2.028,6.711274747834049,14.121542929668381,0.01846198663599784,dolt-go,True
10000,30,clustered,range_diff,compare,3,122291,351083,112.194,322.094,3.82137589467609,2.7590550417991575,2.8708817492701835,rust,True
10000,30,random,full_diff,compare,3,479958,1305417,159.986,435.139,6.81908206079058,72.37607205672884,2.719856737464528,rust,True
10000,30,random,merge_conflict,conflict,3,7449500,2911959,2483.167,970.653,1.1048254981124652,5.17953674193443,0.3908932143096852,dolt-go,True
10000,30,random,merge_convergent,convergent,3,250,313250,0.083,104.417,36.2248899319147,5.714685036175616,1253.0,rust,True
10000,30,random,merge_disjoint,disjoint,3,7331333,4976208,1221.889,829.368,14.340861893218445,6.950064110224359,0.6787589651158936,dolt-go,True
10000,30,random,patch_apply,compare,3,7395792,12458,2465.264,4.153,9.004777686877423,66.73671790739985,0.0016844713858907875,dolt-go,True
10000,30,random,patch_generate,compare,3,491333,8541,163.778,2.847,5.605750441080306,71.18842871165468,0.01738332251243047,dolt-go,True
10000,30,random,range_diff,compare,3,62500,140667,191.131,430.174,14.917219846993056,35.66520869346681,2.250672,rust,True
50000,0,none,full_diff,compare,3,83,1250,83.0,1250.0,28.08738779222808,60.35591969039563,15.060240963855422,rust,True
50000,0,none,merge_noop,noop,3,458,56459,458.0,56459.0,27.145250251218222,118.94763390028267,123.27292576419214,rust,True
50000,0,none,patch_apply,compare,3,1250,375,1250.0,375.0,9.432286033416961,13.36312106943006,0.3,dolt-go,True
50000,0,none,patch_generate,compare,3,2208,2959,2208.0,2959.0,5.659960555187668,34.58540482882678,1.3401268115942029,rust,True
50000,0,none,range_diff,compare,3,583,2083,583.0,2083.0,65.89040760277946,3.344489428083382,3.5728987993138936,rust,True
50000,1,append,full_diff,compare,3,34334,101500,68.668,203.0,6.939869887929008,4.724317809461857,2.956253276635405,rust,True
50000,1,append,merge_conflict,conflict,3,824666,342208,1649.332,684.416,12.704891127608576,74.49810596353454,0.4149655739414502,dolt-go,False
50000,1,append,merge_convergent,convergent,3,250,587792,0.5,1175.584,76.67251323462851,62.588838977784825,2351.168,rust,True
50000,1,append,merge_disjoint,disjoint,3,613042,176250,613.042,176.25,3.5928069621640906,17.503964723900268,0.28750069326408306,dolt-go,True
50000,1,append,patch_apply,compare,3,2554500,47416,5109.0,94.832,18.36751658755527,10.337416615316194,0.018561753767860636,dolt-go,True
50000,1,append,patch_generate,compare,3,41375,6000,82.75,12.0,2.004274685068049,19.406254135115848,0.14501510574018128,dolt-go,True
