records,density,locality,operation,relationship,runs,median_ns,median_ns_per_op,median_ops_per_sec,cv_percent,result_count
10000,0,none,head_resolve,read,3,8089250,808.925,1236208.548,0.4692982498005667,10000
10000,0,none,historical_point_read,read,3,432555291,4325.553,231184.318,13.616059765012665,100000
10000,0,none,historical_range_scan,read,3,5292791,176.426,5668087.026,2.862602882894823,30000
10000,0,none,retention_prune,prune,3,198459,1984.59,503882.414,4.684652028492678,11
10000,0,none,rollback,rollback,3,3135916,3135.916,318886.093,1.2710859288549892,1000
10000,0,none,snapshot_resolve,read,3,3612541,1806.271,553626.935,1.2786246262740086,2000
10000,0,none,version_list,read,3,9861250,986.125,1014070.224,6.44440284778992,10000
10000,1,append,version_publish,publish,3,185125,1851.25,540175.557,7.665259519060011,10100
10000,1,clustered,version_publish,publish,3,551750,5517.5,181241.504,3.229825132821261,10000
10000,1,random,version_publish,publish,3,4356375,43563.75,22954.865,1.7123644988732676,10000
10000,30,append,version_publish,publish,3,1286333,428.778,2332211.022,31.01370443257626,13000
10000,30,clustered,version_publish,publish,3,1897125,632.375,1581340.186,0.9242811957817803,10000
10000,30,random,version_publish,publish,3,5150750,1716.917,582439.451,18.117085396826482,10000
50000,0,none,head_resolve,read,3,8457917,845.792,1182324.206,1.975581849978171,10000
50000,0,none,historical_point_read,read,3,429987000,4299.87,232565.171,0.4434617430935629,100000
50000,0,none,historical_range_scan,read,3,25471583,169.811,5888915.502,3.509853164933356,150000
50000,0,none,retention_prune,prune,3,206458,2064.58,484360.015,3.778999296035548,11
50000,0,none,rollback,rollback,3,3162542,3162.542,316201.334,2.9279436603198907,1000
50000,0,none,snapshot_resolve,read,3,3704209,1852.104,539926.338,0.7893056509298686,2000
50000,0,none,version_list,read,3,9739625,973.962,1026733.575,0.691957723455086,10000
50000,1,append,version_publish,publish,3,450667,901.334,1109466.635,3.2227231791993085,50500
50000,1,clustered,version_publish,publish,3,855625,1711.25,584368.152,5.481661247844135,50000
50000,1,random,version_publish,publish,3,22402250,44804.5,22319.187,0.6366050573963348,50000
50000,30,append,version_publish,publish,3,6541541,436.103,2293037.68,10.145763039346702,65000
50000,30,clustered,version_publish,publish,3,13347333,889.822,1123820.017,3.8435838709794554,50000
50000,30,random,version_publish,publish,3,26739084,1782.606,560976.584,2.634466752287076,50000
1000000,0,none,head_resolve,read,3,9962750,996.275,1003738.928,0.16232120430278177,10000
1000000,0,none,historical_point_read,read,3,436288709,4362.887,229206.023,0.47635200336204697,100000
1000000,0,none,historical_range_scan,read,3,520460000,173.487,5764131.73,0.06571310931502687,3000000
1000000,0,none,retention_prune,prune,3,202750,2027.5,493218.249,4.333606109460763,11
1000000,0,none,rollback,rollback,3,3187292,3187.292,313745.964,3.202030288353133,1000
1000000,0,none,snapshot_resolve,read,3,4061375,2030.688,492444.061,5.003640597616674,2000
1000000,0,none,version_list,read,3,9877917,987.792,1012359.185,1.900477209114031,10000
1000000,1,append,version_publish,publish,3,4597834,459.783,2174937.155,3.417135383688553,1010000
1000000,1,clustered,version_publish,publish,3,11523208,1152.321,867813.893,2.9520584344584986,1000000
1000000,1,random,version_publish,publish,3,496921875,49692.188,20123.888,0.14681426725078894,1000000
1000000,30,append,version_publish,publish,3,127162333,423.874,2359189.179,0.870514944209802,1300000
1000000,30,clustered,version_publish,publish,3,259895083,866.317,1154311.95,0.6286631149108008,1000000
1000000,30,random,version_publish,publish,3,573315708,1911.052,523271.9,6.327892185818997,1000000
5000000,0,none,head_resolve,read,3,8095791,809.579,1235209.753,1.6728832724346165,10000
5000000,0,none,historical_point_read,read,3,437229792,4372.298,228712.686,1.3772239350309048,100000
5000000,0,none,historical_range_scan,read,3,2662238333,177.483,5634356.554,1.6632035290887879,15000000
5000000,0,none,retention_prune,prune,3,221458,2214.58,451552.89,3.5433834594732874,11
5000000,0,none,rollback,rollback,3,2870125,2870.125,348416.881,2.9689252031112923,1000
5000000,0,none,snapshot_resolve,read,3,3542959,1771.479,564499.9,1.7998486263621545,2000
5000000,0,none,version_list,read,3,9675750,967.575,1033511.614,0.8124779729302861,10000
5000000,1,append,version_publish,publish,3,22253750,445.075,2246812.335,2.5733633217072764,5050000
5000000,1,clustered,version_publish,publish,3,60128416,1202.568,831553.587,0.9583487887143941,5000000
5000000,1,random,version_publish,publish,3,1083365333,21667.307,46152.483,6.1519720423342825,5000000
5000000,30,append,version_publish,publish,3,634416000,422.944,2364379.209,2.3763126785056525,6500000
5000000,30,clustered,version_publish,publish,3,1350738167,900.492,1110503.898,2.8579036263952293,5000000
5000000,30,random,version_publish,publish,3,2632563916,1755.043,569786.736,0.5293594609664686,5000000
10000000,0,none,head_resolve,read,3,9917792,991.779,1008288.942,0.8067546673344256,10000
10000000,0,none,historical_point_read,read,3,438472959,4384.73,228064.235,0.35398603058007855,100000
10000000,0,none,historical_range_scan,read,3,5295324292,176.511,5665375.404,0.18422164379426137,30000000
10000000,0,none,retention_prune,prune,3,232375,2323.75,430338.892,37.18518160924154,11
10000000,0,none,rollback,rollback,3,2927667,2927.667,341568.901,1.3122847368486579,1000
10000000,0,none,snapshot_resolve,read,3,3889000,1944.5,514271.021,2.397915377996686,2000
10000000,0,none,version_list,read,3,10162084,1016.208,984050.122,1.8232709290107743,10000
10000000,1,append,version_publish,publish,3,43752959,437.53,2285559.704,1.2364554041300289,10100000
10000000,1,clustered,version_publish,publish,3,121403750,1214.037,823697.785,0.936335968736264,10000000
10000000,1,random,version_publish,publish,3,4323035958,43230.36,23131.892,7.071771056394774,10000000
10000000,30,append,version_publish,publish,3,1321259875,440.42,2270560.135,2.5482564191921973,13000000
10000000,30,clustered,version_publish,publish,3,2702963667,900.988,1109892.832,2.3301154367598533,10000000
10000000,30,random,version_publish,publish,3,5450081250,1816.694,550450.509,2.0356834944921296,10000000
