implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,full_diff,compare,1,83,83.000,12048192.771,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,1,342949888
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,range_diff,compare,1,750,750.000,1333333.333,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,1,342949888
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,patch_generate,compare,1,333,333.000,3003003.003,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,1,342949888
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,patch_apply,compare,1,375,375.000,2666666.667,0b31971718e3d385,56243da61f51239e,1000000,1000000,1000000,0,true,1,342949888
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,merge_noop,noop,1,417,417.000,2398081.535,0b31971718e3d385,56243da61f51239e,1000000,1000000,1000000,0,true,1,342949888
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,full_diff,compare,1,1458,1458.000,685871.056,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,1,549945344
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,range_diff,compare,1,2541,2541.000,393545.848,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,1,549945344
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,patch_generate,compare,1,4250,4250.000,235294.118,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,1,549945344
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,patch_apply,compare,1,500,500.000,2000000.000,0b31971718e3d385,56243da61f51239e,1000000,1000000,1000000,0,true,1,549945344
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,merge_noop,noop,1,45916,45916.000,21778.901,0b31971718e3d385,56243da61f51239e,1000000,1000000,1000000,0,true,1,549945344
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,append,full_diff,compare,10000,1603292,160.329,6237167.029,18ad88cafd0f1eb5,de2991d59c0c2e13,10000,1000000,1010000,0,true,1,364412928
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,append,range_diff,compare,10000,1634167,163.417,6119325.626,18ad88cafd0f1eb5,de2991d59c0c2e13,10000,1000000,1010000,0,true,1,364412928
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,append,patch_generate,compare,10000,541,0.054,18484288354.898,18ad88cafd0f1eb5,de2991d59c0c2e13,1,1000000,1010000,0,true,1,364412928
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,append,patch_apply,compare,10000,5042,0.504,1983339944.466,18ad88cafd0f1eb5,02bc567cb31a087e,1010000,1000000,1010000,0,true,1,364412928
