implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,append,version_publish,publish,10000,4584042,458.404,2181480.885,3df139fb8d3df9bd,02bc567cb31a087e,1010000,1000000,1010000,0,true,1,583155712
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,version_publish,publish,10000,491864792,49186.479,20330.790,d9f2bbaf3b909899,880c3d7c9c21aa69,1000000,1000000,1000000,0,true,1,894631936
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,version_publish,publish,10000,11419875,1141.987,875666.327,54d8b80156f4e2fd,1c0ae14b10c9ea65,1000000,1000000,1000000,0,true,1,587366400
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,version_publish,publish,300000,127125042,423.750,2359881.226,15ddc026d6b8f035,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,720175104
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,version_publish,publish,300000,576957333,1923.191,519969.126,7e56241e58dcd3b2,52861eca8735cd56,1000000,1000000,1000000,0,true,1,951877632
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,version_publish,publish,300000,260977375,869.925,1149524.935,20d7f5b1e5c7ae5f,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,848068608
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,head_resolve,read,10000,10133833,1013.383,986793.447,d6b5e332b4e24ed8,466dab8ab37bb980,10000,1000000,1000000,0,true,1,586022912
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,snapshot_resolve,read,2000,3902000,1951.000,512557.663,d6b5e332b4e24ed8,d47f2fa0f5ea0aa8,2000,1000000,1000000,0,true,1,586022912
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,historical_point_read,read,100000,436039750,4360.398,229336.890,d6b5e332b4e24ed8,d230e51be9725195,100000,1000000,1000000,0,true,1,586022912
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,historical_range_scan,read,3000000,522691333,174.230,5739525.052,d6b5e332b4e24ed8,1402cc673f83e35c,3000000,1000000,1000000,0,true,1,586022912
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,version_list,read,10000,9842083,984.208,1016045.079,d6b5e332b4e24ed8,c95a22f023b6b678,10000,1000000,1000000,0,true,1,586022912
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,rollback,rollback,1000,3654958,3654.958,273600.955,d6b5e332b4e24ed8,6d201652d2ce081c,1000,1000000,1000000,0,true,1,571473920
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,retention_prune,prune,100,202000,2020.000,495049.505,d6b5e332b4e24ed8,f13548435e014bff,11,100,11,0,true,1,571506688
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,append,version_publish,publish,10000,4577250,457.725,2184717.898,3df139fb8d3df9bd,02bc567cb31a087e,1010000,1000000,1010000,0,true,2,587661312
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,version_publish,publish,10000,495108292,49510.829,20197.602,d9f2bbaf3b909899,880c3d7c9c21aa69,1000000,1000000,1000000,0,true,2,916881408
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,version_publish,publish,10000,11520500,1152.050,868017.881,54d8b80156f4e2fd,1c0ae14b10c9ea65,1000000,1000000,1000000,0,true,2,592904192
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,version_publish,publish,300000,127145209,423.817,2359506.916,15ddc026d6b8f035,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,2,720912384
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,version_publish,publish,300000,568433375,1894.778,527766.337,7e56241e58dcd3b2,52861eca8735cd56,1000000,1000000,1000000,0,true,2,1035173888
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,version_publish,publish,300000,261359542,871.198,1147844.068,20d7f5b1e5c7ae5f,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,2,818708480
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,head_resolve,read,10000,9541916,954.192,1048007.549,d6b5e332b4e24ed8,466dab8ab37bb980,10000,1000000,1000000,0,true,2,590512128
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,snapshot_resolve,read,2000,3925041,1962.521,509548.817,d6b5e332b4e24ed8,d47f2fa0f5ea0aa8,2000,1000000,1000000,0,true,2,590512128
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,historical_point_read,read,100000,434612584,4346.126,230089.978,d6b5e332b4e24ed8,d230e51be9725195,100000,1000000,1000000,0,true,2,590512128
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,historical_range_scan,read,3000000,524767875,174.923,5716813.362,d6b5e332b4e24ed8,1402cc673f83e35c,3000000,1000000,1000000,0,true,2,590512128
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,version_list,read,10000,9514625,951.462,1051013.571,d6b5e332b4e24ed8,c95a22f023b6b678,10000,1000000,1000000,0,true,2,590512128
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,rollback,rollback,1000,3677417,3677.417,271929.999,d6b5e332b4e24ed8,6d201652d2ce081c,1000,1000000,1000000,0,true,2,571113472
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,retention_prune,prune,100,218458,2184.580,457753.893,d6b5e332b4e24ed8,f13548435e014bff,11,100,11,0,true,2,571080704
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,append,version_publish,publish,10000,4374958,437.496,2285736.229,3df139fb8d3df9bd,02bc567cb31a087e,1010000,1000000,1010000,0,true,3,588103680
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,random,version_publish,publish,10000,506567500,50656.750,19740.706,d9f2bbaf3b909899,880c3d7c9c21aa69,1000000,1000000,1000000,0,true,3,893239296
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,version_publish,publish,10000,11451791,1145.179,873225.856,54d8b80156f4e2fd,1c0ae14b10c9ea65,1000000,1000000,1000000,0,true,3,593149952
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,version_publish,publish,300000,129012083,430.040,2325363.586,15ddc026d6b8f035,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,3,758841344
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,version_publish,publish,300000,569805959,1899.353,526495.020,7e56241e58dcd3b2,52861eca8735cd56,1000000,1000000,1000000,0,true,3,952516608
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,version_publish,publish,300000,262556166,875.187,1142612.663,20d7f5b1e5c7ae5f,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,3,788054016
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,head_resolve,read,10000,9886000,988.600,1011531.459,d6b5e332b4e24ed8,466dab8ab37bb980,10000,1000000,1000000,0,true,3,584171520
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,snapshot_resolve,read,2000,3902458,1951.229,512497.508,d6b5e332b4e24ed8,d47f2fa0f5ea0aa8,2000,1000000,1000000,0,true,3,584171520
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,historical_point_read,read,100000,433850375,4338.504,230494.211,d6b5e332b4e24ed8,d230e51be9725195,100000,1000000,1000000,0,true,3,584171520
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,historical_range_scan,read,3000000,518875375,172.958,5781735.161,d6b5e332b4e24ed8,1402cc673f83e35c,3000000,1000000,1000000,0,true,3,584171520
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,version_list,read,10000,9818042,981.804,1018533.023,d6b5e332b4e24ed8,c95a22f023b6b678,10000,1000000,1000000,0,true,3,584171520
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,rollback,rollback,1000,3795583,3795.583,263464.137,d6b5e332b4e24ed8,6d201652d2ce081c,1000,1000000,1000000,0,true,3,571588608
rust-lifecycle,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,retention_prune,prune,100,212375,2123.750,470865.215,d6b5e332b4e24ed8,f13548435e014bff,11,100,11,0,true,3,566591488
