implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,full_diff,compare,300000,17469500,58.232,17172786.857,a01bb8658abf9252,455045c6a9e6e6bb,300000,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,range_diff,compare,129999,9464584,72.805,13735310.501,a01bb8658abf9252,5319ad9b0b1871fd,129999,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,patch_generate,compare,300000,625,0.002,480000000000.000,a01bb8658abf9252,455045c6a9e6e6bb,1,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,patch_apply,compare,300000,3792,0.013,79113924050.633,a01bb8658abf9252,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_disjoint,disjoint,600000,201584,0.336,2976426700.532,0c87257f77c523ff,1c05b4e58c497604,1600000,1000000,1600000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_convergent,convergent,300000,208,0.001,1442307692307.692,5515de15f91a0423,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,582123520
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,append,merge_conflict,conflict,300000,12562792,41.876,23880041.952,be0eb92f59351401,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,1,582123520
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,full_diff,compare,300000,74117625,247.059,4047620.252,a01bb8658abf9252,455045c6a9e6e6bb,300000,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,range_diff,compare,129999,27534666,211.807,4721284.798,a01bb8658abf9252,5319ad9b0b1871fd,129999,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,patch_generate,compare,300000,15042,0.050,19944156362.186,a01bb8658abf9252,455045c6a9e6e6bb,2,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,patch_apply,compare,300000,89250,0.297,3361344537.815,a01bb8658abf9252,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_disjoint,disjoint,600000,574500,0.958,1044386422.977,0c87257f77c523ff,1c05b4e58c497604,1600000,1000000,1600000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_convergent,convergent,300000,73666,0.246,4072435044.661,5515de15f91a0423,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,686260224
dolt-go,6b2372c7d4de+runner.41407de9560c,prolly-version-compare-v3,1000000,30,append,merge_conflict,conflict,300000,165295292,550.984,1814933.725,be0eb92f59351401,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,1,686260224
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,full_diff,compare,300000,34051959,113.507,8810065.817,b8581c4db720b358,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,range_diff,compare,33000,3921042,118.819,8416130.202,b8581c4db720b358,d55eb157d861d079,33000,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_generate,compare,300000,875,0.003,342857142857.143,b8581c4db720b358,9859f2ba1e7c81aa,1,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,patch_apply,compare,300000,3166,0.011,94756790903.348,b8581c4db720b358,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,809091072
rust,22cac37b5969+src.48720d426093,prolly-version-compare-v3,1000000,30,clustered,merge_disjoint,disjoint,600000,20923333,34.872,28676119.622,897a3fbe27f9f716,8e22fd33ee81d821,1000000,1000000,1000000,0,true,1,809091072
