prolly proximity benchmark
schema_version=2
revision=430a744df2832f5a1d5bc927e33e1f9c4cfe0d1a
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=100000
profile=quantizers
search_repeats=30
metric=InnerProduct
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,12482231.167,100000,0
source_closure_bytes,768,0,0.000,891108381,95114
turboquant_build,768,1,1368685.708,76800000,39200000
turboquant_build_resources,768,1,0.000,1864126,1228800000
turboquant_build,768,2,897519.291,76800000,39200000
turboquant_build_resources,768,2,0.000,1864126,1228800000
turboquant_build,768,4,679050.333,76800000,39200000
turboquant_build_resources,768,4,0.000,1864126,1228800000
turboquant_sidecar_bytes,768,0,0.000,39757465,39200000
turboquant_manifest_code_bytes,768,0,0.000,137,39757328
turboquant_search_scalar,768,0,147554.958,100000,80
turboquant_search_scalar_p95,768,0,153081.417,39447120,97936602
turboquant_search_scalar_p99,768,0,153299.459,80,59029599
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_search_scalar_io,768,0,0.000,100080,741
turboquant_search_scalar_rerank,768,0,0.000,80,39447120
turboquant_recall,768,0,0,0.000000,0.009427194832500568
turboquant_search_simd,768,0,164262.375,100000,80
turboquant_search_simd_p95,768,0,170387.667,39447120,97936602
turboquant_search_simd_p99,768,0,170439.500,80,59029599
turboquant_search_simd_work,768,0,0.000,80,1
turboquant_search_simd_io,768,0,0.000,100080,741
turboquant_search_simd_rerank,768,0,0.000,80,39447120
turboquant_search_auto,768,0,146854.875,100000,80
turboquant_search_auto_p95,768,0,349700.334,39447120,97936602
turboquant_search_auto_p99,768,0,589580.416,80,59029599
turboquant_search_auto_work,768,0,0.000,80,1
turboquant_search_auto_io,768,0,0.000,100080,741
turboquant_search_auto_rerank,768,0,0.000,80,39447120
pq_build,768,1,6866202.875,33554432,100000
pq_build,768,2,4325392.500,33554432,100000
pq_build,768,4,2835526.667,33554432,100000
pq_sidecar_bytes,768,0,0.000,1306641,100000
pq_manifest_code_bytes,768,0,0.000,49313,1257328
pq_search,768,0,13248.708,100000,80
pq_search_p95,768,0,16369.083,1047120,0
pq_search_p99,768,0,17634.708,80,24250155
pq_search_work,768,0,0.000,80,1
pq_search_io,768,0,0.000,100080,0
pq_search_rerank,768,0,0.000,80,1047120
pq_recall,768,0,0,0.200000,0
