prolly proximity benchmark
schema_version=2
revision=430a744df2832f5a1d5bc927e33e1f9c4cfe0d1a
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=100000
profile=quantizers
search_repeats=30
metric=L2Squared
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,10428258.000,100000,0
source_closure_bytes,768,0,0.000,889809682,94426
turboquant_build,768,1,1339400.583,76800000,39200000
turboquant_build_resources,768,1,0.000,1864126,1228800000
turboquant_build,768,2,884398.125,76800000,39200000
turboquant_build_resources,768,2,0.000,1864126,1228800000
turboquant_build,768,4,652178.583,76800000,39200000
turboquant_build_resources,768,4,0.000,1864126,1228800000
turboquant_sidecar_bytes,768,0,0.000,39757465,39200000
turboquant_manifest_code_bytes,768,0,0.000,137,39757328
turboquant_search_scalar,768,0,149835.334,100000,80
turboquant_search_scalar_p95,768,0,156191.667,39447120,101244209
turboquant_search_scalar_p99,768,0,156963.708,80,62387449
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_search_scalar_io,768,0,0.000,100080,741
turboquant_search_scalar_rerank,768,0,0.000,80,39447120
turboquant_recall,768,0,0,0.000000,0.009427194832500568
turboquant_search_simd,768,0,167233.417,100000,80
turboquant_search_simd_p95,768,0,174248.750,39447120,101244209
turboquant_search_simd_p99,768,0,176214.084,80,62387449
turboquant_search_simd_work,768,0,0.000,80,1
turboquant_search_simd_io,768,0,0.000,100080,741
turboquant_search_simd_rerank,768,0,0.000,80,39447120
turboquant_search_auto,768,0,172725.666,100000,80
turboquant_search_auto_p95,768,0,227178.083,39447120,101244209
turboquant_search_auto_p99,768,0,234677.667,80,62387449
turboquant_search_auto_work,768,0,0.000,80,1
turboquant_search_auto_io,768,0,0.000,100080,741
turboquant_search_auto_rerank,768,0,0.000,80,39447120
pq_build,768,1,7099980.084,33554432,100000
pq_build,768,2,4392831.416,33554432,100000
pq_build,768,4,3726735.167,33554432,100000
pq_sidecar_bytes,768,0,0.000,1306641,100000
pq_manifest_code_bytes,768,0,0.000,49313,1257328
pq_search,768,0,13000.125,100000,80
pq_search_p95,768,0,19097.333,1047120,0
pq_search_p99,768,0,19125.666,80,24250155
pq_search_work,768,0,0.000,80,1
pq_search_io,768,0,0.000,100080,0
pq_search_rerank,768,0,0.000,80,1047120
pq_recall,768,0,0,0.100000,0
