prolly proximity benchmark
schema_version=2
revision=915bbbaa55f8f6ab8fde12a68ad57fb924ebce2c
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=10000
profile=quantizers
search_repeats=30
metric=InnerProduct
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,859434.917,10000,0
source_closure_bytes,768,0,0.000,90568013,10176
turboquant_build,768,1,138192.125,7680000,3920000
turboquant_build_resources,768,1,0.000,1709751,122880000
turboquant_build,768,2,79670.833,7680000,3920000
turboquant_build_resources,768,2,0.000,1709751,122880000
turboquant_build,768,4,54277.375,7680000,3920000
turboquant_build_resources,768,4,0.000,1709751,122880000
turboquant_sidecar_bytes,768,0,0.000,3975264,3920000
turboquant_manifest_code_bytes,768,0,0.000,136,3975128
turboquant_search_scalar,768,0,9982.750,10000,80
turboquant_search_scalar_p95,768,0,10693.750,4167120,0
turboquant_search_scalar_p99,768,0,10901.791,80,28503358
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_search_scalar_io,768,0,0.000,10080,0
turboquant_search_scalar_rerank,768,0,0.000,80,4167120
turboquant_recall,768,0,0,1.000000,0.00942432544887716
turboquant_search_simd,768,0,12370.625,10000,80
turboquant_search_simd_p95,768,0,13124.833,4167120,0
turboquant_search_simd_p99,768,0,13260.375,80,28503358
turboquant_search_simd_work,768,0,0.000,80,1
turboquant_search_simd_io,768,0,0.000,10080,0
turboquant_search_simd_rerank,768,0,0.000,80,4167120
turboquant_search_auto,768,0,10204.833,10000,80
turboquant_search_auto_p95,768,0,11001.292,4167120,0
turboquant_search_auto_p99,768,0,11257.375,80,28503358
turboquant_search_auto_work,768,0,0.000,80,1
turboquant_search_auto_io,768,0,0.000,10080,0
turboquant_search_auto_rerank,768,0,0.000,80,4167120
pq_build,768,1,455489.459,5120000,10000
pq_build,768,2,315860.208,5120000,10000
pq_build,768,4,226912.542,5120000,10000
pq_sidecar_bytes,768,0,0.000,174439,10000
pq_manifest_code_bytes,768,0,0.000,49311,125128
pq_search,768,0,1533.084,10000,80
pq_search_p95,768,0,1968.167,327120,0
pq_search_p99,768,0,2145.166,80,19861880
pq_search_work,768,0,0.000,80,1
pq_search_io,768,0,0.000,10080,0
pq_search_rerank,768,0,0.000,80,327120
pq_recall,768,0,0,0.400000,0
