prolly proximity benchmark
schema_version=2
revision=92be88dc3933259f4d75dffce91645a7ce67afb9
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=10000
profile=quantizers
search_repeats=30
metric=L2Squared
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,752086.625,10000,0
source_closure_bytes,768,0,0.000,90558970,10171
turboquant_build,768,1,134577.167,7680000,3920000
turboquant_build_resources,768,1,0.000,478720,122880000
turboquant_build,768,2,71899.125,7680000,3920000
turboquant_build_resources,768,2,0.000,478720,122880000
turboquant_build,768,4,54231.250,7680000,3920000
turboquant_build_resources,768,4,0.000,478720,122880000
turboquant_sidecar_bytes,768,0,0.000,3975264,3920000
turboquant_manifest_code_bytes,768,0,0.000,136,3975128
turboquant_search_scalar,768,0,22544.125,10000,80
turboquant_search_scalar_p95,768,0,25392.333,4167120,0
turboquant_search_scalar_p99,768,0,26361.250,80,28503358
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_search_scalar_io,768,0,0.000,10080,0
turboquant_search_scalar_rerank,768,0,0.000,80,4167120
turboquant_recall,768,0,0,1.000000,0.00942432544887716
turboquant_search_simd,768,0,24117.917,10000,80
turboquant_search_simd_p95,768,0,25543.625,4167120,0
turboquant_search_simd_p99,768,0,25651.625,80,28503358
turboquant_search_simd_work,768,0,0.000,80,1
turboquant_search_simd_io,768,0,0.000,10080,0
turboquant_search_simd_rerank,768,0,0.000,80,4167120
turboquant_search_auto,768,0,22489.166,10000,80
turboquant_search_auto_p95,768,0,23566.625,4167120,0
turboquant_search_auto_p99,768,0,23663.334,80,28503358
turboquant_search_auto_work,768,0,0.000,80,1
turboquant_search_auto_io,768,0,0.000,10080,0
turboquant_search_auto_rerank,768,0,0.000,80,4167120
pq_build,768,1,425243.459,5120000,10000
pq_build,768,2,287599.334,5120000,10000
pq_build,768,4,219576.375,5120000,10000
pq_sidecar_bytes,768,0,0.000,174439,10000
pq_manifest_code_bytes,768,0,0.000,49311,125128
pq_search,768,0,8236.750,10000,80
pq_search_p95,768,0,8966.542,327120,0
pq_search_p99,768,0,9216.333,80,15919739
pq_search_work,768,0,0.000,80,1
pq_search_io,768,0,0.000,10080,0
pq_search_rerank,768,0,0.000,80,327120
pq_recall,768,0,0,0.600000,0
