prolly proximity benchmark
revision=60dfaa72e78ef743714dd14fa9c7d665c3429a9f
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
store=memory
records=1000
profile=complete
search_repeats=30
metric=Cosine
k=10
eligibility_ppm=1000000
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
operation,dimensions,threads,micros,metric_a,metric_b
build,128,2,19720.000,4975,196
source_closure_bytes,128,0,0.000,1310732,205
search_exact_scalar,128,0,258.137,98,1000
recall_exact,128,0,0,1.000000,0
search_exact_simd,128,0,251.126,98,1000
search_adaptive_sq8,128,0,23.774,4,56
localized_mutation,128,0,15662.667,31,130
content_graph_copy,128,0,1575.000,205,1310732
content_graph_gc_plan,128,0,1448.541,205,0
search_proof_generate,128,0,1508.583,1296,205
search_proof_verify,128,0,6525.250,1296,10
turboquant_build,128,2,3032.750,128000,72000
turboquant_build_resources,128,2,0.000,82176,1792000
turboquant_sidecar_bytes,128,0,0.000,76699,72000
turboquant_manifest_code_bytes,128,0,0.000,136,76563
turboquant_search_scalar,128,0,267.084,1000,80
turboquant_search_scalar_p95,128,0,296.458,114320,0
turboquant_search_scalar_p99,128,0,367.667,80,510912
turboquant_search_scalar_work,128,0,0.000,80,1
turboquant_recall,128,0,0,1.000000,0.009084863929752423
turboquant_search_simd,128,0,277.042,1000,80
turboquant_search_simd_p95,128,0,303.042,114320,0
turboquant_search_simd_p99,128,0,420.917,80,510912
turboquant_search_simd_work,128,0,0.000,80,1
pq_build,128,2,3720.666,512000,1000
pq_sidecar_bytes,128,0,0.000,20914,1000
pq_manifest_code_bytes,128,0,0.000,8351,12563
pq_search,128,0,139.208,80,80
pq_search_p95,128,0,166.959,50320,0
pq_search_p99,128,0,219.542,80,510912
