prolly proximity benchmark
revision=d73477244539e21139003d4ca38a5c1f64528f9c
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
store=memory
records=1000
profile=complete
search_repeats=30
metric=InnerProduct
k=10
eligibility_ppm=1000000
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
operation,dimensions,threads,micros,metric_a,metric_b
build,128,2,19901.291,4975,196
source_closure_bytes,128,0,0.000,1310732,205
search_exact_scalar,128,0,301.600,98,1000
recall_exact,128,0,0,1.000000,0
search_exact_simd,128,0,303.571,98,1000
search_adaptive_sq8,128,0,26.828,4,56
localized_mutation,128,0,17652.125,31,130
content_graph_copy,128,0,1747.500,205,1310732
content_graph_gc_plan,128,0,1825.792,205,0
search_proof_generate,128,0,1743.459,1296,205
search_proof_verify,128,0,7279.125,1296,10
turboquant_build,128,2,4310.667,128000,72000
turboquant_build_resources,128,2,0.000,82176,1792000
turboquant_sidecar_bytes,128,0,0.000,76699,72000
turboquant_manifest_code_bytes,128,0,0.000,136,76563
turboquant_search_scalar,128,0,379.666,1000,80
turboquant_search_scalar_p95,128,0,674.958,114320,0
turboquant_search_scalar_p99,128,0,755.584,80,510912
turboquant_search_scalar_work,128,0,0.000,80,1
turboquant_recall,128,0,0,1.000000,0.009084863923947771
turboquant_search_simd,128,0,392.875,1000,80
turboquant_search_simd_p95,128,0,417.083,114320,0
turboquant_search_simd_p99,128,0,428.625,80,510912
turboquant_search_simd_work,128,0,0.000,80,1
pq_build,128,2,6166.125,512000,1000
pq_sidecar_bytes,128,0,0.000,20914,1000
pq_manifest_code_bytes,128,0,0.000,8351,12563
pq_search,128,0,147.667,80,80
pq_search_p95,128,0,157.958,50320,0
pq_search_p99,128,0,241.209,80,510912
pq_search_work,128,0,0.000,80,1
pq_recall,128,0,0,1.000000,0
hnsw_build,128,0,137224.458,935292,17170
hnsw_search,128,0,953.375,186,205
composite_build,128,0,552.292,1,854
composite_search,128,0,2488.333,315,337
async_search,128,0,1517.000,98,1000
build,200,2,23037.375,4975,266
source_closure_bytes,200,0,0.000,2035953,275
search_exact_scalar,200,0,434.821,133,1000
recall_exact,200,0,0,1.000000,0
search_exact_simd,200,0,369.621,133,1000
search_adaptive_sq8,200,0,34.856,4,62
localized_mutation,200,0,21312.958,10,209
content_graph_copy,200,0,2257.958,275,2035953
content_graph_gc_plan,200,0,2655.333,275,0
search_proof_generate,200,0,2798.000,1401,275
search_proof_verify,200,0,10047.250,1401,10
turboquant_build,200,2,4968.792,200000,108000
turboquant_build_resources,200,2,0.000,126744,1200000
turboquant_sidecar_bytes,200,0,0.000,112699,108000
turboquant_manifest_code_bytes,200,0,0.000,136,112563
turboquant_search_scalar,200,0,512.375,1000,80
turboquant_search_scalar_p95,200,0,618.208,173360,0
turboquant_search_scalar_p99,200,0,632.125,80,764064
turboquant_search_scalar_work,200,0,0.000,80,1
turboquant_recall,200,0,0,1.000000,0.009287068601969777
turboquant_search_simd,200,0,527.500,1000,80
turboquant_search_simd_p95,200,0,573.541,173360,0
turboquant_search_simd_p99,200,0,575.584,80,764064
turboquant_search_simd_work,200,0,0.000,80,1
pq_build,200,2,11685.291,512000,1000
pq_sidecar_bytes,200,0,0.000,25522,1000
pq_manifest_code_bytes,200,0,0.000,12959,12563
pq_search,200,0,162.125,80,80
pq_search_p95,200,0,184.541,73360,0
pq_search_p99,200,0,245.541,80,764064
pq_search_work,200,0,0.000,80,1
pq_recall,200,0,0,1.000000,0
hnsw_build,200,0,189811.958,941789,17170
hnsw_search,200,0,1094.125,189,208
composite_build,200,0,816.709,1,1142
composite_search,200,0,3379.625,347,368
async_search,200,0,2153.083,133,1000
build,768,2,83142.042,4975,984
source_closure_bytes,768,0,0.000,8997674,993
search_exact_scalar,768,0,1320.801,492,1000
recall_exact,768,0,0,1.000000,0
search_exact_simd,768,0,1001.775,492,1000
search_adaptive_sq8,768,0,77.333,13,47
localized_mutation,768,0,66788.833,15,726
content_graph_copy,768,0,11948.208,993,8997674
content_graph_gc_plan,768,0,8799.708,993,0
search_proof_generate,768,0,8987.083,2478,993
search_proof_verify,768,0,46344.084,2478,10
turboquant_build,768,2,19201.875,768000,392000
turboquant_build_resources,768,2,0.000,478336,12288000
turboquant_sidecar_bytes,768,0,0.000,397699,392000
turboquant_manifest_code_bytes,768,0,0.000,136,397563
turboquant_search_scalar,768,0,1674.709,1000,80
turboquant_search_scalar_p95,768,0,2257.209,639120,0
turboquant_search_scalar_p99,768,0,2313.958,80,2761152
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_recall,768,0,0,1.000000,0.009398999273620362
turboquant_search_simd,768,0,1760.334,1000,80
