prolly proximity benchmark
revision=71aae3d6d3dd0df11b92959a1579188117d8e079
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
store=memory
records=1000
profile=complete
search_repeats=30
metric=L2Squared
k=10
eligibility_ppm=1000000
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
operation,dimensions,threads,micros,metric_a,metric_b
build,128,2,22825.291,4975,196
source_closure_bytes,128,0,0.000,1310732,205
search_exact_scalar,128,0,161.558,42,434
recall_exact,128,0,0,1.000000,0
search_exact_simd,128,0,121.149,42,434
search_adaptive_sq8,128,0,24.479,4,56
localized_mutation,128,0,16346.000,31,130
content_graph_copy,128,0,1432.583,205,1310732
content_graph_gc_plan,128,0,1250.583,205,0
search_proof_generate,128,0,2004.416,560,205
search_proof_verify,128,0,7306.542,560,10
turboquant_build,128,2,2904.042,128000,72000
turboquant_build_resources,128,2,0.000,82176,1792000
turboquant_sidecar_bytes,128,0,0.000,76699,72000
turboquant_manifest_code_bytes,128,0,0.000,136,76563
turboquant_search_scalar,128,0,282.917,1000,80
turboquant_search_scalar_p95,128,0,299.875,114320,0
turboquant_search_scalar_p99,128,0,397.042,80,510912
turboquant_search_scalar_work,128,0,0.000,80,1
turboquant_recall,128,0,0,1.000000,0.009084863923947771
turboquant_search_simd,128,0,286.333,1000,80
turboquant_search_simd_p95,128,0,301.291,114320,0
turboquant_search_simd_p99,128,0,333.625,80,510912
turboquant_search_simd_work,128,0,0.000,80,1
turboquant_search_auto,128,0,274.958,1000,80
turboquant_search_auto_p95,128,0,283.917,114320,0
turboquant_search_auto_p99,128,0,288.250,80,510912
turboquant_search_auto_work,128,0,0.000,80,1
pq_build,128,2,3871.333,512000,1000
pq_sidecar_bytes,128,0,0.000,20914,1000
pq_manifest_code_bytes,128,0,0.000,8351,12563
pq_search,128,0,147.625,80,80
pq_search_p95,128,0,151.375,50320,0
pq_search_p99,128,0,212.959,80,510912
pq_search_work,128,0,0.000,80,1
pq_recall,128,0,0,1.000000,0
hnsw_build,128,0,129759.250,905481,17170
hnsw_search,128,0,763.833,194,212
composite_build,128,0,438.458,1,854
composite_search,128,0,2129.000,355,373
async_search,128,0,1007.708,42,434
build,200,2,22677.959,4975,266
source_closure_bytes,200,0,0.000,2035953,275
search_exact_scalar,200,0,156.063,45,381
recall_exact,200,0,0,1.000000,0
search_exact_simd,200,0,146.582,45,381
search_adaptive_sq8,200,0,43.478,7,85
localized_mutation,200,0,19759.708,7,212
content_graph_copy,200,0,1950.250,275,2035953
content_graph_gc_plan,200,0,2123.375,275,0
search_proof_generate,200,0,2711.291,516,275
search_proof_verify,200,0,9375.583,516,10
turboquant_build,200,2,4175.958,200000,108000
turboquant_build_resources,200,2,0.000,126744,1200000
turboquant_sidecar_bytes,200,0,0.000,112699,108000
turboquant_manifest_code_bytes,200,0,0.000,136,112563
turboquant_search_scalar,200,0,370.125,1000,80
turboquant_search_scalar_p95,200,0,401.375,173360,0
turboquant_search_scalar_p99,200,0,497.458,80,764064
turboquant_search_scalar_work,200,0,0.000,80,1
turboquant_recall,200,0,0,1.000000,0.009287068601969777
turboquant_search_simd,200,0,380.416,1000,80
turboquant_search_simd_p95,200,0,392.292,173360,0
turboquant_search_simd_p99,200,0,467.000,80,764064
turboquant_search_simd_work,200,0,0.000,80,1
turboquant_search_auto,200,0,347.625,1000,80
turboquant_search_auto_p95,200,0,383.958,173360,0
turboquant_search_auto_p99,200,0,413.833,80,764064
turboquant_search_auto_work,200,0,0.000,80,1
pq_build,200,2,5702.667,512000,1000
pq_sidecar_bytes,200,0,0.000,25522,1000
pq_manifest_code_bytes,200,0,0.000,12959,12563
pq_search,200,0,152.292,80,80
pq_search_p95,200,0,165.333,73360,0
pq_search_p99,200,0,215.125,80,764064
pq_search_work,200,0,0.000,80,1
pq_recall,200,0,0,1.000000,0
hnsw_build,200,0,178412.834,913579,17170
hnsw_search,200,0,917.834,197,217
composite_build,200,0,635.708,1,1142
composite_search,200,0,2869.458,350,373
async_search,200,0,1430.292,45,381
build,768,2,75232.584,4975,978
source_closure_bytes,768,0,0.000,8985425,987
search_exact_scalar,768,0,377.140,119,275
recall_exact,768,0,0,1.000000,0
search_exact_simd,768,0,303.368,119,275
search_adaptive_sq8,768,0,74.288,13,46
localized_mutation,768,0,64090.208,15,722
content_graph_copy,768,0,9243.292,987,8985425
content_graph_gc_plan,768,0,8253.750,987,0
search_proof_generate,768,0,9702.708,632,987
search_proof_verify,768,0,39503.375,632,10
turboquant_build,768,2,15636.708,768000,392000
turboquant_build_resources,768,2,0.000,478336,12288000
turboquant_sidecar_bytes,768,0,0.000,397699,392000
turboquant_manifest_code_bytes,768,0,0.000,136,397563
turboquant_search_scalar,768,0,1017.250,1000,80
turboquant_search_scalar_p95,768,0,1122.209,639120,0
turboquant_search_scalar_p99,768,0,1329.000,80,2761152
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_recall,768,0,0,1.000000,0.009398999273620362
turboquant_search_simd,768,0,1110.875,1000,80
turboquant_search_simd_p95,768,0,1174.583,639120,0
turboquant_search_simd_p99,768,0,1179.875,80,2761152
turboquant_search_simd_work,768,0,0.000,80,1
turboquant_search_auto,768,0,1052.833,1000,80
turboquant_search_auto_p95,768,0,1103.458,639120,0
turboquant_search_auto_p99,768,0,1273.417,80,2761152
turboquant_search_auto_work,768,0,0.000,80,1
pq_build,768,2,27193.916,512000,1000
pq_sidecar_bytes,768,0,0.000,61874,1000
pq_manifest_code_bytes,768,0,0.000,49311,12563
pq_search,768,0,223.458,80,80
pq_search_p95,768,0,269.750,255120,0
pq_search_p99,768,0,351.916,80,2761152
pq_search_work,768,0,0.000,80,1
pq_recall,768,0,0,1.000000,0
hnsw_build,768,0,650496.750,906724,17170
hnsw_search,768,0,2103.333,193,212
composite_build,768,0,2297.792,1,3414
composite_search,768,0,7993.625,353,373
async_search,768,0,4023.584,119,275
build,1536,2,50782.875,4975,1012
source_closure_bytes,1536,0,0.000,13955558,1021
search_exact_scalar,1536,0,1379.529,3,735
recall_exact,1536,0,0,1.000000,0
search_exact_simd,1536,0,1093.810,3,735
search_adaptive_sq8,1536,0,1636.054,6,1005
localized_mutation,1536,0,48509.833,6,738
content_graph_copy,1536,0,13030.708,1021,13955558
content_graph_gc_plan,1536,0,12532.833,1021,0
search_proof_generate,1536,0,15476.709,746,1021
search_proof_verify,1536,0,63478.291,746,10
turboquant_build,1536,2,31542.250,1536000,776000
turboquant_build_resources,1536,2,0.000,953728,27648000
turboquant_sidecar_bytes,1536,0,0.000,781699,776000
turboquant_manifest_code_bytes,1536,0,0.000,136,781563
