prolly proximity benchmark
schema_version=3
dataset=linear-mod-2000003-v2
revision=8966204c11d3bf73173ea2f1354002344582d5b2
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=100000
profile=quantizers
search_repeats=30
metric=InnerProduct
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=16
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,13274752.583,100000,0
source_closure_bytes,768,0,0.000,910057491,103980
turboquant_build,768,1,1405765.750,76800000,39200000
turboquant_build_resources,768,1,0.000,1864126,1228800000
turboquant_build,768,2,954574.792,76800000,39200000
turboquant_build_resources,768,2,0.000,1864126,1228800000
turboquant_build,768,4,768520.000,76800000,39200000
turboquant_build_resources,768,4,0.000,1864126,1228800000
turboquant_sidecar_bytes,768,0,0.000,39757465,39200000
turboquant_manifest_code_bytes,768,0,0.000,137,39757328
turboquant_search_scalar,768,0,125424.833,100000,160
turboquant_search_scalar_p95,768,0,141590.958,39694240,41226208
turboquant_search_scalar_p99,768,0,167723.333,160,1476461
turboquant_search_scalar_work,768,0,0.000,160,1
turboquant_search_scalar_io,768,0,0.000,100160,664
turboquant_search_scalar_rerank,768,0,0.000,160,39694240
turboquant_recall,768,0,0,0.000000,0.009057112352759421
turboquant_search_simd,768,0,150471.917,100000,160
turboquant_search_simd_p95,768,0,180373.125,39694240,41226208
turboquant_search_simd_p99,768,0,204420.208,160,1476461
turboquant_search_simd_work,768,0,0.000,160,1
turboquant_search_simd_io,768,0,0.000,100160,664
turboquant_search_simd_rerank,768,0,0.000,160,39694240
turboquant_search_auto,768,0,143717.792,100000,160
turboquant_search_auto_p95,768,0,164554.750,39694240,41226208
turboquant_search_auto_p99,768,0,176327.500,160,1476461
turboquant_search_auto_work,768,0,0.000,160,1
turboquant_search_auto_io,768,0,0.000,100160,664
turboquant_search_auto_rerank,768,0,0.000,160,39694240
pq_build,768,1,4931332.458,33554432,100000
pq_build,768,2,2957796.625,33554432,100000
pq_build,768,4,2824141.209,33554432,100000
pq_sidecar_bytes,768,0,0.000,1306641,100000
pq_manifest_code_bytes,768,0,0.000,49313,1257328
pq_search,768,0,13337.125,100000,160
pq_search_p95,768,0,15508.833,1294240,0
pq_search_p99,768,0,16205.209,160,1099458
pq_search_work,768,0,0.000,160,1
pq_search_io,768,0,0.000,100160,0
pq_search_rerank,768,0,0.000,160,1294240
pq_recall,768,0,0,0.000000,0
