prolly proximity benchmark
schema_version=4
dataset=linear-mod-2000003-v2
revision=729c2ffac8835db9c99d7706746c321067abfa1d
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=10000
profile=quantizers
search_repeats=30
metric=L2Squared
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,982388.667,10000,0
source_closure_bytes,768,0,0.000,90601244,10190
turboquant_build,768,1,170179.167,7680000,3920000
turboquant_build_resources,768,1,0.000,1709751,122880000
turboquant_build,768,2,108131.000,7680000,3920000
turboquant_build_resources,768,2,0.000,1709751,122880000
turboquant_build,768,4,75654.709,7680000,3920000
turboquant_build_resources,768,4,0.000,1709751,122880000
turboquant_sidecar_bytes,768,0,0.000,3975264,3920000
turboquant_manifest_code_bytes,768,0,0.000,136,3975128
turboquant_search_scalar,768,0,9491.000,10000,80
turboquant_search_scalar_p95,768,0,12569.875,4167120,0
turboquant_search_scalar_p99,768,0,19783.958,80,2198801
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_search_scalar_io,768,0,0.000,10080,0
turboquant_search_scalar_rerank,768,0,0.000,80,4167120
turboquant_recall,768,0,0,1.000000,0.00958443061248919
turboquant_search_simd,768,0,15023.750,10000,80
turboquant_search_simd_p95,768,0,16036.625,4167120,0
turboquant_search_simd_p99,768,0,17655.583,80,2198801
turboquant_search_simd_work,768,0,0.000,80,1
turboquant_search_simd_io,768,0,0.000,10080,0
turboquant_search_simd_rerank,768,0,0.000,80,4167120
turboquant_search_auto,768,0,9708.208,10000,80
turboquant_search_auto_p95,768,0,10524.875,4167120,0
turboquant_search_auto_p99,768,0,11293.250,80,2198801
turboquant_search_auto_work,768,0,0.000,80,1
turboquant_search_auto_io,768,0,0.000,10080,0
turboquant_search_auto_rerank,768,0,0.000,80,4167120
pq_build,768,1,461853.333,5120000,10000
pq_build,768,2,301272.292,5120000,10000
pq_build,768,4,243637.625,5120000,10000
pq_sidecar_bytes,768,0,0.000,174439,10000
pq_manifest_code_bytes,768,0,0.000,49311,125128
pq_search,768,0,1465.208,10000,80
pq_search_p95,768,0,1688.750,327120,0
pq_search_p99,768,0,1763.083,80,2198801
pq_search_work,768,0,0.000,80,1
pq_search_io,768,0,0.000,10080,0
pq_search_rerank,768,0,0.000,80,327120
pq_recall,768,0,0,1.000000,0
