schema,revision,dirty,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_operation,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,redis_used_memory_bytes,redis_used_memory_rss_bytes,redis_used_memory_dataset_bytes,aof_current_size_bytes,namespace_keys,expected_entries,observed_entries,error,validated
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,put,append,not-applicable,1,1,1,2876167,2876167.0,347.6849570974147,2876167,2876167,2876167,2876167,4,4,17218,17328,0,4,0,1000001,7719,7644,75,3,104662939,233154736,257560576,231425744,107109354,7725,1000001,1000001,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,put,random,not-applicable,1,1,1,3874750,3874750.0,258.08116652687266,3874750,3874750,3874750,3874750,6,4,50489,35438,0,6,0,1000000,7719,7644,75,3,104662829,233224568,261300224,231495576,9053873,7725,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,put,clustered,not-applicable,1,1,1,4893500,4893500.0,204.35271278226216,4893500,4893500,4893500,4893500,6,4,71741,56690,0,6,0,1000000,7719,7644,75,3,104662829,233372872,261918720,231643752,9098303,7725,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,batch,append,not-applicable,1,300000,300000,572790000,1909.3,523752.16047766194,,,,,4,2295,17218,31414285,0,4,0,1300000,10010,9918,92,3,136059896,267977888,297328640,266026184,40726333,10016,1300000,1300000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,batch,random,not-applicable,1,300000,300000,2805259458,9350.86486,106941.97969619678,,,,,7659,7659,104625199,104625199,0,7659,0,1000000,7719,7644,75,3,104662829,349121728,374808576,346955464,114588684,15380,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,batch,clustered,not-applicable,1,300000,300000,951320458,3171.0681933333335,315351.1495282066,,,,,2213,2211,31434413,31419362,0,2213,0,1000000,7719,7644,75,3,104662829,268226416,355012608,266277944,40751083,9932,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,get_cold,append,cold-manager,10000,10000,10000,13897641833,1389764.1833,719.5465331575149,1317417,1917833,2643542,10852209,40000,0,389141761,0,0,40000,39996,1000000,7719,7644,75,3,104662829,233439432,262746112,231580072,9133480,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,get_cold,random,cold-manager,10000,10000,10000,13753946250,1375394.625,727.0640598875395,1316625,1881833,2327833,21609292,40000,0,363444636,0,0,40000,39996,1000000,7719,7644,75,3,104662829,233439432,261914624,231580072,9133480,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,get_cold,clustered,cold-manager,10000,10000,10000,11809088167,1180908.8167,846.8054314256523,1087625,1698375,2124542,19782958,40000,0,418095387,0,0,40000,39996,1000000,7719,7644,75,3,104662829,233439432,259661824,231580072,9156640,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,get_warm,append,warm-manager,10000,10000,10000,2614000,261.4,3825554.705432288,209,250,583,8292,0,0,0,0,10249,0,0,1000000,7719,7644,75,3,104662829,233439432,260001792,231580072,9133480,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,get_warm,random,warm-manager,10000,10000,10000,9235208,923.5208,1082812.6448261912,667,1875,4083,98417,0,0,0,0,23269,0,0,1000000,7719,7644,75,3,104662829,233439432,264073216,231580072,9133480,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,get_warm,clustered,warm-manager,10000,10000,10000,2382125,238.2125,4197932.518234769,208,250,500,6083,0,0,0,0,10210,0,0,1000000,7719,7644,75,3,104662829,233439432,264704000,231580072,9156640,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,query,append,not-applicable,1,10000,10000,10561875,1056.1875,946801.5858926564,,,,,86,0,1059405,0,0,86,0,1000000,7719,7644,75,3,104662829,233315912,262459392,231456552,9033121,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,query,random,not-applicable,1,10000,10000,594470000,59447.0,16821.706730364862,,,,,4498,0,84977879,0,0,4498,0,1000000,7719,7644,75,3,104662829,233315912,263479296,231456552,9033121,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,query,clustered,not-applicable,1,10000,10000,10833750,1083.375,923041.4214837891,,,,,74,0,1109900,0,0,74,0,1000000,7719,7644,75,3,104662829,233439432,263811072,231580072,9056281,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,scan,append,not-applicable,1,10000,10000,26067208,2606.7208,383623.74673958175,,,,,86,0,1059405,0,1110,86,0,1000000,7719,7644,75,3,104662829,233315912,262893568,231456552,9025401,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,scan,random,not-applicable,1,10000,10000,19752959,1975.2959,506253.2656499717,,,,,83,0,1108046,0,714,83,0,1000000,7719,7644,75,3,104662829,233315912,264691712,231456552,9025401,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,scan,clustered,not-applicable,1,10000,10000,22208166,2220.8166,450284.81865634467,,,,,74,0,1109900,0,795,74,0,1000000,7719,7644,75,3,104662829,233439432,264695808,231580072,9048561,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,full_scan,append,not-applicable,1,1000000,1000000,2559103792,2559.103792,390761.7983788287,,,,,7719,0,104662829,0,106969,7719,0,1000000,7719,7644,75,3,104662829,233439432,264699904,231580072,9064001,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,diff,append,not-applicable,1,300000,300000,814253625,2714.17875,368435.5719018138,,,,,2299,0,31431503,0,0,2299,0,1300000,10010,9918,92,3,136059896,268075008,295657472,266123848,40716067,10015,1300000,1300000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,diff,random,not-applicable,1,300000,300000,1329962375,4433.207916666666,225570.29103924838,,,,,15324,0,209251854,0,15322,15324,0,1000000,7719,7644,75,3,104662829,349318712,384208896,347152872,114574139,15382,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,diff,clustered,not-applicable,1,300000,300000,377305292,1257.6843066666668,795112.0918812874,,,,,4422,0,62838724,0,4418,4422,0,1000000,7719,7644,75,3,104662829,268323408,352276480,266375608,40740897,9931,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,merge,append,not-applicable,1,300000,300000,688268084,2294.2269466666667,435876.66924273653,,,,,1139,1130,15759959,15725355,6,1139,0,1300000,10010,9918,92,3,136059896,268043680,336453632,266091656,56606669,10024,1300000,1300000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,merge,random,not-applicable,1,300000,300000,32540770667,108469.23555666667,9219.203904848933,,,,,22584,7528,313532034,104510678,0,22584,13728,1000000,7719,7644,75,3,104662829,580702016,617254912,577671368,325432619,30436,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,1,merge,clustered,not-applicable,1,300000,300000,5941375,19.804583333333333,50493362.22675728,,,,,12,4,170070,56690,0,12,0,1000000,7719,7644,75,3,104662829,268355888,538669056,266407096,40865514,9940,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,merge,clustered,not-applicable,1,300000,300000,5839750,19.465833333333332,51372062.16019521,,,,,12,4,170070,56690,0,12,0,1000000,7719,7644,75,3,104662829,268359712,291790848,266410920,138939194,9940,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,merge,random,not-applicable,1,300000,300000,33476311459,111587.70486333333,8961.560785077054,,,,,22584,7528,313532034,104510678,0,22584,13728,1000000,7719,7644,75,3,104662829,580705840,618823680,577675192,325432619,30436,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,merge,append,not-applicable,1,300000,300000,791353875,2637.84625,379097.15170093783,,,,,1139,1130,15759959,15725355,6,1139,0,1300000,10010,9918,92,3,136059896,268047504,520601600,266095480,56606669,10024,1300000,1300000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,diff,clustered,not-applicable,1,300000,300000,394018958,1313.3965266666667,761384.6844394731,,,,,4422,0,62838724,0,4418,4422,0,1000000,7719,7644,75,3,104662829,268327232,454774784,266379432,40740897,9931,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,diff,random,not-applicable,1,300000,300000,1189425625,3964.7520833333333,252222.58012139265,,,,,15324,0,209251854,0,15322,15324,0,1000000,7719,7644,75,3,104662829,349322536,391184384,347156696,114574139,15382,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,diff,append,not-applicable,1,300000,300000,869316792,2897.72264,345098.5909403669,,,,,2299,0,31431503,0,0,2299,0,1300000,10010,9918,92,3,136059896,268078832,378060800,266127672,40716067,10015,1300000,1300000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,full_scan,append,not-applicable,1,1000000,1000000,2905798208,2905.798208,344139.51982174255,,,,,7719,0,104662829,0,106969,7719,0,1000000,7719,7644,75,3,104662829,233443256,368029696,231583896,9064001,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,scan,clustered,not-applicable,1,10000,10000,24599041,2459.9041,406519.9127071661,,,,,74,0,1109900,0,795,74,0,1000000,7719,7644,75,3,104662829,233443256,349544448,231583896,9048561,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,scan,random,not-applicable,1,10000,10000,37076333,3707.6333,269713.83604737825,,,,,83,0,1108046,0,714,83,0,1000000,7719,7644,75,3,104662829,233319736,349544448,231460376,9025401,7720,1000000,1000000,,true
redis-scale-v1,3e7c338cf0eaf191f0eb05ea23bc10d8bdf86a70,true,1000000,2,scan,append,not-applicable,1,10000,10000,31012750,3101.275,322448.0254089044,,,,,86,0,1059405,0,1110,86,0,1000000,7719,7644,75,3,104662829,233319736,349544448,231460376,9025401,7720,1000000,1000000,,true
