records,operation,pattern,cache_state,repetitions,median_total_ns,min_total_ns,max_total_ns,median_ns_per_operation,median_operations_per_sec,min_operations_per_sec,max_operations_per_sec
1000000,put,append,not-applicable,3,3333875,2876167,3532333,3333875.0,299.9512579205879,283.0990169952833,347.6849570974147
1000000,put,random,not-applicable,3,5670458,3874750,6765458,5670458.0,176.35259797356758,147.80965309370038,258.08116652687266
1000000,put,clustered,not-applicable,3,5201167,4893500,8399583,5201167.0,192.26454370721035,119.05352920496172,204.35271278226216
1000000,batch,append,not-applicable,3,546909958,509262083,572790000,1823.0331933333334,548536.3643717016,523752.16047766194,589087.6427177478
1000000,batch,random,not-applicable,3,2608630375,2568819416,2805259458,8695.434583333334,115002.87770742529,106941.97969619678,116785.16525195868
1000000,batch,clustered,not-applicable,3,914590875,913559667,951320458,3048.63625,328015.5184141762,315351.1495282066,328385.775813809
1000000,get_cold,append,cold-manager,3,13897641833,13249792500,13916841042,1389764.1833,719.5465331575149,718.5538707973122,754.7288004698942
1000000,get_cold,random,cold-manager,3,13753946250,13653456583,13813748125,1375394.625,727.0640598875395,723.9164859175395,732.4152634323427
1000000,get_cold,clustered,cold-manager,3,14213461250,11809088167,14603568750,1421346.125,703.5583960944066,684.7641265769369,846.8054314256523
1000000,get_warm,append,warm-manager,3,2614000,2372625,7027542,261.4,3825554.705432288,1422972.641074219,4214741.05684632
1000000,get_warm,random,warm-manager,3,6361625,6174959,9235208,636.1625,1571925.412139194,1082812.6448261912,1619443.950963885
1000000,get_warm,clustered,warm-manager,3,2382125,2296666,2465125,238.2125,4197932.518234769,4056589.422443081,4354137.693508764
1000000,query,append,not-applicable,3,12867750,10561875,15981333,1286.775,777136.6400497367,625730.031406016,946801.5858926564
1000000,query,random,not-applicable,3,631055917,594470000,687994250,63105.5917,15846.45628162298,14535.005198081233,16821.706730364862
1000000,query,clustered,not-applicable,3,13902625,10833750,14151000,1390.2625,719288.6235513077,706663.8400113066,923041.4214837891
1000000,scan,append,not-applicable,3,31012750,26067208,31617250,3101.275,322448.0254089044,316283.041694012,383623.74673958175
1000000,scan,random,not-applicable,3,21281250,19752959,37076333,2128.125,469897.2099853157,269713.83604737825,506253.2656499717
1000000,scan,clustered,not-applicable,3,24599041,22208166,25106250,2459.9041,406519.9127071661,398307.1944236993,450284.81865634467
1000000,full_scan,append,not-applicable,3,2905798208,2559103792,3000770125,2905.798208,344139.51982174255,333247.78584964084,390761.7983788287
1000000,diff,append,not-applicable,3,869316792,814253625,924024667,2897.72264,345098.5909403669,324666.657410781,368435.5719018138
1000000,diff,random,not-applicable,3,1205345833,1189425625,1329962375,4017.8194433333333,248891.22423340223,225570.29103924838,252222.58012139265
1000000,diff,clustered,not-applicable,3,377305292,365277750,394018958,1257.6843066666668,795112.0918812874,761384.6844394731,821292.8381211284
1000000,merge,append,not-applicable,3,688268084,679784833,791353875,2294.2269466666667,435876.66924273653,379097.15170093783,441316.11274122086
1000000,merge,random,not-applicable,3,33476311459,32540770667,33516142125,111587.70486333333,8961.560785077054,8950.910844128066,9219.203904848933
1000000,merge,clustered,not-applicable,3,5839750,5188584,5941375,19.465833333333332,51372062.16019521,50493362.22675728,57819243.1692346
