version,profile,records,run,workload,operations,total_ns,ns_per_op,ops_per_sec,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes_before,db_bytes_after,wal_bytes_after,shm_bytes_after,fixture_bytes_after,sqlite_node_count,sqlite_node_payload_bytes,validated,status
original,full,1000000,1,sorted_stream_build,1000000,831312375,831.312,1202917.255,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,1,clustered_batch_deletes,10000,65140375,6514.038,153514.621,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,1,sorted_stream_build,1000000,811736750,811.737,1231926.484,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,1,clustered_batch_deletes,10000,66976958,6697.696,149305.079,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,1,sorted_stream_build,1000000,841700041,841.700,1188071.702,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,1,clustered_batch_deletes,10000,62616750,6261.675,159701.677,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,1,sorted_stream_build,1000000,768998167,768.998,1300393.217,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,1,clustered_batch_deletes,10000,64234167,6423.417,155680.387,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,1,sorted_stream_build,10000000,10112168750,1011.217,988907.548,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,1,clustered_batch_deletes,10000,98999708,9899.971,101010.399,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,1,sorted_stream_build,10000000,9836715875,983.672,1016599.455,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,1,clustered_batch_deletes,10000,136888459,13688.846,73052.177,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,1,sorted_stream_build,10000000,9392505917,939.251,1064678.595,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,1,clustered_batch_deletes,10000,105653084,10565.308,94649.390,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,1,sorted_stream_build,10000000,9284047417,928.405,1077116.429,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,1,clustered_batch_deletes,10000,135916667,13591.667,73574.494,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
current,normal,1000000,2,sorted_stream_build,1000000,762817500,762.817,1310929.547,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,2,clustered_batch_deletes,10000,66355167,6635.517,150704.164,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,2,sorted_stream_build,1000000,800587750,800.588,1249082.315,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,2,clustered_batch_deletes,10000,65490042,6549.004,152694.970,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,2,sorted_stream_build,1000000,780178541,780.179,1281757.889,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,2,clustered_batch_deletes,10000,70653708,7065.371,141535.388,49,3,502270,23911,45,49,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,1000000,2,sorted_stream_build,1000000,803000958,803.001,1245328.527,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,2,clustered_batch_deletes,10000,63498208,6349.821,157484.759,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,10000000,2,sorted_stream_build,10000000,9705500167,970.550,1030343.602,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,2,clustered_batch_deletes,10000,119872709,11987.271,83421.824,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,2,sorted_stream_build,10000000,9815950916,981.595,1018750.000,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,2,clustered_batch_deletes,10000,97232292,9723.229,102846.491,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,2,sorted_stream_build,10000000,9495483791,949.548,1053132.228,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,2,clustered_batch_deletes,10000,128287792,12828.779,77949.740,48,4,521551,52518,43,48,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,full,10000000,2,sorted_stream_build,10000000,9857564208,985.756,1014449.390,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,2,clustered_batch_deletes,10000,99437250,9943.725,100565.935,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
